DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,5.8,43.8,1.3,26.5,43.2,0.5,46.7,112.2,218.9,4.7,286.4,721.1
2,7.5,44.4,1.7,26.5,43.3,1.4,48.8,117.6,221.8,7.9,295.7,733.9
3,10.1,44.4,2.6,26.5,43.7,2.6,49.9,119.3,224,10.2,309.8,748.8
4,12.7,44.4,6.5,27.2,44.2,3.2,51.8,121.7,225,15,332.4,759.4
5,16.6,44.9,6.6,28.4,46.1,5.8,53.2,125.4,226,19.4,348.1,776.1
6,18.3,47.1,8.2,30.1,48.4,8.1,54.3,128,229.6,24.1,378,784.6
7,19.5,49.1,10.5,31.1,54.9,10.2,55.1,130.1,234.6,28.7,398.6,792
8,20.7,49.3,11,31.9,59.6,11.1,56.3,132.7,237.9,34.5,423.2,799.5
9,21.2,49.4,11.1,31.9,59.8,13.3,56.9,135,242.6,37.2,438.6,807.8
10,23.5,50.1,13.8,31.9,60.2,16,58.6,137.5,246.2,39.9,455.1,819.2
11,26,50.1,15.3,32.3,60.6,19.1,61.1,140.6,252.4,44.4,466.9,828.8
12,27.4,50.5,18,34.1,62.3,22.2,64.8,144.7,257.7,47.3,483.4,835.8
13,28.8,51.1,22.1,35.2,65.6,25.4,67.5,148.4,260.6,52.4,499.3,841
14,31.5,51.4,22.3,35.4,66.5,27.1,69,150.5,264.5,59.1,515.2,847.6
15,32,51.7,23.1,35.6,67.2,27.7,69.6,152.5,268.1,66.4,527.8,858.6
16,33.8,53.2,23.1,35.6,68.3,29.2,71.8,155,270,71.8,543.7,865.5
17,35.8,54.3,23.2,35.6,70.8,31.6,72.5,160.6,279.9,81.1,552.9,875
18,36.5,55.2,23.4,36,71.3,32.6,73.5,165.9,281.2,88.1,563.1,883
19,36.7,55.4,23.4,36.2,71.7,33.7,74.5,168.4,282.8,99.5,575.5,886
20,36.9,56.6,23.6,36.3,72.7,34.6,76.2,169.2,289.1,113.6,582.9,890
21,38,56.6,24.2,37.2,73,35.1,78.1,171.7,292.4,124.2,591.6,896
22,38,56.8,25.1,37.7,74.2,36.7,80.6,177.8,294.9,134.6,604.3,907.6
23,38,58.9,25.3,38.9,74.8,39,84.4,180.8,297.5,143.6,615.7,914.7
24,38.5,62.1,25.3,38.9,75,40.3,91.2,188.2,301.2,165.7,630.1,917.3
25,39.7,62.7,25.3,40.1,75.5,41.3,94.1,193.5,306.8,179.2,648,920.8
26,40,65.5,25.3,40.2,75.7,42,98,196.6,310.7,192.6,671.2,924.7
27,41.1,65.6,25.6,40.8,76.7,43.1,99.3,200.5,314,208,683.9,928.1
28,41.9,66.2,25.6,40.8,77.9,44.2,102.8,203.6,317.9,220.3,691,932.5
29,42.6,,26.2,40.8,79.3,44.4,104.4,208.8,324,234.3,700.7,938.2
30,42.7,,26.2,41,81.3,45.8,108.6,211.2,331.5,253.4,709.3,940.7
31,43.2,,26.2,,82.6,,110.5,216.5,,274.7,,942.7
