DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,7,38.8,0.6,18.4,31.7,2.4,50.6,129,246.5,5.5,291.3,659.3
2,8.3,40.3,0.6,19.3,32.3,3.6,51.9,130.9,248.9,8.8,302.2,670.9
3,9.8,41.4,0.8,19.3,33.4,4.7,56.4,132.6,252.9,14.8,314.8,684.4
4,11.1,41.8,1.7,20.7,37.9,5.5,58.1,136.5,255.8,20.6,334.3,698.7
5,17.6,41.9,1.9,21.9,40.1,8.2,58.9,140,258.2,26.1,348.7,712.6
6,18.2,43.6,3.5,22.5,43.4,9.3,60,144.4,264.1,31.9,366.5,725.3
7,19.8,44.6,5,22.7,47.4,10.9,62.3,146.3,269,38.2,385.9,735.2
8,20.8,45,5.1,23.1,48.5,12.3,64.8,149.5,277.1,42,407.7,742.4
9,21.3,45.6,5.9,23.1,48.9,13.6,66.1,153.7,280.3,48.2,421.1,749.2
10,22.7,46.4,6.6,23.1,49.4,14.7,68,156.1,282.8,51.3,429.5,759.1
11,23.2,46.5,11.2,23.6,52.8,18.4,70.2,160.4,286.6,54.8,439.2,767.3
12,24.1,46.8,13.8,24.3,54.2,20.5,72,165.5,292,60.2,449.8,773.2
13,24.8,47.5,14.4,24.4,56.2,21.9,74.5,169.8,296.8,63.8,460.1,779.7
14,27.4,47.9,14.4,24.9,58,23.9,77.4,173.2,300.5,69.3,470.6,789.2
15,28.7,48.1,14.5,25.2,59.4,25.6,78.2,174.9,302.5,76.4,484,792.5
16,29.7,49.7,14.5,25.4,62.7,26.7,80.3,177.1,308.7,83.8,498.6,802.6
17,30.3,51.7,15,25.4,65.5,28.2,81.7,187.5,314.9,89.4,503.9,810.9
18,30.4,53,15,26,67,28.6,83.2,191.7,318.5,95.8,510.8,815.9
19,31.1,53.1,15.1,26,67.5,30.6,88.4,196.1,322.5,103.2,519.2,821.2
20,31.2,53.2,15.1,26,68.2,32.8,91.9,198.4,326.6,113.8,524.2,825.6
21,32.5,53.2,15.4,26,68.5,34.3,96.5,204.5,334.8,127.4,528.7,830.8
22,33,53.2,16.4,26.5,68.7,37.3,97.7,211.3,336.5,136.5,542.5,836.9
23,33.1,53.3,17,28.4,69.1,39.8,101.4,214.6,337.9,148.3,555.8,843.2
24,34,55.3,17.1,28.5,69.7,41.5,105.4,219.1,341.1,161.8,569.8,844.1
25,34.6,56.3,17.2,29.8,69.7,42.6,107.6,224.9,344.4,173.9,585.5,847.4
26,34.7,56.3,17.2,29.9,70.5,43.6,112.3,228.4,349.2,189.2,606,850.6
27,35.6,57.7,17.3,30.3,71.6,45,114.7,232.4,353.7,205.2,620.9,852.5
28,37.6,58.6,17.4,30.4,72.1,46.2,118.5,235.2,358,218.1,632.3,853.9
29,37.6,,17.4,30.8,72.4,48.2,121.5,237,365.6,238.2,638.2,857.2
30,37.6,,17.4,30.8,72.9,49.8,124.7,239.5,370.8,252.2,648.4,859.8
31,37.8,,17.5,,73.2,,126.7,244.8,,274,,861.7
