DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.7,21.2,0.1,23.3,45.9,1.9,60.1,135.6,274.6,9.3,218.1,458.7
2,4.3,21.3,0.1,23.3,46.3,4.7,60.9,136.6,278.3,12.2,225,463.2
3,7.9,21.3,0.1,23.3,46.6,7.7,62.6,140.7,286.8,15.9,233.4,471.3
4,9.1,21.3,1.4,23.7,47.5,9.6,63.8,144.6,288.8,22,251.3,478.3
5,9.1,21.4,2.5,24,48.6,13.1,65.6,148.7,292.1,23.5,260.4,486.1
6,9.1,21.9,3.4,24.3,51.9,14.4,67.8,151.1,298.1,28.1,276.2,491.2
7,10.5,23.4,5,24.7,59.1,17.3,69.5,154.8,303.5,35.2,287.3,493.5
8,11.6,23.5,6,25.7,61.4,22.1,74.1,157.3,312.8,42.5,298.6,499.1
9,12.4,23.7,6.6,25.7,62.5,24.6,75.6,164.7,317.4,48.7,307.6,503.2
10,12.5,23.7,6.9,26.7,63,26,77.6,165.5,322.7,52.7,314.8,510.6
11,13,23.7,10.2,27.3,63.5,29.5,79.7,166.4,325.4,56.9,321.8,518.9
12,13.5,23.9,14.6,28.7,65.7,30.9,81.8,170.4,329.4,62.6,327.5,521.9
13,14,25.2,15.2,29.2,67.6,34.3,82.9,171.8,336.9,66.7,335,527.6
14,15.7,25.6,17.6,30.3,67.9,38.1,86.2,174.8,344.1,74.1,342,536.8
15,18.8,25.7,17.6,31.7,69.4,39.5,88.9,182.4,348.5,76.9,351.7,543.6
16,19.4,25.8,17.6,32.4,71.2,40.3,91.3,186.6,355.7,82.4,359.3,551.1
17,19.5,26.1,17.7,33.3,73.3,40.7,95,192.3,362.7,88.4,364.2,554.2
18,19.5,26.8,17.7,33.6,74.7,43.4,95.7,197.3,368.2,92.4,370.1,555.9
19,19.7,27.3,17.7,34,77.9,44.9,98.5,201.9,375.5,98.8,373.9,560.8
20,19.7,27.5,17.8,34.9,80.1,45.3,101.9,205,381,104,377,565.3
21,19.7,28.1,19.5,36.1,81.8,47,108.5,213.9,386.7,108.6,380.8,566.3
22,19.7,28.1,20,36.8,83.5,49.6,111.8,223.1,390.3,117.6,385.5,569.8
23,19.7,28.2,20,39.2,84.7,50.1,115.6,225.9,395,130.8,393.6,577.6
24,19.8,28.4,20.2,39.5,87.5,52,118.4,232.5,399.4,148.5,407.9,578.5
25,20.5,28.5,20.6,41.4,89.5,53,120,238.6,403.8,160.2,416.2,580.5
26,20.5,29.6,21.7,41.7,92.7,53.8,123,240.9,410,169.3,427,582.9
27,20.5,29.9,23.2,41.9,95.4,54.9,124.9,247,417.9,178.5,435.2,583.2
28,20.5,30.9,23.2,41.9,96.7,55.5,128,254.7,422,184,441,584.5
29,20.5,,23.2,42.3,103.5,58.4,129.3,258.4,427.4,192.2,453.9,587.9
30,21,,23.2,44,106.7,59.4,131.5,259.3,437,197.7,454.8,588.9
31,21.2,,23.2,,107.9,,133.2,266.8,,209.7,,592.2
