DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,5.4,20.7,0.5,14.4,35.4,0.3,42.7,119.2,224.3,5,175,406.1
2,5.8,21.9,0.5,14.7,35.9,0.9,43.9,120.4,226.5,8.5,181.4,414.5
3,8.7,21.9,0.5,14.9,36.6,3.1,46.2,121.3,230.6,15,190.6,422.8
4,9,21.9,0.5,15.6,37.4,5.6,49.5,126.3,234.1,19.1,201.8,432.8
5,9.5,21.9,0.5,15.7,39.7,8.1,52.8,131.5,239.4,24.1,211.6,439.4
6,10.6,21.9,1.2,15.7,41.3,10.7,54.8,135,242.8,29.5,221.5,447
7,11.7,21.9,1.5,16,44,12.4,56.6,138.4,247.8,37.8,230.8,452.8
8,12.2,22.2,1.9,17.2,46.9,14.7,61.5,140.4,255.5,46.4,243.6,460.2
9,12.4,22.2,2.7,17.2,47.5,15,62.5,145.7,258.3,52,253.6,465.3
10,12.4,22.6,2.7,17.5,48.6,17.3,66,148.4,263.8,55.1,263.2,474.1
11,12.5,22.6,4.8,17.5,49,18.6,71.5,150,269.3,58,270.8,480.1
12,12.9,22.7,8.8,19.3,49.6,20.3,74.1,153.6,273,64.4,275.7,483
13,13.5,22.7,9.6,20.2,51.4,22.5,76.6,154.9,276.7,67.4,283,487.6
14,15.9,22.7,9.8,21.1,52,25.6,79.3,157.4,283.1,73.4,288.5,494.9
15,18.2,22.8,10.8,21.1,54.2,27.5,80.5,160.5,287,77.5,301.8,500.4
16,19.3,22.8,10.8,21.4,57.2,28.4,80.8,163.5,292.2,79.6,308.2,508.7
17,19.3,22.9,10.8,21.7,58.1,28.9,82.5,170.3,302.6,82.7,315.1,513.7
18,19.3,23,10.8,22.8,58.1,30,83.9,173,306.6,84,319.9,514.9
19,19.8,23,10.8,22.8,61.2,30.7,86,175.8,309.3,88.1,323.3,519.4
20,19.8,23.1,11,22.8,62.6,31.9,88.5,179.1,316.3,94.5,326.7,525.4
21,19.8,23.3,12.6,22.8,63.7,32.1,92,183.8,318.4,101.6,331.2,527.6
22,19.8,23.3,13,24.2,64.8,34.3,93.1,189.4,320.1,106,335.5,529.2
23,19.8,23.5,13.1,27.8,65.1,35.4,95,192.4,322.7,110.7,344.8,531.7
24,19.8,23.5,13.1,28.3,65.6,36.7,99,196.6,326.5,123,356.6,532.4
25,20.7,23.5,13.3,31.1,67.2,37.8,100.1,201.5,332.5,129.7,366.5,533.9
26,20.7,25.1,14.2,32.1,68.8,38.1,103.9,204.2,338.3,134,378.2,535.6
27,20.7,25.2,14.4,32.3,70.4,38.7,106.7,208.8,340.7,139.1,386.3,536
28,20.7,25.7,14.4,32.3,74.6,39.9,109.8,211.9,346.2,147.1,390.9,536.6
29,20.7,,14.4,32.3,78.5,41.1,112.2,214.8,351.6,156.7,395.9,539.6
30,20.7,,14.4,34.2,81.4,42,115.6,216.2,362.2,162.5,399.2,540.5
31,20.7,,14.4,,82.4,,117.6,222.7,,167.3,,545.3
