DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.1,3.7,0.9,22.8,84.2,2.1,51.5,121.5,223.4,7.3,158.9,242.1
2,1.1,3.7,1.7,25.2,86.2,7.4,53.3,123.7,227.2,13.5,163.7,243.3
3,1.2,3.7,2.5,26,88.2,11.1,54.8,125.5,233.7,20.2,166.1,244.1
4,1.9,3.7,2.8,26.9,93.2,15.8,55.2,126.3,236.9,22.8,170.9,246.5
5,1.9,3.7,4.3,27,94,17.9,56,127.9,237.9,27.9,174.1,248.5
6,1.9,3.7,5.3,27.5,96.1,23.1,57.1,129.4,244.4,34.2,178.4,249.6
7,1.9,3.9,6.2,30.1,99.3,25.3,61,132.4,247,37.5,180.6,251.9
8,2,3.9,6.8,32.6,102.2,26.7,61.7,134.7,250.3,43.7,185.2,252.9
9,2,3.9,6.9,33,104.4,28,64.4,135.9,256.1,52.8,187.1,254.5
10,2,4.9,7.6,34,105.6,28.7,65.2,137.3,265.5,59.3,192.9,256.2
11,2,5.1,8.9,35.1,108,28.7,70,139.3,269.4,65.1,195.7,256.6
12,2,5.1,10.4,36.4,111.6,30.2,72.7,140.6,274.7,70.3,197.8,257.1
13,2,5.1,10.6,39.7,115,31.5,73.4,143.2,277.9,76.8,202.4,258.3
14,2,5.6,12.1,42.9,118.5,34.1,74.9,144.9,284.9,80.3,204.5,259.6
15,2,6,12.8,44.9,122.9,36.6,78.6,146.8,289.3,87.3,207.3,260.1
16,2,6.2,13.4,49.6,126.8,37,80.3,150.1,295.5,88.7,212.1,261.9
17,2,6.2,13.4,51.4,128,38.1,83.4,156.4,299.8,91.6,216.5,262.1
18,2,7,13.4,53.3,133.5,40.4,86,161.6,304.7,94.8,218.7,262.1
19,2,7.1,13.4,54,135.1,41.6,90,164.8,309,100,219.8,262.5
20,2,8.4,14.1,55.7,136.8,42.3,92.3,170,311.6,103.7,220.1,263.3
21,2,11.3,16.7,58,138.7,42.8,94.7,177.7,316,108.7,223.8,263.8
22,2,12.6,16.7,62.7,142.2,42.8,99.2,188.7,320.4,111.2,225.1,263.9
23,2,12.6,17,63.8,145.6,43.5,102.2,191.6,325.7,114.9,227.7,265.2
24,2,12.9,17.6,66,148.7,45.7,103.9,195,329.7,119.4,230.5,265.9
25,2,13.4,18.3,70.8,153.3,47.1,109.3,199.1,334.3,126.2,233.9,266.2
26,2,13.7,18.4,71.9,161.1,47.8,112.1,205,338.7,131.5,235.4,266.7
27,2,13.8,19,73.7,164.8,48.4,113.5,207.1,343.9,137.3,237.8,266.9
28,2.2,13.9,19.7,75.9,169.4,49,115.8,212.1,349.5,140.8,238.8,267.1
29,2.2,,21.6,78.3,173.7,49.9,117.7,213.5,353.8,146,239.8,267.5
30,2.2,,21.6,79,177.6,51,118.3,215.2,357.5,152.5,240.9,267.5
31,3.7,,21.6,,181.1,,120.2,219,,154.1,,267.5
