DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,5.8,24.3,0,17,36.7,0.2,50,128.2,234.7,3.8,228.7,568.1
2,7.9,25.1,0,17.4,36.9,1.4,51.9,129.8,238.5,6,235.6,575.9
3,10.5,25.1,0,17.4,37.1,3.4,53.4,132.1,240.1,13.8,246.7,585.6
4,11.3,25.3,1.9,18.2,38.2,5.1,55.8,137.2,242.3,16.3,267.1,598.8
5,14,26.3,2,18.9,43.2,7,60.1,140,245.9,19.6,282.4,614.3
6,14.6,28.8,3.8,19.5,45,8.3,62.8,144.5,248.3,24.7,301.8,624.9
7,14.9,30.3,7.9,19.6,52.3,9.8,63.4,150.6,254.7,34,319.8,633.2
8,16.8,30.8,8.2,20.5,53.7,11,64.3,153.6,257.7,38.5,341.7,643.1
9,17.5,31.1,8.9,20.5,55.8,12.9,65.1,157,261.8,46.7,354.3,652.5
10,17.9,32.5,10.1,20.5,56.1,13.6,69,160.3,267.7,48.8,359.7,664.8
11,18.9,32.5,12.6,20.8,57.3,16.7,72.3,164.3,274,52.1,367.2,674.4
12,18.9,33.1,15.1,22,58.7,19.9,76.6,166.7,276.8,58.4,378.7,678.3
13,19,33.7,15.3,22.7,59.9,24.4,77.8,168.8,279.6,66,389.4,684.2
14,20.6,34.2,15.3,23,60.4,29.4,80.7,172.4,286.7,71.4,401.7,694
15,21.3,36,15.3,23.6,62,31.4,83.4,175.1,291.9,75,415.8,702.5
16,21.5,36.5,15.3,25,62.8,32.4,84.5,177.1,297.1,81.4,427.1,709.3
17,21.5,38.7,15.3,25.6,63.5,32.6,87.2,182.3,306.1,86.2,436.7,718.5
18,21.7,39.6,15.3,28.1,64.1,33.9,88.1,183.6,309.9,87.8,443.4,724
19,21.7,40.7,15.3,28.1,66.1,34.4,90.8,188.5,312.3,94,449.9,727.7
20,21.7,41.3,15.7,28.5,66.2,36.2,92.3,190.3,319.4,102,453.6,733.2
21,21.9,41.3,16.3,28.5,67.1,36.7,94.9,194.6,324.5,110.6,460.3,738.4
22,21.9,41.3,16.5,29.6,67.7,38.7,98.1,203.3,327,116.8,469.1,749
23,21.9,43.6,16.6,31,68.1,42.5,101.9,205,328.9,128,480.4,759.1
24,22.1,43.9,16.6,31.3,69,44.3,106.7,210.6,334.7,141.9,494,760.6
25,23.2,44.5,16.6,34.1,69.4,45.6,108.2,214.5,342.4,156.3,508.9,764.6
26,23.3,47.8,16.6,34.1,71.3,45.9,111.6,218.3,346.8,165.6,529.7,766.9
27,23.3,47.8,17,34.3,72.5,47,113.3,221.7,350.2,181.4,542.3,768.4
28,23.4,48,17,34.8,72.6,48,117.8,225,356.3,189.7,546.9,771.6
29,23.7,,17,34.8,74.8,48.4,120.6,227.5,364.3,200.3,555,777.2
30,23.7,,17,35,75.8,49.4,124.3,229.6,370.9,208.5,560.9,779
31,24.3,,17,,77.2,,125.8,231.7,,219.6,,783.9
