DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.1,17.4,0.6,14.6,28.9,0.4,41.1,97,200.6,4,210.7,486.4
2,2.3,17.5,0.6,14.7,29.2,0.9,43.9,99.1,208.8,7.7,218.7,493.4
3,2.4,17.5,1,14.7,29.9,1.3,44.5,103.8,210.3,11.9,228.7,502.3
4,2.4,17.5,1.3,15.3,31.6,5.7,46,108.1,214.2,15,241.4,511.4
5,3.6,17.9,2.3,15.7,32.7,7.7,48.5,110.7,216.4,18.6,253.8,523.7
6,3.9,19.2,3.3,16.1,33.9,9.5,49.3,117.9,218.7,21.7,269,533.8
7,5.7,19.6,5.3,16.4,40.1,10.3,51.7,121.1,222.3,25.7,284,539.6
8,7.3,19.8,5.5,16.9,43.1,11.7,53.9,123.4,226.4,32,296.5,550.4
9,7.3,19.8,5.6,16.9,43.9,12.8,56.6,129.1,228.8,39,307.3,561.2
10,8,19.8,6.3,16.9,44.3,14.3,56.9,130.8,231.4,44.3,316.4,574.2
11,9.6,19.8,8.6,17.3,44.8,17.5,60.9,132.6,238.8,50.9,323.1,582.2
12,9.7,20.1,9.5,18.6,46.6,19.6,63.3,134.4,240.9,57.8,328.7,588.6
13,10.4,20.8,10.5,19.2,47.9,22.3,64.5,136.4,244,62.8,338.2,595.7
14,10.7,21.6,11,19.6,48.2,24.1,67.1,138.8,248.2,68.6,349,602.9
15,10.7,21.9,11.4,20.6,50.1,25.1,69.5,142.6,249.9,73.3,357.1,608.4
16,11,22.6,11.4,20.7,50.1,25.5,70,147.3,256,75.8,368.5,616.4
17,11.9,23.7,11.8,20.7,51.6,28.4,71.5,151.7,262.3,79.8,376.6,625.4
18,11.9,26,11.8,21.7,52.8,30.3,72.8,155.2,266,82.6,382.2,630.5
19,12.5,26.1,12.1,22.4,55.8,31,74.4,161.8,271.9,91.1,387.1,633
20,12.5,26.1,12.8,22.4,56.6,31.6,75.1,163.3,275.6,97.3,389.6,636.5
21,12.7,26.2,13.3,23.8,56.8,32.2,76.4,168.3,278.8,106,394.7,639.5
22,12.7,26.2,13.5,24.6,58.4,33.6,79,172.4,282,109.9,402.3,644.4
23,12.7,26.7,13.8,26.1,59,36.7,80.1,174.7,283.8,121.5,414,648.5
24,14.1,26.8,14.3,26.2,61.1,36.7,83,183.7,287.2,132.1,426.2,650.6
25,14.6,26.9,14.3,27.3,63,37.2,83.5,185.4,291.6,144.6,438.4,653.2
26,14.6,29.1,14.6,27.8,63.4,37.2,84,187.3,297,152,451.2,656
27,15.3,31.6,14.6,28.2,64.3,38.4,84.7,190.2,305,161.9,464.7,656.6
28,16,34.1,14.6,28.4,65,39.4,87.5,193.4,309,170.6,469.3,657.6
29,16.2,,14.6,28.4,66,39.9,90.4,195.1,315.7,182,474.7,660.6
30,16.3,,14.6,28.9,67.1,40.8,93.1,196.2,322.5,191.5,482.8,662.3
31,17.4,,14.6,,68,,96.1,197.5,,203.1,,663.9
