DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3.7,17.7,0,13.3,38.1,1.8,58.5,129.7,268.5,4.7,192,429.5
2,4.2,17.7,0,13.3,38.4,2.6,59.6,131,271.9,8.4,200,436
3,5.4,17.7,0,13.3,39.3,7.3,60.3,132.5,280.4,11.2,206.5,442.2
4,7,17.7,0.2,13.8,40.7,8.8,62.6,137.3,284.5,18.5,219.1,448.2
5,7.2,17.8,1,13.8,40.9,13.1,65.3,140.7,286.7,21.9,229.2,457.9
6,7.2,18.2,1.1,14.4,43.5,17.8,67.6,143.7,291.4,28.2,240.7,465.8
7,8.6,19.5,1.9,14.7,47.1,21.3,69.1,146.1,294.9,31.9,250,474.4
8,9.8,19.6,1.9,15.2,49.1,25.8,71.6,147.3,301.1,37.4,259.6,479.7
9,11,19.6,1.9,15.2,50.2,26.6,71.9,155.1,308.5,43.1,267,481
10,11,19.6,3.2,17.2,51,28.2,74.8,157.5,310.3,47.6,276,486.3
11,11.8,20.1,4.6,17.5,52.7,30.4,78.2,159.1,313.3,50.4,282.1,490.6
12,12.1,20.3,6.8,18,55.9,31.3,81,167.6,315.8,54.1,287.5,492.9
13,12.6,21.4,7.9,18.6,57.9,33.3,81.6,169.6,321.3,56.6,295.4,497
14,13.6,21.5,10.3,18.9,58,35.9,84.4,172.8,327.9,63.1,301.5,500.6
15,15.4,21.7,10.4,19.3,59.6,37,88,181.8,331.9,67.1,313.4,502.8
16,15.7,21.8,10.4,20.1,61.5,38.1,90.2,186.7,339.3,69.4,322.6,509.8
17,15.7,22.2,10.4,21.4,64.9,38.8,93,193.4,345,74.6,333.3,514
18,15.7,22.3,10.4,23.2,66.5,39.7,93.9,197,348.7,80.3,340.8,515.3
19,15.7,22.8,10.4,23.2,71.2,41.3,95.6,203.2,354.2,88.3,343.9,521.6
20,15.7,23.1,10.4,24.3,73.3,42.1,98.5,208.6,360,95,347.1,524.4
21,15.7,23.2,11.1,24.8,76.4,43.8,101.6,215.6,362.6,103.1,351,527.2
22,15.8,23.2,11.9,25.2,77.4,47.4,103.3,221.5,365.5,110,356.7,530.7
23,15.8,23.3,11.9,27.9,78.8,48.6,106.6,225.1,372,120.9,365.1,535.7
24,15.9,23.3,12,30,81.9,51.1,109,233.2,375.4,132.4,377.5,536.4
25,16.3,23.4,12,33.5,83.3,51.5,110.6,239,380.9,141.1,386.4,538.2
26,16.5,23.5,12.1,33.8,86.9,52.6,115.9,243.9,387.6,147.3,394.8,541.5
27,16.8,23.7,12.9,33.9,92.9,52.7,117.4,248.2,390.6,153.2,404.2,541.8
28,17.4,25.4,12.9,34.4,95.5,53.9,121.3,253.1,395.2,157.8,412,542.6
29,17.5,,13.3,34.7,100.6,56.2,123.8,256.2,402.7,168.2,423.1,544.7
30,17.7,,13.3,35.7,101.8,57.9,125.8,257.9,408.9,175.3,425.2,545.5
31,17.7,,13.3,,104.7,,127.2,262.6,,182.9,,549
