DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3.7,11.6,0.3,10.3,24.6,0.2,42.5,115.9,223,1.6,177.6,427.1
2,3.7,11.6,0.3,10.3,25.7,0.9,43.2,117.1,226.2,5,183.6,430.2
3,5.8,11.6,0.3,10.3,25.7,1.7,45.6,118.5,227,11.6,195.7,435.4
4,6.1,11.8,1.1,10.3,26.8,4.4,51.1,123.2,228.7,15.2,206.4,444.3
5,6.3,12.2,1.6,10.3,26.8,6.8,55.2,128.3,231.4,18.4,220.1,456.2
6,7.2,13.7,2.6,10.5,27.2,8.1,57.5,131.8,234.5,21.6,239.5,470.5
7,8.3,14.8,5.3,10.5,33.9,8.8,58.8,133.4,242.2,26,251,478.3
8,8.3,15.3,5.9,10.5,38.1,11.2,61.8,136.3,248.2,32,264.9,488.6
9,8.3,15.3,6.2,10.5,38.8,14.1,63.5,139.8,252.1,35.7,275.2,496.6
10,8.4,15.3,6.6,10.5,38.9,17.2,64.6,141,259.3,39.5,281.6,504.6
11,9,15.3,8.6,10.5,39.5,18.8,65.9,143.2,270.3,43.9,289.8,511.4
12,9.2,15.3,9.6,11.9,40.8,21.4,69.9,149,273,52.4,299.8,513.9
13,9.5,16.8,9.6,13.2,41.6,24.6,73.6,153.8,274.3,56,310.5,519.7
14,9.5,17.5,9.6,13.5,41.9,27.3,77.8,153.9,278.9,60.7,322.4,532.1
15,9.5,17.7,9.6,14,44,28,78.1,155.4,283.6,64.1,336.8,538
16,9.5,18.6,9.6,14,44.1,28.2,78.6,160,287.2,69,348.5,545
17,9.5,19.2,9.6,15.1,44.8,28.8,80.5,163.7,292.8,74.9,357.6,549.3
18,9.8,23.2,9.6,16,45.4,29.8,81.7,169.6,294.5,76,363.1,551.5
19,10.7,23.5,9.6,16,48.1,29.8,85.6,173.9,299.1,80.2,370.4,552.2
20,10.7,23.5,9.6,16.4,49.7,31.1,86.4,177.5,306.3,84.6,374.6,555.1
21,10.7,23.5,9.6,16.4,50,31.7,87.9,180.5,308.6,91.9,376.9,557.3
22,10.7,23.5,9.6,18.2,50.8,35.4,90.4,186.5,314.9,97,380.9,562.8
23,10.7,23.9,9.6,19.6,53.1,37.3,92,191.1,318.1,104.3,385.5,573.6
24,11,24.2,10.2,19.6,53.9,38.5,95.6,197.5,323,113.7,392.3,575.9
25,11,24.2,10.2,21.1,54.1,38.8,97.1,201.7,329.7,123.4,396.7,577.7
26,11,25,10.2,23.4,54.2,38.8,99.4,204.9,334.3,131.9,403.1,577.9
27,11,25,10.3,23.4,54.5,40.4,102.3,211.5,336.6,142.2,404.1,578.7
28,11.6,25.9,10.3,23.4,55.6,41.2,108.4,212.2,343,151,409.3,579.4
29,11.6,,10.3,23.4,56.5,41.4,111.3,215.6,348.6,159.7,419.2,584.2
30,11.6,,10.3,24.3,57.2,41.6,112.4,216.6,355.7,164,424,585.5
31,11.6,,10.3,,57.2,,114.7,218.9,,172.9,,587.6
