DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.8,3,0,16.5,64.6,2.5,49.7,121.3,222.4,10,171,265.2
2,1,3.1,1,17,66.4,5.2,50.5,126.3,225.4,19.6,179.1,266.6
3,1.8,3.1,1.2,17.7,69.6,9.9,50.8,127.8,233.1,23.1,181.8,269.2
4,1.8,3.1,3.9,17.8,74.9,12.7,51.8,129.6,237.7,27.2,184.7,271.5
5,1.8,3.1,5.2,18.4,77.4,17.3,52.5,131.4,241.5,31.3,190.9,272.6
6,1.8,3.1,6,20.5,80,20.4,54.2,131.9,248.4,39.4,196,273.1
7,1.8,3.2,6.6,21.2,84.9,21.9,57.8,134.5,251.7,44.3,198.7,275.2
8,2.3,3.2,6.8,21.8,88,25,58.4,136.6,254.3,53.6,207.1,277.8
9,2.3,3.2,6.8,22,90.4,26.9,61.7,137.9,259.1,62.4,209.7,279.8
10,2.3,3.3,7.3,22.5,93.7,27.2,64,140.2,263.4,67.9,214.6,280.7
11,2.3,3.7,7.7,24.4,96,27.6,68.3,140.9,269.8,70.7,217.5,281.4
12,2.3,3.7,8.3,24.7,98.4,30.8,70.1,142.4,277.1,76.3,221.5,282
13,2.3,3.8,8.4,27.3,102.4,31.9,70.6,144.9,280.8,81.4,224.8,283.6
14,2.4,4.1,10.7,28.3,106,35.5,72.4,147.9,287.2,86.3,226.8,284
15,2.5,4.5,10.8,30.1,110.6,37.8,76.3,151.4,291.2,93.6,228.4,284.4
16,2.5,4.6,10.9,31.4,115,38.3,77.9,153.8,297.6,96.9,229.9,286.5
17,2.5,4.9,11.7,35,116.1,39,80.7,162,304.8,100.5,237.2,287.1
18,2.6,5.4,11.8,36.5,120.9,40.4,82.5,169.4,311.6,103.6,239.4,287.2
19,2.6,6.7,11.8,37.2,125.6,40.6,85.9,173.9,319.1,107.5,241.4,287.6
20,2.6,8.2,11.9,39.1,127.8,41.8,90.5,177.2,325.8,112.8,243.1,289
21,2.6,9,13,40.9,132.2,42.1,92.3,181.9,330.1,115.8,245.5,290.1
22,2.6,10.2,13.2,42.9,136.7,42.6,93.8,186.4,335.9,119.1,247.2,290.5
23,2.6,10.4,13.3,45.1,140.3,43.1,95.5,191.1,341.9,126.1,250.8,291.5
24,2.6,10.8,13.3,47,142.6,44.7,97.7,195.6,347,131.9,253.2,292.3
25,2.6,10.8,13.6,51.2,146.9,45.2,99.8,199.6,352.8,136,254.7,292.4
26,2.6,11.1,13.6,53.1,150.9,45.6,105.1,203.2,366.7,142,256.4,292.6
27,2.7,12.4,14.1,56.4,154.5,46.4,107,206.3,377.2,145.8,259.6,292.6
28,2.8,12.6,14.1,57.9,158,46.8,107.9,209.7,380.7,150.2,261.1,292.7
29,3,,15.2,59.2,160.5,47.9,112.9,211.2,387.5,157.4,261.9,292.8
30,3,,15.2,62,164.8,49,115.2,212.8,393.4,163.3,263.8,293
31,3,,15.8,,172,,117.7,216,,164.9,,293.8
