DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0,3.2,0,19.7,97.6,4.1,52.1,94.4,156.6,4.1,157.6,222.7
2,0,3.2,0.2,21.6,99.8,8.4,52.2,95.4,161.8,8.5,161.9,223.3
3,1,3.2,0.8,21.9,101.6,10.3,52.9,96.3,167.4,13.5,167.5,224.3
4,2.2,3.2,1.3,22.7,105.3,13.7,54,99.4,170.5,17.2,171.9,224.5
5,3.1,3.2,2.5,24.9,107.8,20.9,55.1,100.1,173.4,21.9,175.2,226.2
6,3.1,3.7,3.3,27.1,112,22.6,55.7,100.9,174.4,24,179.1,226.3
7,3.1,3.7,3.3,28.3,113.5,24.7,58.8,101.6,176.8,27.2,185,226.6
8,3.1,4.1,3.3,29.4,115.7,25.1,61.1,102.2,179.1,30.9,189.5,226.8
9,3.1,4.1,3.3,30.4,120.7,27.5,64.5,103.4,182.6,33.7,195.8,227.5
10,3.1,5.3,3.3,31.4,122.6,28.5,66.3,104,184.4,36.6,198.3,227.7
11,3.1,6.1,4.4,32.8,127,29.4,68.7,106,186.6,42.7,199.7,228.4
12,3.1,6.1,4.4,33.9,129.3,30.2,70.1,106.7,187.9,47.9,201.8,228.4
13,3.1,6.1,4.4,35.2,131,31.3,72.3,107.8,190.5,53.7,203,228.6
14,3.1,6.1,4.4,38.6,141.2,32.3,73,108.1,193.9,56.2,203.2,233
15,3.1,8.5,4.9,39.7,146.9,32.6,73.8,109.2,200.2,59.3,204.7,233
16,3.1,11.3,5.2,43.1,153.9,32.7,74.2,111.5,204.9,62.7,206.9,234.5
17,3.1,11.3,5.3,46.5,158.1,34.9,76.3,115,211.2,74.5,208.3,234.8
18,3.1,11.3,5.7,48.2,160.8,35.3,79.1,122.1,214.7,79.9,209.3,234.8
19,3.1,11.3,5.7,51.4,162.7,36.9,81.8,123.1,217.5,83.7,211.2,236.5
20,3.1,11.3,6.3,56,166.5,36.9,82.5,125.6,223.8,91.3,211.4,238.1
21,3.1,11.3,7.2,59.1,168.4,36.9,83.7,127.4,229.2,96.3,212.8,238.9
22,3.1,11.3,7.7,61.1,171.4,37,84.3,134.4,235,98.6,213.8,239.4
23,3.1,11.3,7.7,64.8,174.8,40.9,85.1,138.4,238.3,108,215.1,240.7
24,3.1,11.3,10.7,71.6,177.6,43.9,87.6,139.3,250.6,110.9,215.8,240.7
25,3.1,11.3,12.6,75.3,183.5,43.9,88.7,141.7,258.8,114.6,216.3,240.7
26,3.1,12.4,13.5,77,184.4,46.8,89.6,144.5,262.4,122.4,217.1,240.7
27,3.1,12.7,14.3,80.7,190.8,48.2,89.7,146.3,266.3,131,219,240.7
28,3.1,12.7,15.3,88.7,198.4,50.2,90,148.2,276.6,137.5,220.5,240.7
29,3.1,,16.8,90.6,200.8,51,91.9,149.6,289.1,143.7,221.8,240.7
30,3.1,,18.8,95,207.9,52,92.5,150.4,292.1,149.3,221.9,240.7
31,3.2,,19.3,,211.7,,93.2,153.1,,152.3,,240.9
