DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.5,6.6,0.6,16,52.5,0.1,33.9,78.8,142.4,2.8,151.6,251.4
2,0.8,6.7,0.9,17.9,52.8,3.1,34.4,79.7,142.7,12.3,155.3,254.1
3,1.1,7,1,18,53.7,7.8,35.1,81.9,146.8,17.8,165.4,254.9
4,1.1,7,1.1,18.6,56.5,9.4,36,82.8,148.1,24.2,168.7,256
5,1.1,7,1.9,18.7,58.1,11.8,38,83.5,153.6,28.3,178.6,258
6,1.1,7.1,3.7,20.6,59.5,16.1,40.8,86.4,154.6,31.9,185.4,258.6
7,1.1,7.1,4.9,22.9,61.2,17.7,45.1,88.1,158,35,193.3,261.4
8,2.7,7.2,5.1,22.9,61.5,19.4,47.2,88.9,159.2,41,199.5,263.7
9,2.7,7.2,5.1,23,62.1,19.9,48.6,89.2,160.4,46.1,205,266
10,2.7,7.3,5.1,23.2,64.4,20.2,51.5,89.5,163.3,52.6,208.1,268.3
11,2.8,7.4,6.1,24.2,67.6,21,52.9,92.8,166,56.5,209.5,269.4
12,2.8,7.4,8.2,24.6,70.6,21.4,54.3,94.5,168.3,59.9,211.3,269.6
13,2.8,7.4,12,27,72.9,22,55,96.7,168.8,62.9,214.6,270.5
14,2.9,7.8,12,28,75.2,22.8,56,97.1,171.6,70.8,216.3,270.6
15,2.9,9.4,12.2,28.8,80.6,23.5,56.8,98.6,177.1,75.7,218.1,271.9
16,2.9,9.4,12.8,29.7,83.3,25.2,56.8,99.5,181.1,77.4,220.7,273.5
17,2.9,9.9,12.8,32.5,85.9,25.9,57.2,101.7,187.4,80.7,224.6,274.1
18,2.9,9.9,12.8,34.9,88.5,26.4,60.2,104.2,190.6,84,227.9,274.3
19,2.9,12.4,12.9,35.3,89,27.1,62.9,106.8,192.2,89.9,230.4,274.3
20,2.9,13.3,12.9,35.7,91,27.1,64.7,109.7,195.7,94.7,232,274.3
21,2.9,13.3,13.2,36.6,93.3,27.7,66.6,111.4,199.5,99.9,235.5,274.5
22,2.9,13.3,13.2,37.2,94.5,27.7,67.1,113.8,206.1,105.1,236.4,274.6
23,2.9,13.3,13.2,37.3,94.7,27.7,70.8,118,213.4,109.2,237.4,277.2
24,2.9,13.5,14.4,39.6,96.4,28.8,72.4,122.9,216.8,115.7,238.7,280.1
25,2.9,13.5,14.4,40.8,99.7,29.1,74.6,124.4,220.2,121.2,239.9,280.2
26,2.9,13.5,14.9,42.1,101.2,29.1,75.2,127.6,222.7,124.6,241.2,280.7
27,2.9,13.5,15.6,44.4,104.4,30.4,76.5,129.6,227.7,129,244.2,281.1
28,2.9,13.5,15.6,47.1,107.2,31.1,76.8,133.4,232.4,134.7,245.2,282.9
29,2.9,,15.6,48.5,109,31.4,77.1,136.3,240.5,139.8,246.3,283.3
30,3,,15.6,49.9,110.1,32.6,78,136.3,245.2,145.1,250.6,283.3
31,3.6,,15.6,,112.1,,78.4,138.1,,147.4,,283.6
