DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0,0.4,0.1,9.4,38.9,2.3,24,53.2,101.8,1.6,101.1,200.1
2,0.1,0.7,0.1,9.7,39.4,2.4,24,54.5,104.3,10.1,106.2,203.3
3,0.1,0.8,0.1,10.3,41.2,5,25.8,55.4,106.7,10.6,110.5,204.6
4,0.1,0.8,0.3,10.7,41.8,6.2,26,55.7,106.9,12.2,115.5,205.4
5,0.1,0.8,0.9,12.2,42.3,7.3,26.1,56.3,108.3,15.5,119.8,206
6,0.1,0.8,1.5,12.3,43.3,9.7,26.4,56.6,112.3,18.1,124.7,206.7
7,0.1,1.2,2.2,13.8,44.1,10.3,26.6,57.3,115,20.2,126.7,209
8,0.1,1.9,2.8,13.9,44.7,13.5,27.1,58.1,116,25.1,130.6,209.9
9,0.1,1.9,2.8,14,44.7,13.7,27.7,60.3,120.6,29.6,133.1,211.8
10,0.1,1.9,5.3,14.9,45.1,14.7,30.1,61.5,124.1,34.2,134.8,212.8
11,0.1,1.9,5.3,14.9,48,16.4,30.7,62.3,126.8,36,136.5,214.1
12,0.1,1.9,5.3,15.3,50.7,16.4,31.1,63.9,128.9,38.6,139.9,214.8
13,0.1,2.1,5.3,18.5,55.3,17.1,32.5,66.8,132.5,41.1,143.8,216.2
14,0.1,3.2,5.6,18.7,56.2,18.1,33.2,66.8,135,44.5,144.6,217
15,0.1,3.3,5.6,20.1,58.7,18.2,34.6,68.9,138.4,47.7,151.9,218.7
16,0.1,3.3,5.6,20.8,59.9,18.2,34.9,71.7,144.7,51,156,219.1
17,0.1,3.3,5.7,23.6,62.6,18.4,36.3,75.6,153.5,53.9,160.1,220
18,0.1,3.3,5.7,26.5,65.1,18.4,37.4,78.8,154.8,56.8,163,220.4
19,0.1,3.6,5.7,26.6,65.4,18.4,38.6,81,156.9,62.3,165.9,220.4
20,0.1,3.6,5.7,29,69,19.2,38.8,82.1,160.1,64.5,167.6,220.4
21,0.1,3.6,7.6,30,70,19.2,41.8,82.8,162.9,67.1,169.8,220.4
22,0.4,3.6,7.6,31.3,72,19.2,42.8,85.4,164,70.2,172.1,220.7
23,0.4,3.6,7.6,31.6,73.9,19.3,43.7,86.9,167.8,72,174.8,224.6
24,0.4,3.6,8.8,32,73.9,19.3,45.2,88.3,171.1,76.7,179.3,225.4
25,0.4,3.6,8.8,32.9,76.2,20.3,47.2,90.7,177.8,82,180.1,226.1
26,0.4,3.6,9.2,34.4,78,23.4,48.1,91.8,180.8,85.1,181.1,227.8
27,0.4,3.6,9.3,36.3,80.2,23.9,50,95.8,184.4,87.4,182.4,228.3
28,0.4,3.6,9.3,36.7,80.6,24,51.8,97.1,190.4,90.6,193,228.8
29,0.4,,9.3,37.6,84.9,24,52,97.7,193.6,93.2,196.6,229.6
30,0.4,,9.3,38.4,85.8,24,52,99.5,197.2,97.5,199.1,229.6
31,0.4,,9.3,,87.1,,52.5,100.4,,100,,230.3
