DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.1,4.8,0,17.2,62.5,0.3,17,26.1,40.3,3.6,127.2,256.8
2,0.1,4.8,0,17.2,62.6,2.8,17,26.2,40.3,4.6,131.7,259
3,0.1,4.8,0,18.5,64.1,6.6,17,26.2,42.9,6.3,137.7,262.5
4,0.1,4.9,0.9,20.4,67.5,6.6,17,26.6,43.1,8,146.4,263.8
5,0.1,5,1.7,22.4,71.9,7.1,17.6,26.6,45.3,10.7,152.5,265
6,2.2,5,2.7,22.8,73,9.9,18.4,26.6,46.5,11.6,162.8,266.8
7,2.9,5.4,3.2,23.5,75.2,10,18.8,26.6,47,12.8,173.7,270
8,3,5.7,3.4,23.5,76.5,10.2,19,27,47.2,14.3,179.1,272.7
9,3.4,5.7,3.4,24.7,78.2,10.2,19.1,27.1,47.2,19.4,186.9,273.9
10,3.5,5.7,3.5,25.5,78.9,10.2,19.2,27.1,51.9,23.8,193.1,277.1
11,3.6,6.1,4.9,25.6,80.5,10.8,20.2,27.2,53.1,29.6,194,279.5
12,3.6,6.1,5.6,28.6,81.9,10.9,21.3,27.2,57.6,32.6,197.1,281.3
13,3.6,6.4,8.8,28.7,83.5,11.2,21.3,27.2,58.7,37.6,201.9,282.3
14,3.6,6.4,8.8,29.6,84.7,11.7,22.4,27.2,62.3,41.4,205.1,284.1
15,3.6,6.4,10.2,33.7,86.4,12.3,22.9,28.2,63,43.9,206.7,286.4
16,3.6,6.4,10.6,36.9,89.6,12.3,23.2,28.6,64.8,48.1,207.6,288.7
17,3.6,6.4,10.8,38.3,90.6,12.4,23.2,28.7,67.1,53.1,210,290.9
18,3.6,6.4,11.1,40.3,93.2,12.4,23.2,30.1,69.8,56.4,213,292.3
19,3.6,6.6,11.9,40.4,95.2,12.4,23.8,30.6,72.3,58.2,217.5,296.9
20,3.7,6.6,12.3,43,99.3,12.4,23.8,31.2,73.1,64.9,218.5,299.7
21,3.7,6.6,13.3,45.7,101.5,12.9,24,31.9,75.2,68.5,221.2,300.3
22,3.7,6.6,13.6,46.5,102,13.6,24,34.7,78.2,75.2,225.7,302
23,3.7,6.6,13.6,47.7,103.8,13.8,24,35.1,80,81,234.2,303.6
24,3.7,6.6,13.6,50.7,105,14.1,24.1,37.1,87.6,87,238.9,305.9
25,3.7,6.6,13.6,54.7,106.5,15.9,24.8,37.4,89.2,91,242.4,306
26,3.7,6.6,13.6,56.1,107.8,16.9,25.2,37.6,89.9,95.4,245.2,307.2
27,3.7,6.8,14.4,56.6,111.3,16.9,25.3,39.2,91.4,100.7,247.5,307.2
28,3.7,6.8,14.4,56.8,113.4,16.9,25.3,39.2,96.3,111.2,250.5,309.5
29,3.7,,15,58.2,113.9,17,25.5,39.5,102.4,113.6,254.7,311.2
30,3.7,,15,60,113.9,17,25.5,39.5,104.9,116.7,256.2,311.3
31,4.1,,17.2,,115.1,,25.5,40.3,,123.1,,311.4
