DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.2,2.7,0.2,12.8,53.9,0.8,26,78.1,143.6,4.4,150.1,271.9
2,1,3.1,0.5,12.9,55.5,1.7,26.5,79.5,145.3,7.3,155.8,275.9
3,1.6,3.1,0.5,13.8,56.9,4,28.4,80.8,148.8,9.9,164.1,277.1
4,1.6,3.1,0.5,15.9,58.4,4.9,29,81.2,150.2,16.4,168.8,278.1
5,1.6,3.2,1,16,59.3,5.6,29.9,83.2,156.2,19.6,177.8,280.4
6,1.6,3.2,1.2,16.6,61.3,7.7,30.4,84.8,158.1,23.5,183.2,281
7,1.7,3.3,1.2,18.1,64.1,8.1,32.4,86.6,160.9,28.3,188.4,283.1
8,1.9,4,1.5,18.4,65,11.1,35,88,162.6,30.6,195.7,286
9,2,4,1.5,19.9,66.4,11.1,38.5,88.7,170.2,33.2,202.8,288.4
10,2.1,4.1,2.3,20.1,69.5,12.7,40.3,89.7,173.4,38,207.9,289.3
11,2.2,4.1,4.5,20.5,70.6,13.1,43.6,92.1,177.4,42.4,210.2,290.3
12,2.2,4.1,5.5,20.6,71.6,13.2,44.8,93.3,179.9,47,214.2,291.6
13,2.2,4.1,6.9,21.9,74.7,14.2,46.8,94.4,182.6,50.9,219.3,294.1
14,2.2,4.2,7,23,77.2,14.5,48.5,95.1,186.9,55.7,221.5,295.4
15,2.2,4.6,7,23.5,83.1,15.9,51.6,95.9,191.4,59.6,223.2,296.1
16,2.2,4.6,7.3,24.5,87.6,17.2,55.4,98.9,195.9,62.3,225,297
17,2.2,4.8,7.3,27.9,89.6,17.7,56.3,102,201.9,66.7,229.3,298.3
18,2.2,4.8,7.4,29.7,90.9,17.9,58,106,204.6,70.4,233.1,298.5
19,2.2,5.2,7.6,31.5,93.6,18.7,60.3,108.2,209.2,76.1,237.6,300.6
20,2.2,6.4,7.6,32.4,97,19.4,62.2,112.2,213.3,83.6,239.6,302.4
21,2.2,6.4,9.4,34.7,98.2,20.2,63.1,114.6,216.4,89.7,244.6,303
22,2.3,6.4,9.5,36.3,100.7,20.8,63.6,119.2,219.5,97.2,246.4,303.5
23,2.3,6.4,9.5,38.1,102.3,21,65.9,123.2,224.6,104.3,249.9,305.5
24,2.3,7.1,10,40.8,105.8,22.8,66.6,125.1,230.4,109.3,255.2,307.4
25,2.3,7.1,10,43.1,111.3,23.6,69,127.4,234.8,118,256.7,307.5
26,2.3,7.1,10.2,44.2,113.8,24,70.1,129.4,237.1,121.9,258.4,308.4
27,2.3,7.1,11.4,45.5,115.9,24.8,71.6,133,240.2,126.9,261,309
28,2.3,7.6,11.4,46.5,118.1,25,71.9,136.7,245.6,131.7,262.5,310.9
29,2.5,,11.6,46.9,120,25.5,73.5,139.5,249.1,136.8,266.2,311
30,2.5,,11.7,47.1,122.4,25.8,74.6,140.3,254.5,140.1,269.5,311
31,2.5,,11.7,,124.8,,75,141.1,,142.1,,311
