DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.1,5.9,0.6,19.3,71.5,3.2,36.2,81.2,148.9,4.7,190.4,316.4
2,1.2,6.3,1.5,19.5,74.7,4.7,37.1,84.7,151.1,10.7,198.3,319.5
3,1.3,6.3,1.5,21.5,77.2,8.1,37.5,86.4,157.8,14.4,207.8,320.9
4,1.3,6.3,1.5,23.6,79.1,10.5,38,87.8,160.1,19.4,213.9,322.6
5,1.3,6.3,2,23.7,80.4,12.8,39.3,88.9,162.4,22.3,227.9,324.2
6,1.3,6.3,2.6,24.5,81.7,15.3,41.8,90.4,165.2,27.5,231.1,324.5
7,1.4,6.7,2.8,25.8,85.5,16.1,43.9,92.2,168.7,32,234.7,327.2
8,2.4,7,3,25.9,86.8,18.5,44.7,92.8,170.8,40.7,239.1,333.1
9,2.4,7,3,26,88.6,19.1,46.2,94,175.1,47.2,246.7,338
10,2.5,7.3,3.2,26.9,89.9,20,47.9,94.5,177.9,52.8,251.2,340.2
11,2.9,7.5,4.3,27.3,93,20.8,50.7,96.3,182.5,55.6,253.2,342
12,2.9,8.7,5.3,28.7,97.6,22,51,100,186,60.2,258.6,342.8
13,2.9,8.9,10.2,30.6,100.6,23.1,51.9,101.1,188.9,70.1,262.8,343.8
14,2.9,8.9,11.4,33.1,102.2,23.7,52.8,101.5,192.3,75.8,265.1,344.4
15,2.9,9.4,11.9,33.7,106.7,25.2,54.9,103.2,195.9,82.1,267.4,345.7
16,2.9,9.6,12.1,34.1,110.9,25.8,57.4,104.1,201,86.5,270.6,347.3
17,2.9,9.6,12.2,36.4,112.8,27,58.5,107.9,209.3,91.7,278.3,347.7
18,3,11.2,12.4,39.1,115.5,28,60.3,110.1,213.9,95.5,280.6,347.9
19,3,13.5,12.6,42.4,117.8,28.4,61.3,112.2,216.7,101.6,284.1,350.1
20,3,14.3,12.8,42.9,122,28.8,64.1,114.9,221,110.2,286.1,351.5
21,3,14.4,15.5,45,124.8,29,66.8,119.3,223.7,115.1,288.9,352.3
22,3,14.4,16.7,46.9,128.6,29.5,67.3,122.2,228.6,121.9,292.3,352.8
23,3,14.4,17.1,49.4,131.3,30.9,69.1,125.8,238.1,131.3,295,354.3
24,3,15.1,17.7,50.4,134.6,31.5,70.7,130.3,244.6,139.1,298.9,356.1
25,3,15.3,17.8,56.3,138.6,32.1,71.7,132.5,252,144.2,301.6,356.3
26,3,15.3,17.8,58.6,142.1,32.6,73.7,134.5,254.9,149.4,303.3,357
27,3,15.4,18,59.5,146.9,33.7,74.7,135.8,261.7,155,305,357.1
28,3.1,15.8,18,61.1,148.8,34.4,75.7,137.3,268.6,164.1,306.6,358
29,3.2,,18.1,62.4,152.7,35.5,77.1,138.8,278,169.2,309.2,358
30,3.2,,18.1,65.5,158.2,35.6,77.9,140.9,283.8,175.3,313.7,358.1
31,5.4,,18.1,,162.2,,79,146.1,,181.9,,358.8
