DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0,0,0,18.3,86,1.4,42.2,88.6,155.2,3.6,155.9,227.6
2,0,0,0.1,19.6,90.1,6.1,42.3,88.9,158.8,7.8,162.2,230.6
3,0,0,0.2,20.8,92.8,7,42.4,89.1,159.8,11.4,166.6,230.7
4,0,0,1.2,22.8,95.4,10.6,42.9,90.2,161.5,16.7,173.4,231.9
5,0,0,1.5,23.6,99.5,16.4,43,90.7,164,19.3,177.5,233.4
6,0,0,3.2,25,101.1,19.9,44.7,91.9,170.3,22.1,180.7,233.6
7,0,0,3.3,27.9,102.5,21.3,51.1,92.8,171.6,27.9,183.4,235.5
8,0,0.2,3.3,29.3,105.4,24.4,51.6,93,175.5,32.1,187.7,238.4
9,0,0.3,3.3,30.7,109.3,24.6,53.7,94.8,177.4,35.2,194.6,241.3
10,0,0.9,4.2,31.7,114.6,25.8,54.6,96.6,183,40.9,196.5,241.5
11,0,1.1,5.3,31.9,118.7,26.2,56.3,96.9,185.3,46.5,197.2,241.5
12,0,1.3,5.9,33.3,125.5,26.4,60.2,99.3,187.1,51.5,198.1,241.5
13,0,1.4,6.5,35.3,133.6,27.9,60.3,99.7,192.7,53.7,202.7,242.1
14,0,1.5,7.3,38.9,138,28.7,63.9,99.8,201,57.2,203.4,242.4
15,0,1.5,8.1,41,144.4,28.8,64.8,102.2,209.4,64,204.7,243.2
16,0,2,8.4,42.6,151.4,30.3,65.6,105.7,214.7,70.3,209.8,243.7
17,0,2,9,46.5,155.2,31.9,66.6,109.6,222,74.2,211.7,243.7
18,0,2,9.6,49,160.8,33.8,68.6,110.8,228.8,79.8,214.2,243.7
19,0,2.3,9.6,51.3,165.3,34.2,68.7,115.9,229.2,83.9,216,245.4
20,0,2.3,11.5,52.1,167.3,34.8,69.4,118.6,235.1,89.2,216.5,246.5
21,0,2.3,11.8,56.1,168.4,35.1,70.7,123.5,239.5,91,217.2,246.6
22,0,2.5,12.4,59.2,170.8,35.5,72.8,127.2,243.5,95.6,219,247.4
23,0,2.6,13.4,63.9,172.5,36.3,76.3,128.3,250.6,102,220.7,248.6
24,0,3,13.5,67.5,174,38.6,79.1,131.8,258.4,109.8,221,249.6
25,0,3,13.8,72,180.6,39.2,80.1,136,271.4,113.6,221.6,249.6
26,0,3,14.1,73.5,187,39.2,80.5,141.2,282.4,122.9,223.3,250.1
27,0,3,14.3,76.3,195.6,39.7,81.4,146.4,287.4,129.2,224.5,250.4
28,0,3,15.2,79.4,200.1,39.9,83.6,147.7,297.6,131.7,225.7,250.4
29,0,,15.8,80.3,202.5,40.4,84,148.6,301.9,137,226.5,250.4
30,0,,16.7,82.2,209.5,41.4,85.3,151.9,309.1,143.1,226.5,250.4
31,0,,18.1,,214.2,,87,154.3,,148.7,,250.7
