DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.6,11.4,0,8.6,29.5,1,80.9,202.8,365.7,9.2,189.4,439.7
2,1.7,11.4,0,8.6,30.1,4.4,81.7,206.2,369.7,13.1,196.8,448.6
3,1.9,11.4,0.3,8.9,30.2,8.5,87.7,209.8,373.3,19.1,208.6,455.9
4,2,11.4,1.1,8.9,32.2,10.7,89.1,212,380.1,23.3,216.1,462.8
5,2.2,11.4,1.3,9.9,32.2,12.2,90.5,215.6,381.1,26.6,225.2,467.1
6,2.2,11.8,1.3,11.4,33.9,14.5,94,221.5,387.8,31.1,240.7,477.3
7,3.2,12.1,2.1,11.5,38.8,19.1,97.4,225.8,395.5,35.3,252,486.9
8,4,12.3,2.1,11.5,40.8,20.8,100.2,228.8,408,42.4,259.8,493.5
9,4.6,12.3,2.1,12.3,42.1,26.7,102.9,235.9,413.4,46.9,268.3,496.6
10,4.6,12.3,2.7,12.3,45.2,30.3,109.7,239.1,420.7,52.1,279,500.8
11,5,12.3,3.6,12.3,46.7,32.5,115.8,246,427.1,57.2,284.4,503.9
12,5,12.5,3.9,12.4,48.2,36,121.7,253,430.4,60.8,295.9,506.3
13,6,12.8,3.9,14.1,50.3,42.4,126.5,256.3,435.8,65.6,319.3,515.1
14,7.3,14.5,4.9,15.2,50.5,44.3,130.2,263.3,441,70,325.2,520.2
15,7.7,14.6,5,16.5,51.9,46.6,133.6,270.2,448.4,71.8,328.8,525.1
16,8.9,15.2,5.1,16.7,53.7,47.2,138.5,275.9,455.2,78.6,343,527.9
17,8.9,15.7,5.4,16.9,55,47.8,140.5,283,462.9,86,349.9,530
18,9,16.1,5.4,17.2,59.2,48.2,144.7,287.8,466.1,90.7,353.9,530.6
19,9.2,16.1,5.4,17.2,61,49,149.3,291.9,471,95.5,361,534
20,9.2,16.2,5.4,17.2,64.5,52,151.4,298,477.9,101.3,365.7,537.8
21,9.2,16.5,7.2,18.2,66.5,53.1,158.1,302.8,481.1,107.8,371,538.4
22,9.2,16.5,7.7,19.2,67.7,55.5,164.6,308.5,486.3,110.9,377,540.2
23,9.2,17.4,7.7,26,69.7,59.6,167.2,314.3,491.1,118.6,384.5,542.6
24,9.3,18.7,8.2,26.2,72,63.1,169.2,321.5,498,128.5,393.8,544
25,9.3,18.8,8.2,26.5,73.5,65.3,173.1,327,507,134.9,399.3,544.5
26,9.3,18.8,8.2,27.6,77.1,66.3,177.7,331,511.8,140.6,412.3,545.4
27,9.3,19,8.2,28.9,77.4,67.9,183.1,336,521.5,152.9,423.9,546.5
28,11.3,20,8.2,28.9,77.7,69.3,186.2,338.8,526.8,157.7,427.2,547.9
29,11.4,,8.2,28.9,80.5,72.6,190.9,346.2,537.4,166.8,430.3,548.9
30,11.4,,8.2,29.2,82.9,75.1,197.6,351.3,549,174.4,433.7,552.8
31,11.4,,8.2,,84.5,,200.3,359.7,,183.8,,556.4
