DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.6,16,0,5.3,27.6,0.4,64.9,180.7,311.6,14.3,223.4,509.8
2,3.4,16,0,5.9,28.1,1.5,68.1,183.2,314.7,16.8,233.9,526.5
3,4.1,16,0.1,6,28.7,5.3,72.3,187.8,317.9,22.8,245.6,537.4
4,4.7,16,0.1,6,30.4,6.3,74.3,189.7,322,27.4,255.6,547.9
5,5.4,16,0.2,7.2,30.6,7,76.5,193.5,326.3,31.3,266.8,557.3
6,5.6,16.1,0.2,8.6,32.1,8.4,79.7,194.8,330.2,34.3,284.5,564.7
7,6.2,16.9,0.2,8.6,39.1,11.8,83.6,199.1,335,38,298,573.5
8,7.4,17,0.2,8.6,41.8,13.1,86.3,202.5,339.5,44.7,307.6,576.3
9,7.6,17.5,0.2,8.6,43,16.8,91.1,205.7,345.2,48.9,316.1,580.1
10,8,18.2,0.2,10.1,43.2,19,96.9,210.6,350.5,52.4,328.9,583.3
11,8.1,18.2,0.4,10.1,46.2,20.1,99.9,215.5,355.7,55.6,334.6,587.3
12,8.2,18.2,0.8,10.2,48,21.2,106.6,218.8,360.8,58.5,351.7,591.1
13,11.1,18.9,0.8,10.3,49.1,24.1,109.3,220.6,365.4,62.5,371.5,600.2
14,12.7,20.3,1.3,11.4,49.5,29.1,111.8,227.3,371.9,68,377.4,605.3
15,12.8,20.4,1.4,12.9,49.8,32.6,115.7,234.4,378.2,69.6,381.8,608.8
16,14.7,20.6,1.4,13,50.2,33.4,121.6,240.1,385.8,76.1,398.4,615.6
17,14.7,22.4,1.4,13.2,52.3,33.6,122.9,247.7,393.2,88,407.1,618.2
18,14.9,22.8,2.8,13.5,55.1,34.8,126.1,255,395.7,93.1,413,619.6
19,15.2,23.2,2.8,13.5,56.6,34.9,128.8,260.8,402.9,99.4,421.4,624.3
20,15.2,23.4,2.8,13.5,58.1,36.2,130.6,264.6,408.6,107.2,424.4,627.9
21,15.2,23.5,3.4,13.5,59.4,37.8,137.3,269.1,411.9,112.6,428.2,630.3
22,15.2,23.5,4.5,14.9,59.5,42.1,140.7,275.1,415.5,117.7,434.9,632.9
23,15.3,24.8,4.7,20,59.7,46.2,143.2,278.4,416.6,126.7,442.3,635.1
24,15.3,25,4.7,20.2,60.1,48.7,146.4,282.8,419.6,136.7,453.1,639
25,15.3,25,4.7,20.3,60.9,53.7,150.8,286.2,424.5,145.9,468.2,639.8
26,15.3,25,5.1,23,64.3,55.5,155.6,289.3,428.8,155.3,481.8,642.5
27,15.4,25,5.1,24.9,66.2,57.7,161.2,293.1,431.1,171.9,491.5,643.3
28,15.5,25.3,5.1,25.5,67.9,58.9,164.3,294.8,435.8,183.8,496.4,645.2
29,15.7,,5.1,26.3,68.5,62.8,168.6,297.6,443.4,195.6,500.1,646.8
30,16,,5.1,26.7,69.8,64.1,172.4,300.9,453.7,202.6,502.6,651.5
31,16,,5.1,,70.5,,176.6,308.5,,216.9,,656
