DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0,17.6,0.1,25.8,44.5,0.3,36.9,77,147.4,3.4,222.1,584.7
2,0,17.6,0.1,25.8,45.3,2,36.9,78,151.3,3.4,227.6,588.5
3,0.4,17.6,0.1,25.8,45.4,2,41.8,81.2,151.5,4.8,240,601
4,1.6,17.9,1.4,29.1,45.7,2.7,45.2,81.7,152.8,5.6,260.5,606.5
5,3.3,17.9,1.5,30.7,48.4,2.7,45.9,81.7,153.4,8,280.3,611.2
6,3.5,17.9,3.6,31.6,51.6,2.7,45.9,82.5,159,9.1,297.8,622.2
7,3.5,17.9,4.3,31.6,53.9,4.8,45.9,82.7,159.1,10.5,312.4,629.9
8,3.7,17.9,4.3,31.6,54,5.5,47,84.5,161.7,14.5,335,646.4
9,6.4,17.9,4.3,31.6,54.7,5.5,47.8,88.7,165.5,15.5,348.4,659.2
10,6.5,19,4.3,31.6,55.5,6.9,48.3,91.8,172.5,16,355.1,676.3
11,10.2,19,9.4,31.6,55.5,9.2,51.4,94.1,178.3,19.1,363.9,680.4
12,10.2,19,13.2,35.3,58.1,12,52.7,94.4,178.8,22.3,376,688.9
13,10.2,19.2,14.8,35.3,58.1,16.2,53.9,97.5,184.4,25.8,383.9,700.3
14,10.2,19.3,16.2,35.3,58.4,20.2,56.8,98.6,186.9,30,386.5,718.9
15,11.7,20.6,17.8,35.3,59.9,20.4,58.2,99.2,188,36.2,398.9,735
16,13.1,20.6,18.7,36.3,60.9,21,59.3,100.9,189.2,41.6,413.6,743.5
17,14.6,20.9,19.1,37.4,60.9,21.2,59.7,102.4,199.1,49.2,418.8,749.1
18,15,21.5,20.3,37.4,61.5,22.3,59.9,106.7,199.1,52.7,430.9,755.4
19,15.1,21.5,20.4,37.5,62.7,23.2,60.1,107.7,202,60,435.1,762.5
20,15.8,21.6,22.1,37.5,62.8,24.9,60.4,111.7,205,67.5,449.1,775.3
21,16,21.6,22.9,37.5,62.9,25.2,60.8,115.1,207.7,71.4,455.6,782.6
22,16,21.6,23.8,37.5,63.3,29.2,62.2,117.2,210.2,84.4,460.8,785.7
23,16,22.1,23.8,39.4,65,29.3,62.5,122.2,214.8,98,475.5,786.9
24,16.8,22.1,23.8,39.5,65.3,29.4,65.4,123.8,217.3,114.7,501.3,794.3
25,16.9,22.1,23.8,41.9,65.7,29.9,67,127.9,219.1,131.1,522.8,796.4
26,17.1,22.1,23.8,41.9,65.8,30.4,68,131.8,220.5,147.9,549.1,809.9
27,17.2,22.1,25.3,42.2,68,33.8,68.9,132.6,228.4,161.2,561.6,815.5
28,17.3,22.5,25.8,42.2,68.9,33.8,70,136.6,229.8,174,565.2,816.6
29,17.4,,25.8,42.2,69.1,36.4,70.1,139.8,236.5,187.2,580.2,817.5
30,17.4,,25.8,42.2,69.1,36.4,72.7,141.5,237.9,199.2,583.2,826.8
31,17.4,,25.8,,69.2,,72.7,144.4,,206.8,,828.7
