DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.8,58.4,0.6,30.1,58.8,0.5,27.6,79.7,146.6,2.4,257.6,695.5
2,3.4,63.3,0.6,30.3,59,0.6,28.7,80.1,148.7,7.1,266.4,718.3
3,3.9,65.8,2.4,30.8,62.3,1.1,29.4,80.7,151.8,13.3,284.1,727.2
4,6.4,66.2,5.1,33,65.7,1.3,30.8,81.7,154.6,18.6,302.7,744.4
5,9.8,67.4,6.3,34.8,67.9,3.2,31.9,81.9,156.7,23.2,322.1,753.3
6,13.3,69.7,8,36.9,72.2,7.9,32.5,83.5,157.5,29.5,339.8,763.3
7,16.6,71.3,9.1,38.5,73.7,9.5,33.2,84.1,159.2,37.9,368.6,769.5
8,21.7,71.5,10.3,39.3,75.2,11.1,34.9,84.9,162.2,41.7,386.7,776.5
9,33.2,72,10.3,39.4,76.9,13,35.4,85.2,163.7,46.4,399.6,791.7
10,36.7,72.1,13.8,40.3,77.1,14.1,38.1,86.6,167,48.7,415.1,802
11,38.2,72.9,19.9,40.6,77.9,15.2,38.7,87.7,173,54.5,428,805.6
12,41.9,73.7,20.6,42.8,79.6,16,40.9,91.3,175.8,59.7,436.7,812.3
13,42.3,74.7,22.4,44.1,82.3,18.3,43.1,93.6,177.3,64.3,447.6,816.2
14,42.4,75.8,22.8,44.4,83.6,18.5,45,94.9,177.6,67.5,457.2,824.7
15,45.4,78.1,22.8,46,83.9,18.8,46.5,96.3,179,71.9,467.9,833.2
16,46.2,79,23.5,46.2,89.3,18.8,47.6,97.8,180.9,78.3,476.4,838.5
17,47.2,79.4,23.8,46.4,93.5,19,50.4,104.3,182.1,83.6,484.1,844.5
18,49.6,79.5,24.2,50.8,93.9,20.7,51.3,106.4,185.5,91.3,495.8,854.2
19,50.2,79.7,26.1,50.9,96.4,21.8,54,109.5,186.3,99.3,504.8,859
20,51.1,81.6,26.9,51.2,98.3,22.5,55.6,109.9,191,112.3,515.1,865.8
21,52.8,83.1,27.1,51.5,98.9,22.5,59.9,113.5,194,122.4,531,877.4
22,52.8,83.1,27.1,52.1,100.3,23.1,60.8,120.2,200.9,128.5,541.7,892.5
23,53,84.2,27.3,53.3,101.3,24,61.7,125.3,202.4,138,548.8,907.3
24,53.4,85.1,27.4,53.8,102.2,25,62.2,128.1,204.1,154.9,565.3,909.5
25,53.4,87.2,28.7,54.6,103.8,25.4,64,130.3,209,162.9,583.1,911.8
26,53.7,88.1,28.7,56,105.2,26.3,66.2,133,211.3,177.4,614.2,914.7
27,55.7,88.1,29.6,56.4,106.2,26.8,67.5,137.5,215.7,188.8,639.8,918.9
28,55.9,88.5,29.7,56.4,106.8,26.8,71.1,139.1,221.7,202,653,924.6
29,56.8,,29.7,56.8,107.3,26.9,73.1,141.6,225.6,213.9,665.9,927.9
30,57.3,,30.1,56.9,107.3,26.9,74.1,142.4,228.1,228.7,680.6,932.8
31,57.3,,30.1,,107.5,,76.7,144.3,,240.6,,936.3
