DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.9,4.9,0.4,11.9,67.1,0.6,40.9,106,217.2,3.7,147.4,257.9
2,3.5,5,0.5,12.4,68.6,1.9,41,106.6,222.5,10.5,152.1,262.9
3,3.7,5,0.8,13.3,72.6,6.4,42.5,109.3,226,12.6,155.7,264.2
4,3.7,5,1.1,14.1,75.8,8.6,44.2,111.7,229.3,15.9,159.8,265.6
5,3.7,5.1,1.2,14.8,81.1,11.9,45.6,114.2,233.6,17.6,167,267.4
6,3.7,5.2,2.1,15.1,86.4,15.8,47.2,116.6,238.1,22,175.5,268.7
7,3.7,5.4,2.1,17,89.3,16.6,49.2,119.1,242.1,26.8,179.5,270.3
8,3.7,6,2.1,18,90.5,18.5,50.6,120.9,244.8,35.5,184.6,272.2
9,4.2,6,2.1,18.5,92.6,19.7,54.3,123.4,250.1,44.5,188.8,273.6
10,4.2,6,2.1,19.9,94.1,20.7,55.5,124,255.7,49.8,191.8,275.3
11,4.2,6,2.4,21.9,97.5,21.8,56.9,128.8,261.3,54,194.2,276.3
12,4.2,6,3.7,23.1,102.8,23.7,58.3,129.9,265.7,58.1,196.9,276.9
13,4.2,6,4.8,26.7,109.2,24.9,60.4,133.8,269.7,63,206.8,279.9
14,4.4,6.1,5.1,27.3,114.8,26.3,62.5,136.5,278.8,67.9,208.6,280.6
15,4.5,6.7,6,31.9,118.4,28.5,65.7,138.4,286.3,70.5,213,280.8
16,4.6,6.7,6.4,32.4,121.3,28.8,67.3,143.6,292.9,74.4,215.7,283.3
17,4.7,6.8,6.4,33.4,125.8,30,69,148.6,300.5,78.2,217.9,284.2
18,4.7,7.1,6.4,33.8,128.3,31.9,69.2,156,304,81.6,220.9,284.9
19,4.7,7.1,7.5,36.1,129.6,32.6,71.8,157.9,308.1,88.8,222.6,286.6
20,4.7,9.4,7.6,38.4,131.2,33.2,75.7,159.6,311.5,92.3,224.1,287.7
21,4.7,11,8.6,42.8,134.7,34.6,79.9,166.9,316.4,97.1,228.5,287.7
22,4.7,11.7,9,44.5,137,35.6,80,172.1,319,100.8,233.5,288.9
23,4.7,11.7,9,47.6,138.6,36,83.9,174.2,323.6,104.1,236.5,291.8
24,4.7,11.7,9.5,49.2,140.1,38.8,88,185.2,328.8,108.2,241.1,292
25,4.7,11.7,9.5,54.3,144.2,39.1,92.3,187.1,331.1,113.3,244.2,292.2
26,4.7,11.7,9.9,55.2,149,39.7,95.9,193.5,337.2,119.9,245.1,292.7
27,4.7,11.7,11.4,60.7,153.6,40.1,98.3,197.3,343.7,124.7,247,292.9
28,4.7,11.9,11.5,63.5,158.1,40.3,100,202.1,350.7,129.4,248.8,293.5
29,4.8,,11.8,64.6,161,40.7,101.4,209.6,357.5,136.3,251.6,293.7
30,4.9,,11.9,65.6,165.9,40.8,102.3,211.8,361.2,139.3,255.9,293.7
31,4.9,,11.9,,167.7,,104.6,213.5,,142.4,,293.8
