DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2,5.1,0,15.1,59.1,2.9,60.7,141.7,273.5,5.5,148.6,236.7
2,3.1,5.1,0.3,15.1,60.6,6.7,62.5,145.8,276.5,12.6,152.6,239.8
3,3.5,5.1,0.4,17.7,62.9,9.8,64.4,148.5,281.6,16.8,155.6,240.5
4,3.5,5.1,0.5,17.8,66.7,10.9,65.7,150.5,283.4,21.4,160.4,243.4
5,3.7,5.1,1.4,18,69.8,15.5,69.3,154.1,288.3,26.5,166.8,244.3
6,3.7,5.2,2.1,18.2,71.8,18.2,71.1,155.2,291.9,31.9,174.8,245.3
7,3.9,5.5,2.2,19.7,75,20.5,73,158.4,298.2,34.8,177.9,247
8,4.2,6.1,2.2,20.1,76.4,23.7,75.5,161.1,303.6,40.5,180.9,248.5
9,4.3,6.2,2.2,20.8,78.2,25.6,76.6,165.1,308.7,46.8,182.7,249.8
10,4.3,6.4,2.5,23.4,80,27,79.9,170.3,315.1,51.8,187.7,250.9
11,4.3,6.4,3.1,23.4,85.9,29.8,85,172.5,319.4,56.5,190.3,252.3
12,4.3,6.5,4.1,24.2,88.9,31.6,88.4,175.3,321.4,62.3,194.7,252.4
13,4.5,6.6,4.1,24.5,95.1,32.2,90.6,180,329.2,65.4,197.4,253.3
14,4.6,6.7,5.6,25.3,100.5,33.2,92.1,183.6,337.8,68.5,199.4,254.4
15,4.8,7.4,5.9,26.2,103.9,36.1,95.1,186,344.2,70.7,201.8,255.2
16,4.9,7.4,6.1,29.4,106.4,37,97,188.5,353.1,72,203.9,256.4
17,4.9,7.5,6.4,31.2,110.2,37.9,98.8,194.6,360,77.6,207.7,257.5
18,4.9,7.5,6.5,32.7,115.5,39,100.4,200.7,365.3,81.9,210.8,257.5
19,4.9,7.6,7,33.7,117.9,40.2,101.9,207.1,369.3,89.2,212.9,260.1
20,4.9,14.7,7,37.1,120.5,41.5,104.5,211,372.7,94.6,214.4,262.2
21,4.9,15.6,9.6,39.7,122.6,42.7,107.7,216.2,376.4,99.4,215,263.2
22,5.1,15.6,9.7,41.2,124.9,43.6,109.9,222.3,380.4,105.6,218.9,263.6
23,5.1,15.6,9.8,43,126.6,45.6,114.6,226.5,390.9,110.4,220.7,266.7
24,5.1,15.6,9.9,44.7,128.7,48.3,117.3,230.2,394.2,116.7,224.9,266.8
25,5.1,15.6,9.9,48.2,133,50.5,120.6,236.7,397.8,120.5,226.4,267
26,5.1,15.6,10.2,51,137.4,51.3,125,240,405.6,123.6,228.5,267.7
27,5.1,15.7,10.7,53.1,139.3,53.2,129.1,246.4,409.6,128,229.6,267.8
28,5.1,15.7,11.2,53.9,143.3,54,131.8,253.5,419.1,132.2,231.2,268.4
29,5.1,,12.3,56,146.1,55.2,132.7,259.8,427.3,137.6,232,268.9
30,5.1,,12.8,56.1,150,56.7,134.9,263.8,432.1,141,234.7,269.2
31,5.1,,13.4,,153.5,,137.4,266.7,,143.4,,270.5
