DATE,S1,DATE,S2,DATE,S3,DATE,S4
01-Jan,0.3,01-Mar,0,01-Jun,1.6,01-Oct,4.9
02-Jan,1,02-Mar,1.3,02-Jun,3.9,02-Oct,10.1
03-Jan,1,03-Mar,1.4,03-Jun,7.2,03-Oct,12.9
04-Jan,1,04-Mar,1.5,04-Jun,9.4,04-Oct,17.3
05-Jan,1,05-Mar,3,05-Jun,11.8,05-Oct,21.6
06-Jan,1,06-Mar,3.6,06-Jun,14.1,06-Oct,26.7
07-Jan,1.1,07-Mar,4,07-Jun,16.5,07-Oct,29.9
08-Jan,1.3,08-Mar,4.6,08-Jun,17.7,08-Oct,34.4
09-Jan,1.8,09-Mar,4.6,09-Jun,18.1,09-Oct,40.1
10-Jan,1.8,10-Mar,4.6,10-Jun,19.1,10-Oct,44.2
11-Jan,1.8,11-Mar,5.2,11-Jun,21,11-Oct,48.1
12-Jan,1.8,12-Mar,6,12-Jun,21.5,12-Oct,52.9
13-Jan,1.8,13-Mar,7.1,13-Jun,23.4,13-Oct,57.3
14-Jan,1.8,14-Mar,7.6,14-Jun,24.9,14-Oct,61.3
15-Jan,1.8,15-Mar,7.7,15-Jun,25.6,15-Oct,65.3
16-Jan,2.1,16-Mar,7.7,16-Jun,26.1,16-Oct,68.4
17-Jan,2.1,17-Mar,8,17-Jun,28,17-Oct,75.4
18-Jan,2.4,18-Mar,8.2,18-Jun,28.8,18-Oct,79
19-Jan,2.4,19-Mar,8.2,19-Jun,29.2,19-Oct,83.9
20-Jan,2.4,20-Mar,8.2,20-Jun,29.6,20-Oct,90.1
21-Jan,2.4,21-Mar,10.7,21-Jun,29.8,21-Oct,96.5
22-Jan,2.6,22-Mar,12.6,22-Jun,31.1,22-Oct,101.7
23-Jan,2.6,23-Mar,12.8,23-Jun,31.8,23-Oct,105
24-Jan,2.6,24-Mar,13.1,24-Jun,32.9,24-Oct,110.8
25-Jan,2.6,25-Mar,13.1,25-Jun,33.4,25-Oct,118.7
26-Jan,2.6,26-Mar,13.1,26-Jun,33.8,26-Oct,125.2
27-Jan,2.6,27-Mar,14.8,27-Jun,35.3,27-Oct,129.1
28-Jan,2.6,28-Mar,15.4,28-Jun,35.9,28-Oct,131.4
29-Jan,2.6,29-Mar,17.7,29-Jun,38.4,29-Oct,137.9
30-Jan,2.6,30-Mar,17.7,30-Jun,38.6,30-Oct,142.6
31-Jan,2.6,31-Mar,18,01-Jul,38.7,31-Oct,144.7
01-Feb,2.6,01-Apr,21,02-Jul,38.7,01-Nov,150.1
02-Feb,3.1,02-Apr,22.2,03-Jul,39.3,02-Nov,156.8
03-Feb,3.2,03-Apr,23.6,04-Jul,40.5,03-Nov,164.4
04-Feb,3.2,04-Apr,26.1,05-Jul,44.4,04-Nov,168.5
05-Feb,3.5,05-Apr,28.1,06-Jul,45.4,05-Nov,177.5
06-Feb,3.6,06-Apr,29.4,07-Jul,46.4,06-Nov,182.7
07-Feb,3.7,07-Apr,32.6,08-Jul,48.5,07-Nov,188.3
08-Feb,5.2,08-Apr,33.5,09-Jul,49.5,08-Nov,191.7
09-Feb,5.3,09-Apr,34.2,10-Jul,52,09-Nov,195
10-Feb,5.3,10-Apr,34.6,11-Jul,54.3,10-Nov,198.6
11-Feb,5.3,11-Apr,35.2,12-Jul,55.9,11-Nov,200.7
12-Feb,5.3,12-Apr,36.3,13-Jul,57.1,12-Nov,201.8
13-Feb,5.3,13-Apr,38,14-Jul,59.1,13-Nov,206.5
14-Feb,6,14-Apr,39.9,15-Jul,61,14-Nov,209.7
15-Feb,6.8,15-Apr,41,16-Jul,62.9,15-Nov,211.7
16-Feb,6.8,16-Apr,43,17-Jul,64.4,16-Nov,214
17-Feb,7.2,17-Apr,44.2,18-Jul,65.7,17-Nov,219.2
18-Feb,7.2,18-Apr,46,19-Jul,67.4,18-Nov,221.1
19-Feb,7.3,19-Apr,47.7,20-Jul,69.8,19-Nov,223
20-Feb,9.5,20-Apr,49.7,21-Jul,73.9,20-Nov,224.4
21-Feb,9.5,21-Apr,51.4,22-Jul,74.8,21-Nov,228.2
22-Feb,9.5,22-Apr,52.9,23-Jul,76.6,22-Nov,230.1
23-Feb,9.7,23-Apr,56.1,24-Jul,77.7,23-Nov,235.2
24-Feb,9.7,24-Apr,59.8,25-Jul,80.4,24-Nov,239
25-Feb,9.7,25-Apr,63.3,26-Jul,82.7,25-Nov,241.5
26-Feb,9.7,26-Apr,64.3,27-Jul,83.5,26-Nov,243.3
27-Feb,9.7,27-Apr,66.6,28-Jul,84.4,27-Nov,244.9
28-Feb,9.7,28-Apr,70.7,29-Jul,85.4,28-Nov,247.3
,,29-Apr,72.1,30-Jul,88.7,29-Nov,250.2
,,30-Apr,73.8,31-Jul,91.2,30-Nov,253.6
,,01-May,78,01-Aug,93.6,01-Dec,255.2
,,02-May,78.7,02-Aug,94.7,02-Dec,257.9
,,03-May,80.3,03-Aug,96.2,03-Dec,259.4
,,04-May,84.7,04-Aug,98.1,04-Dec,260.9
,,05-May,88.1,05-Aug,99.4,05-Dec,263
,,06-May,91.2,06-Aug,101,06-Dec,264.1
,,07-May,94.6,07-Aug,104.8,07-Dec,266
,,08-May,96,08-Aug,108,08-Dec,266.9
,,09-May,97.5,09-Aug,109.7,09-Dec,268.4
,,10-May,99.7,10-Aug,111.6,10-Dec,269.3
,,11-May,103.6,11-Aug,115.1,11-Dec,271
,,12-May,105.7,12-Aug,116.6,12-Dec,271.2
,,13-May,110.8,13-Aug,118,13-Dec,271.9
,,14-May,114.3,14-Aug,118.9,14-Dec,272.4
,,15-May,118.8,15-Aug,120.5,15-Dec,273.2
,,16-May,122,16-Aug,124.1,16-Dec,275.9
,,17-May,123.3,17-Aug,127.3,17-Dec,276.2
,,18-May,126.1,18-Aug,131.9,18-Dec,276.4
,,19-May,128.5,19-Aug,134.4,19-Dec,278
,,20-May,130.4,20-Aug,136.8,20-Dec,279
,,21-May,134.3,21-Aug,141.2,21-Dec,279.4
,,22-May,138.8,22-Aug,145.8,22-Dec,279.6
,,23-May,141.1,23-Aug,148.5,23-Dec,281.3
,,24-May,143.8,24-Aug,154.9,24-Dec,282.1
,,25-May,147,25-Aug,157.1,25-Dec,282.5
,,26-May,151,26-Aug,160.1,26-Dec,283.1
,,27-May,157.7,27-Aug,162.5,27-Dec,283.4
,,28-May,160.2,28-Aug,164.9,28-Dec,284
,,29-May,162.3,29-Aug,166.8,29-Dec,284.1
,,30-May,164.8,30-Aug,168.4,30-Dec,284.7
,,31-May,167.4,31-Aug,169.7,31-Dec,284.9
,,,,01-Sep,173.4,,
,,,,02-Sep,175,,
,,,,03-Sep,179.2,,
,,,,04-Sep,181.1,,
,,,,05-Sep,183,,
,,,,06-Sep,185.5,,
,,,,07-Sep,187.7,,
,,,,08-Sep,189.3,,
,,,,09-Sep,194.2,,
,,,,10-Sep,197.1,,
,,,,11-Sep,201.2,,
,,,,12-Sep,204.6,,
,,,,13-Sep,205.6,,
,,,,14-Sep,209.7,,
,,,,15-Sep,213,,
,,,,16-Sep,218.9,,
,,,,17-Sep,225.6,,
,,,,18-Sep,229,,
,,,,19-Sep,230.1,,
,,,,20-Sep,232.5,,
,,,,21-Sep,240.8,,
,,,,22-Sep,244.4,,
,,,,23-Sep,252.2,,
,,,,24-Sep,258.9,,
,,,,25-Sep,266.9,,
,,,,26-Sep,270.3,,
,,,,27-Sep,275.2,,
,,,,28-Sep,283.4,,
,,,,29-Sep,289,,
,,,,30-Sep,293.5,,
