DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.4,12.7,0.2,23.7,63.4,1.2,26.6,72.2,133.2,3.9,165.9,309.1
2,1.4,14,0.3,23.9,63.6,1.6,28.1,73.8,134.6,6.6,171.1,314.3
3,1.4,14.2,1,24.5,64.7,3.6,28.6,75.4,135.1,8.6,178.3,320.4
4,1.4,14.2,2.1,25.2,66.1,4.1,29.7,76.6,137.6,11,185,324.7
5,1.6,15.1,3.9,28.7,69.2,5.4,30.9,78,140.1,14.6,192.1,325.6
6,2.7,15.3,5.8,29.8,70.1,6.7,31.8,79.1,142.1,16.8,200.1,329.1
7,4.9,15.4,6,30.6,72.3,7.8,32.2,82.8,143.1,21.9,208.7,331.2
8,5.9,15.6,6.2,30.9,73.6,8.2,33.1,83.3,145.6,26.8,216.4,333.5
9,7.2,16.7,7.4,32,76.4,8.9,35.6,85.9,147.5,32.5,223.6,334
10,7.3,17.3,7.9,32.7,76.6,9.4,38.1,87.1,148.5,37.1,225.5,337.5
11,7.3,17.7,8,33.6,78.1,11.4,38.6,88.6,152.1,40.1,230,340.3
12,7.8,18.1,9.8,36.1,79.6,11.5,39.2,91.1,156.5,46,231.6,346.5
13,7.8,18.3,10.1,37.8,82.1,13,40.4,92,159.2,51.9,236.1,348.5
14,7.9,19.2,10.3,38.3,87.2,14.2,41,94.4,161.1,59.3,239.1,350.7
15,8.1,19.4,11,39.4,87.4,14.3,45.1,96.4,162.9,66.1,242,353
16,8.1,19.4,12.4,40.9,89.1,14.5,46.4,99.1,166.2,69,245.5,356
17,8.1,19.5,12.7,42.8,90.6,15.1,47.2,99.8,167.2,74.1,249.5,359.8
18,9,21.5,13.5,44.9,91.4,16.7,48.5,101.7,168,81.9,253.9,363
19,9.9,22.3,15.8,46.4,92.9,16.8,53.7,102.3,169.4,86.4,260.9,366.8
20,10.4,23,16.1,48.1,93.3,17.1,54.7,103.8,172.1,98.4,263.1,369.2
21,10.4,23.2,17.6,48.9,93.9,18.5,56.1,104.9,174.1,104.4,267.3,370.9
22,11.4,23.2,19.7,49.2,95,20.6,56.9,108.4,176.9,111.1,272.5,373.9
23,11.5,23.2,20.9,50.1,95.2,21.3,57.4,110,178.7,116.4,276.1,379.5
24,11.5,23.5,20.9,50.2,97.3,22.2,61.5,113,182,122.7,281.2,381.2
25,11.5,23.6,21,52.4,99.6,22.5,64.1,114.8,186.3,130.3,287.1,382.9
26,11.5,23.6,21,54,99.8,23.4,65.3,118.2,191.8,134,291.3,385.9
27,11.7,23.6,21.4,55.4,100.2,24.7,66.3,120.2,198,139.6,294.9,386.4
28,12.6,23.7,21.8,56.7,102.2,25.6,67.6,123,201.8,146.7,299.2,388.4
29,12.6,,21.8,57.5,104.9,25.6,70.2,124.5,206.1,151.5,301.2,390.2
30,12.6,,22.9,58.5,105.1,25.6,70.4,127.8,210.1,158.7,307.4,390.8
31,12.7,,23.3,,105.8,,71.3,129.6,,162.6,,392.1
