DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.5,11.2,0.9,21.6,57.8,0.7,48.9,131.3,205.6,2.6,169.5,316.2
2,0.9,12.7,0.9,21.6,60.8,4.1,51,133.2,208.9,6.7,173.6,319.5
3,0.9,13,1.1,22.3,65.1,4.5,51.4,134.2,210.2,9.9,180.4,323.2
4,0.9,13.7,1.5,23.5,68.9,5.4,53,138.9,213.4,14.1,189.7,326.1
5,1,14.2,2.1,25.9,71.7,7.4,55,141.3,217.2,16.5,196.4,328.1
6,1.1,14.3,5.5,27.1,74.7,11,57.2,142.4,220.3,19.4,202.4,331.1
7,3.7,14.3,5.9,27.7,77.9,13.6,61.1,144.3,226.3,23.2,209.4,333.8
8,4.9,15.3,6,28.5,80.9,17.6,61.9,146.9,228.4,32.5,216.7,335.2
9,5.6,16.6,6.5,29.3,82.9,19.3,65.8,149.5,230.1,35.6,222.9,336.8
10,6.2,17.2,6.5,30.2,84.5,20.6,68.3,151.9,234.1,41.5,227,340.8
11,6.4,17.2,7.1,30.8,87.1,21.7,69.5,153.2,238.5,43.2,230.2,345.9
12,6.8,17.2,10.4,33.9,89.4,22.1,72.9,154.3,241.2,46.4,233.3,349.6
13,6.8,17.6,11,34.4,93.3,24.4,74,156.3,245.7,51.4,236.7,351.6
14,7,17.6,12.6,36.7,95,24.6,75.5,159,251.4,59.4,239,354.1
15,7,18.6,13.2,37.4,96.9,27.6,79.1,161.8,255.4,63.4,242.7,356.4
16,8.3,18.6,14.2,39.2,99.4,28.7,80.4,163.1,259.1,67.3,247.9,360
17,8.3,19,15.7,39.5,101,30.2,84.2,165.7,264.3,74.2,256.1,361.7
18,8.7,19,16.8,41.5,102.4,31,84.7,169.4,265.7,84.4,261.1,364.4
19,9.3,20.1,17.7,42.1,106.3,32.5,87.5,171.8,268.6,88.6,267.6,367
20,9.6,21,17.9,43.1,109.8,33.6,89.5,173.8,271.9,95.8,271.4,368.7
21,9.6,21.1,19.1,44.6,111.7,34.6,90.9,174.8,276.6,100.8,274.9,370
22,10,21.1,20.3,45.5,114.3,35,93.8,178.1,278.6,110.8,278.7,371.8
23,10,21.9,20.9,46.9,118,36.8,95,179.7,280.8,117.4,282.1,374.3
24,10.2,22.7,20.9,47.2,121.3,37.5,97.3,183.3,283,124.9,286.1,376.9
25,10.2,22.7,20.9,49.3,124.1,39.1,103.9,186.2,286.5,131.1,292.1,377.8
26,10.2,22.7,20.9,51.1,125.2,40.6,108.8,188.6,290.4,139.5,297.1,382
27,10.3,22.7,20.9,52.5,127.6,42.1,113.2,190.8,293.6,145.6,301.8,383.1
28,10.7,23.4,20.9,53.4,130.2,43,115.5,192,298.9,151.8,305.2,385.9
29,10.9,,21,54.1,133.4,44,118.7,195.8,303.8,155.6,308.3,387
30,10.9,,21.3,54.5,136.4,45.4,122.4,199.5,307.9,160.3,312.1,387.1
31,10.9,,21.3,,136.8,,126.8,201.5,,164.6,,387.5
