DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,4.6,28.9,0,6.7,36,0.4,39.1,97.1,173.1,7.3,182.7,466.6
2,4.9,29.4,0,6.7,36.8,1.4,41,97.7,175.4,10.5,186.3,473
3,5.1,30.6,0.1,6.7,37,3.2,41,98.3,176.1,12.7,201.9,479.6
4,5.3,32.6,1.1,7.3,39.7,5.1,42.1,100.5,177,16,231,490.1
5,7.5,34.6,1.2,7.5,41.6,6.9,45.4,103.1,180.1,18.6,239.7,510
6,8.2,38.5,1.9,10.3,43.9,10.2,45.4,108,186.4,25.8,258.2,525.1
7,10.9,39.8,2.3,11.1,50.3,11.1,46.7,108.5,192.3,29.3,270.6,533.1
8,15,40.6,2.4,11.1,50.5,13,47.6,112.1,200,34.5,285.3,534.7
9,15.8,40.8,5.1,11.1,52.6,13.1,49.2,113.8,203.1,38.2,300.9,544.5
10,17.1,40.8,5.4,11.2,53.2,16.2,51.5,114.6,208.8,40.3,316.4,558.3
11,17.3,41.2,5.4,11.2,53.7,23.6,52.2,115.9,210.9,46.1,323.8,564.8
12,19.5,41.5,5.5,12.5,54.6,27.3,55.2,116.8,213,48.2,328.7,566.8
13,20.1,44.3,5.5,15.2,55.2,29.8,58.4,119.7,213.7,50,335.1,569.9
14,20.7,44.7,5.7,15.8,56.8,31.9,59.2,120.6,216.4,52.9,340.8,575.4
15,22.2,44.8,5.7,16.5,57,32.1,59.4,121.5,222.3,59.6,352.9,579.5
16,22.9,45.9,5.7,16.5,59.6,32.1,60.3,124,227.5,60.3,354.9,587.2
17,22.9,46.5,5.8,21.4,61.8,33,60.6,125.7,232.3,63.5,360,590.6
18,24.1,47.9,5.9,22.2,61.8,34.1,62.5,131.6,234.7,70.3,364.7,595.4
19,25.6,48.9,5.9,22.7,61.9,34.2,63,132.4,236,72.3,370.3,598.6
20,27.2,50.2,5.9,22.7,62.2,36.2,63,136.8,241.7,78.6,372.8,601.8
21,27.2,52.4,6,22.9,66,36.2,67.3,140.3,243.7,83.2,383.7,607.1
22,27.2,52.4,6,25.4,66.7,36.3,70.2,142,244.7,87.9,396.4,618.6
23,27.2,52.5,6,26.9,66.8,36.4,73.4,143.6,248.1,96.5,401.9,631.3
24,27.2,52.8,6,26.9,68.8,37,77.2,145.8,253.9,106.9,414.2,635.5
25,27.2,53.2,6.1,29.6,69.7,37,81.7,149.1,257.7,110.5,426.1,639.2
26,27.2,53.3,6.1,31.1,71.7,37.3,82.9,151.9,261.3,115.3,438.2,644.3
27,27.2,53.4,6.7,32.2,73.3,37.8,84.4,158.2,265.4,131.5,441.8,647.7
28,27.5,53.6,6.7,32.2,73.3,38.2,86.7,161.5,268.3,143.5,447.8,651.2
29,28.5,,6.7,34,73.4,38.5,87.9,168.8,270.8,152.6,452.3,652.9
30,28.5,,6.7,34.3,74.1,38.5,91,168.9,278,159.7,461.4,654.3
31,28.7,,6.7,,74.2,,94.1,169,,173.5,,655.7
