DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.3,26.6,2.3,25.7,48.2,1.2,32.5,109.4,210.7,2.2,156.6,400.2
2,3,31.8,3.2,26.6,48.3,1.8,34.3,110.7,212.6,7,163.6,407.6
3,3.4,34.2,4,27.2,48.5,2.8,34.3,111.4,215.6,11.3,171.7,414.8
4,5.1,35.3,5.5,28,49,4.2,37.2,111.8,216.6,14.9,180.7,425.1
5,5.9,36.3,5.5,28.7,53.9,4.7,40,115.4,218.3,18.2,188.4,430.8
6,7.2,38,8.4,29.7,56.5,7.5,41,118.4,220.6,22.4,201.4,436
7,9.2,38.7,11.5,30.4,59.4,9.5,43.8,119.1,222.4,29.7,212.5,444.2
8,11,39.8,13.7,31.1,60.1,11.2,44.7,121.5,225.5,31.9,224.7,448.2
9,12.2,39.8,14.9,31.3,62.1,11.4,46.7,124.2,229,33.7,232.3,455.3
10,15.7,40.9,14.9,32.1,62.6,14,50.4,125.9,234.8,36.4,240.8,465.4
11,15.9,40.9,17.2,33,65.4,14.6,53,129.6,237.4,40.9,248.4,472.3
12,16.7,41.3,17.9,35.1,66,15.3,55,135.8,240.4,44,259.5,477.4
13,17.1,42.5,17.9,36.2,66.6,15.9,57.2,140,243.5,46.5,264.4,479.3
14,17.4,43.9,18.1,37.8,69,16.7,60.6,141.4,246.2,49.6,271.8,482.6
15,19.6,44.1,18.2,38.9,69.2,18.7,62.8,145.2,252.6,52.1,283.5,486.9
16,19.7,44.3,18.7,38.9,71.3,19,64.1,147.9,258.5,55.4,287.7,493.9
17,19.7,45,19.2,39.3,72.3,19.8,68.7,151.1,262.1,59.2,292.8,500.1
18,19.9,45.4,19.2,40.7,73.7,20.7,68.9,154.3,267.5,63.2,296.6,503.9
19,21.5,46,19.7,41.7,75.7,20.9,70.7,158,270.1,68.2,303.7,509.2
20,23.1,46.4,21.4,42.7,77.4,24.3,76.2,160.8,273.7,74.7,310.2,511.6
21,23.4,47.3,21.4,42.7,78.3,25.1,79.3,164.4,276.9,79.1,318.2,515.6
22,24,47.3,22.9,43.1,79.1,25.5,83.1,169.9,281.1,87.4,325.7,520.2
23,24,47.6,23.5,44.8,79.2,26.2,84.8,178.1,284.2,95.1,330.3,527.4
24,24,47.6,23.6,45.4,80.1,27.1,90,181.2,288.7,104.8,343.1,528.9
25,25,48.3,23.8,45.6,84.1,27.8,95.4,182.5,294.2,113.2,357.9,530.7
26,25,48.5,23.8,46.2,87.3,28.7,97.8,185.2,299.2,118,367.7,533.5
27,25.6,48.9,23.8,46.3,88.7,29.7,99.1,189.5,304.2,125.2,380.9,534.1
28,25.7,49.6,24.3,46.7,89,30.2,100.8,194.5,310.2,128.1,385,537.6
29,26.5,,24.5,46.9,89.8,31.1,102.6,196.5,314.4,134.8,389.8,539.1
30,26.5,,24.5,47.7,90,32,104,200.9,318.1,140.1,395.8,539.8
31,26.6,,25.7,,92,,105.9,207,,147.1,,540.5
