DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3.7,24.9,0.4,12.9,40.6,1.8,47.8,104.6,202.3,2.7,204,508.4
2,4.1,27.3,0.9,13.1,42,2.8,48.5,106,205.2,7.6,210.3,516.3
3,4.1,27.3,0.9,13.1,42.4,3.8,49.6,107.9,208.4,10.5,223.1,524.8
4,4.3,28.3,1.9,15.2,42.9,5.3,51.4,109.8,209.1,16.6,242.7,538.1
5,6,29.7,2,15.9,47.2,7.3,55.3,111.8,211.4,20.2,254.9,547.1
6,6.7,30.7,3.6,17.2,48.9,11.4,55.8,115,216.4,27.9,275.3,564.1
7,7.9,31.5,3.8,17.5,52.9,14,58.9,115.8,222.1,30.5,286.4,571.7
8,10.4,32.5,3.9,17.5,54.6,16.3,59.6,119.9,229.4,35,302,576.9
9,11.2,32.9,5.3,18,56.5,16.8,61.8,122.3,235.4,38.9,315.1,584.2
10,13.5,33,5.7,18.1,57.6,17.4,63.2,124.3,239.6,40.8,324.7,593.2
11,14,33.3,7.3,18.5,58.1,25.9,63.8,127.4,242.9,46,331.5,598.6
12,15.6,33.5,8.8,19.3,58.3,27.2,66.1,128.8,246.3,48.9,340.5,602.3
13,16.3,35.8,9.7,21.7,59.2,28,68.9,132,248.6,53,349.2,605.5
14,16.7,36.4,9.9,21.9,60.1,30.7,70.3,132.7,252.9,58.9,355.2,611.7
15,17.3,36.5,10,22.1,60.4,32.4,72.5,135,255.6,61.7,364.3,619.1
16,18.7,37.3,10.4,22.1,63.9,32.4,74.9,137.1,260.2,65.1,371.1,628.5
17,18.7,37.5,10.6,22.9,67.3,32.9,75,143,265.2,70.3,375.9,634.7
18,18.8,38.9,10.6,26.5,67.6,33.6,75.3,148.2,269,74.8,381.8,641.3
19,19.7,39.7,10.7,26.9,69.2,34.5,75.7,149.9,270.3,78.9,388,646.1
20,20.5,40.1,10.8,27,69.9,37.2,77.7,152.6,274.1,85.7,392.7,650
21,20.8,41.3,10.9,27.5,70.7,37.2,80.7,157.9,275.7,92.3,402.9,655.3
22,22.2,41.3,11.7,29.3,71,38.7,83.4,163.2,278.2,97.5,411.9,667.3
23,22.2,41.3,11.8,30.7,71.2,39.3,85.7,165.2,279.5,104.2,420.4,678
24,22.3,41.6,11.9,31,71.6,41.3,87.9,169.8,284.4,119.4,435.9,680.6
25,22.5,41.7,12,33.3,72.2,41.5,91.4,174.4,288.7,125.7,448.5,685.7
26,22.5,41.7,12,34.4,75.6,42.3,93.4,179.2,294.1,130.3,465.2,688.1
27,23.1,42.5,12.3,35.8,77,43.5,94.6,186.4,296.9,145.1,473.3,689.5
28,23.7,42.8,12.4,36.7,78.9,43.7,98,190.5,299.2,154.1,480.6,693.5
29,24.4,,12.5,37.7,78.9,44.4,102.3,193.9,302.7,166.5,488,696.6
30,24.8,,12.5,38.7,79.4,45.1,103.1,197.2,306.3,176.6,500.5,698.1
31,24.8,,12.5,,79.9,,103.5,199.1,,191.4,,699.7
