DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1,16.8,0.9,17.4,42.7,0.9,34,94.6,192.6,2.1,183.1,444
2,1,17.2,1.1,17.4,43.7,2.5,36.8,98.3,196.5,3.7,187.8,450.7
3,1.1,17.3,1.1,17.4,43.8,3.8,38.4,99.9,199.8,7.7,204,455.9
4,1.3,18.3,2.2,18.1,46.6,5.1,39,102.2,200.8,12.2,223,467.3
5,2.4,19.5,2.8,18.6,47.8,7.4,42.8,105.1,202,17.2,233.9,478.8
6,3.8,20.8,4.3,19.2,48.7,13.5,43.9,105.8,206.1,21.9,248.7,488.5
7,4.8,21.1,5.4,20.1,51.8,14.8,45.8,106.4,208.9,24.7,257.3,493.3
8,5.4,21.2,6.1,20.1,53.7,16.6,47.2,108.6,215.3,29.9,270,498.6
9,5.7,21.2,7.4,20.1,56,16.7,48.1,111.1,219.8,33.8,280.2,503.8
10,7.2,21.3,7.8,20.9,58.5,17.4,50.7,114,224.8,37.3,286.4,512.4
11,7.6,21.3,8.8,21.2,60.4,18.7,52.2,114.7,234.7,39.7,291.8,515.7
12,8.5,21.6,10.8,22.6,61.8,19.4,53.7,117.4,238.1,44.6,299.7,518.3
13,8.9,22.6,11.4,24.6,62.7,20.5,55.4,120.9,240.1,46.6,307.1,522.8
14,10.3,23.2,12.2,24.8,63,22.4,56.1,122.5,244.4,50.6,312,527.4
15,11.9,23.3,12.3,26.1,64.1,22.7,57.6,127.5,248.3,54.7,320.2,533.9
16,13.5,23.4,12.7,26.7,66.8,23.2,60.9,129.5,252.9,58.9,324.6,540.3
17,13.6,23.8,12.9,26.8,68.7,23.9,61.9,140.1,259.2,60.7,331.1,544.6
18,13.9,24.4,12.9,28.4,69,25,62.5,142.7,266.1,66.7,336,549.4
19,15.1,25.1,13,28.6,71.8,26.2,64.6,147.3,267.7,73.4,344.3,555.2
20,15.6,25.3,13.2,29,72.8,27.2,65.6,150.4,271.1,81.8,348.1,556.7
21,15.6,25.6,13.3,29,74.8,27.5,70.3,156,273.3,88.1,356.2,559
22,15.6,25.6,13.5,31.2,79.8,29,73.4,158.8,275.6,94.3,363.1,564.7
23,15.6,25.6,13.7,33.3,80.5,29.2,74.2,163.9,277.1,102.3,371,573.2
24,15.7,25.6,13.7,33.4,81.4,31,76.4,166.1,278.6,113.2,383,574.5
25,15.7,26.1,16.9,36.8,84.2,31.6,78.2,168.5,284,121,395.7,577.7
26,15.7,26.4,17,37.4,85.8,31.8,79.7,170.8,287.9,128.1,405.5,581.8
27,15.7,26.8,17,37.4,87.5,32.3,81.4,176,293.5,138.8,415.1,584.4
28,15.8,27.7,17.3,40.4,89.2,32.3,85.3,178.2,297.7,145,419.6,588.9
29,16.3,,17.3,41.2,89.6,32.7,87.5,182.6,301.4,160.6,425.3,590.2
30,16.3,,17.3,41.3,91.7,33.3,89.1,185.2,303.7,168.8,436.4,590.9
31,16.4,,17.3,,92.4,,90.4,188.7,,175.7,,592.1
