DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.9,14.8,0,19.1,37.8,0.4,28,73.4,161,1.7,163.6,389.9
2,1,15,1.4,19.2,38.5,0.4,28.7,73.7,162.4,5.2,171.9,396
3,3,15.1,1.4,19.2,38.6,1.4,29.3,73.8,163.2,6.7,185.5,401.1
4,3.3,15.7,2.8,19.7,39.5,1.9,30.7,76.2,169.9,14.2,201,408.3
5,3.9,16.4,3.5,20.1,40.7,3.3,32.7,77.1,171.4,17.3,209.8,413
6,4.2,17.6,4.7,20.3,43,6.6,36.6,78,173.6,19,224.1,417.6
7,5,17.9,7.6,20.4,46.6,7.5,38.2,80,176.5,24.3,229.1,421.6
8,6,18.5,9,20.6,49.4,8.6,38.8,81.8,179.8,29.1,243.3,426.1
9,7.2,18.6,10.4,20.7,50,8.8,40,84.9,182.6,34.6,249.7,430.2
10,8.3,18.7,11.4,21,52.4,9.3,42.3,86.8,185.4,35.4,256.5,436.5
11,8.5,18.9,11.6,21.1,53.7,11.1,43.7,88.2,188.5,37.6,260.1,440.1
12,8.6,19,13.7,22.1,54.6,12.2,44.3,90.2,190.1,41.6,268.3,442.1
13,8.6,19.7,14.1,22.8,57.1,13.3,44.9,96.1,192.4,43.5,274.8,444.3
14,8.9,19.9,15,23.5,59.5,14.4,45.9,97,194.1,48.2,278.8,447.4
15,9.4,20.3,15.3,25.4,61.6,15.2,47.4,98.4,196,50.5,288.5,452.4
16,10,20.3,15.8,26.9,62.1,15.3,51.4,102.4,200.1,53.2,293,456.3
17,10.1,20.5,15.8,26.9,63.4,15.8,52.3,109.3,207.5,58.2,296.4,459.7
18,10.1,21,15.8,29.3,64,17.2,54.2,112.6,213.4,67.7,300.7,463.4
19,11.1,21.5,15.8,29.5,67.6,18.5,54.9,114.7,219.1,71.2,304.4,468.1
20,11.5,21.6,16.2,30.1,69.2,19.5,56.4,118.5,224.9,76.9,308.2,470.1
21,11.7,21.7,16.7,30.4,69.9,19.7,58.5,121.6,227.9,82.7,313.6,472.2
22,12.8,21.7,17,32.3,71.6,21.8,58.8,130.3,230.6,86.3,320.5,475.3
23,12.8,21.9,17.2,32.5,73.2,22.2,60,136.1,234.4,90.9,326.7,485.3
24,13,21.9,17.2,32.5,74.1,24,61.7,139.8,236.4,101.6,338.4,485.6
25,13,22.3,18.2,35.1,80.1,24.3,63.8,143.7,242.2,106.4,346.1,487.7
26,13,22.5,18.2,35.2,82.8,24.5,64.8,144.9,245.4,110.8,354.1,490.5
27,13.6,22.6,18.2,35.5,84.6,25.3,66.3,150.1,251.7,119.6,362.8,490.7
28,13.9,24.3,19.1,35.6,86.8,25.3,67.9,151.6,257.1,129.7,369.3,491.4
29,14.2,,19.1,36,86.9,26.3,69.2,152.6,261.2,139,376.8,494.1
30,14.5,,19.1,36.5,88.2,27.8,71.3,155.4,265.3,147.7,383.9,495.2
31,14.6,,19.1,,90.2,,71.8,158.1,,157.6,,496.5
