DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.2,6.7,1.6,25.3,54.4,0.9,4.3,11,15.2,0.1,114.7,253.7
2,0.2,6.7,2.5,25.5,54.4,0.9,4.3,11,15.2,1.2,120.8,255.1
3,0.3,6.7,3.7,25.6,54.4,0.9,4.3,11,15.2,1.8,128,259.8
4,0.3,7,5.7,27,56.3,0.9,4.3,11,15.2,3.7,136.3,265.3
5,0.3,7.3,10,28.5,57.1,0.9,4.3,11,15.4,4.8,141.3,265.8
6,0.3,7.5,11.9,28.8,58.1,0.9,4.3,11,15.6,5.5,145.2,266.1
7,0.6,7.5,13.2,29.8,59,0.9,4.3,11.3,16.1,6.4,157,269.7
8,0.7,7.9,13.3,31.7,59.2,0.9,4.3,11.3,16.1,6.4,161.9,271.2
9,0.7,7.9,13.5,33.5,61.4,0.9,4.3,11.3,17,6.8,166.3,271.4
10,0.7,7.9,13.5,34.5,63.1,0.9,4.3,11.6,17,10.1,170.1,273.1
11,0.7,7.9,13.7,36.3,64.8,1.3,5.5,11.6,17,11.4,170.7,277.5
12,0.7,9.6,16.2,38,65.5,2,5.5,11.7,17,12,175.4,281.7
13,0.7,9.6,16.3,38.1,66.5,3.8,5.8,11.7,17.4,12.8,177.6,283.5
14,1.1,10.1,17.2,38.1,67.2,3.8,5.8,11.7,17.5,16,178.2,284.2
15,1.1,10.5,18.6,39.4,68.3,3.8,5.8,11.7,18.2,18.5,180.3,286.3
16,3.1,11.4,18.6,39.8,68.5,3.8,5.8,11.7,18.7,21.7,187.1,286.6
17,3.1,11.4,18.8,39.8,68.5,3.8,6.6,11.8,18.7,25.7,193.8,288.1
18,3.3,11.4,19.8,40.9,68.7,3.8,6.6,11.8,19.3,32.2,197,291.9
19,3.6,11.4,19.8,43.3,68.7,3.8,6.6,11.8,20.3,36.1,208.4,295.2
20,3.6,12.1,19.9,44.6,68.7,3.8,6.6,12.5,20.3,41.3,214,296.8
21,3.6,12.1,23.7,44.7,68.7,3.8,6.6,13,21.4,51.8,216.1,297.1
22,3.6,12.3,24.6,44.7,68.7,3.8,6.8,13,21.9,57.8,220,298.4
23,3.6,13.9,24.9,46,68.7,3.8,7,13,21.9,61.6,224.5,300
24,3.6,14.6,24.9,47.4,68.7,3.8,8.3,13.4,22.3,69,228.9,300.2
25,3.6,14.7,25.2,48.5,68.7,3.8,8.9,13.4,23.5,75.3,237.8,301.2
26,3.6,15.3,25.2,48.7,69.1,4.3,9.5,13.4,24.1,81.8,240.6,301.9
27,4.2,15.5,25.2,48.8,69.1,4.3,9.5,13.4,26,87.3,242.4,302.5
28,4.9,17.5,25.3,49.8,69.1,4.3,9.6,13.4,27.7,94.8,247.1,302.8
29,6,,25.3,52.4,69.5,4.3,10.7,14,28.2,96.2,248.8,306.4
30,6,,25.3,53.4,70.1,4.3,10.7,14,30.8,106.6,253.1,306.5
31,6,,25.3,,70.1,,10.7,14.2,,110.2,,307.3
