DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.6,22.4,0.8,47.5,87.5,0,5.2,10.6,15.4,0,170.5,431
2,0.8,22.5,1.1,47.9,87.7,0.1,5.3,10.6,15.4,0,179,440.2
3,0.9,22.7,5.5,51.7,88.6,0.2,5.4,10.6,15.4,1.4,193.5,452.9
4,1,23,7.8,54.3,90.4,0.3,5.4,11.8,15.4,2.7,206.6,458.4
5,1.6,23.1,8.3,54.8,93,0.4,5.4,11.8,15.4,2.8,223.1,462.1
6,2.2,23.2,13,55.6,95.7,0.8,5.4,11.9,15.4,3.5,234.6,468.3
7,3.1,24.3,13.4,57.8,96.5,1.7,6.1,12,15.4,6,244.9,471.3
8,4,28.4,15.3,59,99,1.7,7.2,12.5,15.4,7.6,251.3,474.4
9,7.2,28.6,15.4,64.1,100.5,1.8,8,12.9,15.5,9.5,258.7,477.9
10,7.9,28.7,17.9,65.4,101.3,1.8,8.1,12.9,16.1,13,270.7,480.9
11,9.9,28.8,20.6,70.2,101.5,2.3,8.1,12.9,16.1,13.4,280.4,488.7
12,10,30.3,21,73.5,101.9,2.3,8.1,12.9,16.1,16.7,286.2,499.8
13,10.8,32.6,23.2,76.2,102.6,2.3,8.1,13.1,16.1,18.3,294.5,502.4
14,11.2,35.3,24.9,78,103.4,2.3,8.1,13.1,16.1,27.1,296.6,507.7
15,13,36,28,78.2,103.4,2.3,8.1,13.1,16.1,31.2,304.7,509.2
16,13.8,36.2,32.5,78.5,104.1,2.3,8.1,13.3,17.3,33.1,313.6,511.8
17,15,36.7,36.2,78.5,104.1,2.4,8.1,13.3,17.9,35.9,320.3,514.7
18,16.8,36.7,36.8,78.9,104.1,2.4,8.4,13.3,18.2,39.7,333.4,522
19,17.3,37.4,37.2,79.6,104.7,3,8.4,13.3,18.2,48.7,339.9,525.9
20,17.3,39.7,38.5,79.7,105.1,3,8.9,13.3,18.2,56.8,347.4,528.7
21,17.3,39.9,42.2,80.9,105.1,3.6,8.9,13.5,18.2,64.5,355.4,531.8
22,18.2,39.9,42.8,81,105.1,4,8.9,13.8,18.2,76.5,363.8,536.3
23,18.3,40.9,43.4,82.5,105.1,4.4,9.1,13.8,18.3,84.8,370.5,538.4
24,18.4,41.7,44.8,83.1,105.2,4.5,9.3,13.8,18.3,91.6,379,543
25,18.4,42.4,44.8,83.4,105.2,4.5,9.5,14.3,18.3,103,386.3,545.3
26,18.9,42.6,44.8,83.6,105.7,4.8,10.2,14.3,19.2,111.5,395.3,547.1
27,19.2,42.6,44.8,83.7,105.7,4.8,10.3,14.4,20.3,118.9,404.8,547.6
28,19.7,43.2,44.8,83.8,105.9,5.1,10.3,14.4,20.9,124.9,407.6,550.8
29,20.8,,44.8,86.1,106.3,5.2,10.4,14.4,21.5,137.4,414.2,555.3
30,21.8,,46.7,86.8,106.5,5.2,10.4,14.5,22,145.3,419.5,560.6
31,21.8,,47.2,,106.5,,10.5,15.2,,161.7,,562.9
