DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.2,14.3,1,33.3,70.6,0.2,5.7,14.8,24.9,0.5,159.8,342.8
2,0.3,14.7,1.1,33.7,71.7,0.2,5.7,14.8,25.4,2.6,167.7,345.9
3,0.3,17.6,3,34.5,72.5,0.2,6,14.8,25.9,4.2,181.2,349.5
4,0.3,17.9,6.8,36.5,73.2,2.1,6,15,26.6,5.6,192,354.7
5,0.7,18.1,7.6,38.3,74,2.2,6,15.5,28.1,6.4,199.8,357
6,1.1,18.9,7.9,40.8,76.3,2.5,6.2,16.2,28.9,8.5,205.7,360.4
7,1.7,18.9,8.1,42.9,77.3,2.6,6.6,16.6,30,10.2,217,364.7
8,3.5,20.4,8.3,44.3,79.4,2.6,6.6,16.6,30.9,10.9,223.5,367.6
9,5.3,20.7,9.9,45.8,82,2.7,7.2,17,32,11.9,232.7,369.6
10,6.3,21,11.5,47.9,83.8,2.7,7.2,17,33,14.1,236.3,371.5
11,6.3,21,12.1,50.3,85,2.8,7.9,17.3,34.1,15.4,238.9,379.2
12,6.7,22.7,14.1,52.3,85.5,2.9,8.1,17.7,36.9,17.2,242.1,382.9
13,6.7,22.9,16.7,53.1,86.7,2.9,8.2,17.8,38.2,23.6,249.9,385.6
14,7.6,24,19.4,54.3,89.2,2.9,8.2,17.8,40.5,29,258,386.1
15,8.7,24.7,20.8,55.7,90.1,2.9,8.2,18.9,41.1,36.7,260.8,389
16,10.3,24.8,22.5,57.6,91.5,2.9,9.2,20,43.4,41.2,265.6,390.7
17,10.7,24.8,23.6,57.9,93.2,2.9,9.3,20,44.6,48,269.8,392.3
18,11.2,25.1,24.5,59.9,93.3,3.5,9.8,20.4,46.7,54.1,277.5,399.6
19,11.6,25.3,24.6,60.9,94.3,3.9,11.4,20.8,47.7,61.5,284,403.8
20,11.8,27.2,25.4,62.2,95.3,3.9,12.2,21.5,48.9,69.1,289.7,406.2
21,12,27.9,28.2,62.8,95.5,4,12.2,21.9,49.1,80.9,299.5,408
22,12.2,28.8,29.4,63.4,95.7,4.8,12.3,22,50.2,89.5,304.1,409.8
23,12.2,29.3,29.7,63.5,96.8,4.9,12.3,22.4,50.8,93.2,309.2,412.4
24,12.3,29.4,30.3,64.4,97,4.9,13.3,22.4,51.8,97.1,314.1,413.6
25,12.6,29.6,30.3,64.8,98.1,4.9,13.6,22.9,53,105.3,318.1,414.1
26,12.6,29.6,30.5,66,98.3,5.1,13.6,23.1,55.5,112.6,321.7,415.3
27,13,29.8,30.6,66.7,100,5.2,13.6,23.2,57.8,119.4,326,415.6
28,13.5,31.3,31.2,67.3,102.4,5.3,13.6,23.3,58.2,126.4,329.2,419
29,13.9,,31.4,68.6,102.9,5.3,13.6,24.1,60.9,133.4,330.6,421.1
30,14,,32.5,69.5,103,5.3,13.6,24.5,63.8,143.9,335.5,422.7
31,14.3,,33.3,,103.1,,13.7,24.6,,152.9,,423.2
