DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.8,37.6,0.9,44.6,100.6,0.1,28.4,48.6,63,0.9,171.4,433.4
2,3.8,38.9,1.5,45.5,101.9,2.1,28.9,49,64.3,2,180.1,439.4
3,4.7,40.2,2.9,47.2,104.8,3.5,29.6,49.1,64.7,4.5,192.1,450.8
4,5.5,41.1,7.8,49.1,106.2,4.6,29.9,49.2,64.9,6.9,203.7,459.4
5,7,43.4,12.1,54.1,107.1,5.6,29.9,49.4,65.8,7.5,214,464.9
6,9.1,45.5,14.5,55.4,108.7,7,30.2,49.7,66.1,9.5,227.7,467.2
7,11.9,46,16.1,59.5,116.1,8.5,31.7,51,66.3,11.2,240.2,472
8,14.6,46.9,17.1,62.4,117,9.5,32.5,51.8,66.5,12.6,254.8,477.1
9,17.7,48.1,18.5,64.6,119.6,10.2,33.7,52.3,66.6,14.2,263.6,480.8
10,19.3,49.6,20.6,67.6,119.8,11.1,33.8,53.4,67.4,17.4,272.4,483.9
11,21.1,50.2,22.1,69.2,121.1,12,34.6,53.9,67.6,18.7,282.2,490.2
12,23,51.9,24.7,71.5,122.1,13.2,34.6,54.1,67.7,22.7,291.5,501.9
13,23.3,56.4,26.8,73.6,124.4,14,34.8,54.3,67.9,26.7,303.4,507
14,24,57.5,29.1,75.8,127.5,15.2,34.9,54.8,69.9,33.5,315.2,513.1
15,25.4,58.3,30.1,77.8,127.8,15.9,35.1,55,70.4,35.5,328.3,518.7
16,27.4,58.3,31.3,78.6,128.4,16.7,35.8,55.3,71.9,40.1,336.6,523.2
17,28.5,58.3,33.3,79.5,128.4,17.4,36.6,55.4,72.9,45.2,342.6,528.3
18,30,61.1,34.5,79.9,129.6,19,38.2,55.6,73.5,51.3,350.6,536.6
19,30.6,66.4,36.3,81.9,130.3,19.9,38.8,55.7,74.2,61.3,357.7,544
20,31.1,68,37,83,131.1,20.4,39.7,56,74.6,68.4,362.7,548.7
21,31.4,68.8,38.6,83.9,131.9,21.6,40.1,56.2,75.3,73.5,368.9,551.5
22,31.6,68.9,39.3,84.6,132.4,22.9,40.5,56.3,76.9,85,374.5,556.3
23,32.4,69.8,39.7,86.3,132.7,24,41.5,57.1,79.1,92.4,383.7,559.7
24,32.7,70.7,40,87.4,133.6,24.7,43.4,57.2,80.3,101,392.1,562.3
25,33.2,72.2,40.2,88.8,133.9,25.2,45,57.6,81.7,109.4,397.7,563.9
26,33.5,72.6,40.2,91.3,134.1,25.4,45.5,58.3,84.4,116.8,404.4,566.8
27,34.9,72.9,40.6,92.7,134.9,26.1,45.7,60.4,85.1,125.3,412.1,568.3
28,36.2,73.6,40.9,93.7,134.9,27.2,46.5,61.2,86.2,134.2,415.5,573.4
29,37,,41.8,97.9,135.5,27.7,47.2,61.9,89.2,143.7,420.2,576.9
30,37.2,,43.8,98.9,137.1,28.1,47.9,62,91.2,152.7,427.2,582.7
31,37.4,,44.3,,137.4,,48.1,62.6,,162.3,,585
