DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,5.5,47.3,0.7,51.1,105.1,0.3,43.9,70.3,91.9,1.1,187.1,518.8
2,7.8,51.5,1,52.2,106,2,44.6,71.3,93,3.3,196.3,526.9
3,9.4,52.5,3.9,53.3,106.6,3.8,45,71.8,94.1,7,213.2,540.2
4,10.3,53.5,8.7,55.4,107.9,4.7,45.6,71.9,94.3,9,224.5,550.6
5,11,55.2,11.6,58.5,110.1,5.3,45.8,72.7,94.9,10.5,237.4,558.3
6,13,56.4,15.1,60.6,110.8,6.6,46.1,73.5,96,12.1,247.4,562.2
7,16,58,18.7,66,118.1,8.6,46.9,74.6,96.9,16,261,569.6
8,18.7,60.2,20.3,70.7,120.4,9.8,47.8,75.3,97.2,17.8,282.4,577.4
9,23.1,61.5,21.4,73.1,125,12.3,48.4,76.1,97.5,20.3,295,583.3
10,23.8,63,23.3,76.4,125.3,16.9,49.1,76.6,98.4,23.7,305.3,588.1
11,26.4,63.1,24.3,78.1,127.7,19,50,77.3,98.7,26.2,314.3,597.8
12,27.6,65.2,25.1,80.5,129.9,20.9,50.2,77.8,99.6,30.7,323.1,609.9
13,28.4,69.6,26.9,82.9,132.1,22,50.8,78.1,99.9,35.6,336.9,617.1
14,28.9,72.4,30.9,84.8,134.2,23.1,51.4,78.5,101.8,40.7,351.6,624.4
15,30.3,74,32.4,86.6,134.5,23.6,52.1,79,102.2,43.9,362.7,631.2
16,32.3,74.4,34.3,88.1,135.3,24.8,53.4,80.6,103.4,46.8,372.5,635
17,33.7,75.5,36.5,88.2,135.9,26,54.7,81.1,104.9,51.8,382.2,640.9
18,35.6,77.7,38.4,88.7,136.9,27.6,56.2,81.6,105.9,59.9,391.5,647.1
19,36.3,85.6,40.3,90,137.5,29.4,57.4,82.5,106.4,70.6,396.9,656.4
20,37,86.8,41.4,90.9,139.1,31,58.1,83.1,107.3,79,405.4,664.8
21,37.6,87.8,43.3,92.8,139.5,33,58.5,83.6,108,87.9,417.7,668.8
22,39,87.8,44,93.7,139.7,34.7,59.2,83.9,109.1,98.6,426.9,673.7
23,39.5,88,44.3,95.7,140.1,36.1,60.2,85.1,111.2,106.4,440.2,679.5
24,40.1,88.9,44.7,97,140.1,37.2,62.7,85.6,115,114.7,453.1,683.1
25,40.3,91.2,45.7,98.4,140.6,38.1,65.3,86.2,118.6,123.6,461.9,685.9
26,40.7,92.3,45.7,100,141.2,39.2,66.4,87,119.6,132.2,470.2,689.6
27,41.4,92.5,45.9,101,141.6,39.9,67.2,88,120.3,143.7,478.7,691
28,43.2,95.3,46,101.6,141.7,41.4,68.1,88.9,122.6,151.1,485.4,697.5
29,44.3,,47.9,102.6,143.3,42.6,68.6,90,126.2,159.4,491.9,699.6
30,46.5,,48.9,103.7,144.8,43.5,69,90.2,129.5,169.1,503,708.9
31,46.9,,49.2,,145.6,,69.5,90.9,,178.5,,710.9
