DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.7,18.2,0.7,38,86,0.2,16.1,29.8,44.3,2,164.8,363.9
2,2.4,20.2,0.7,38.3,86.4,1.6,16.1,29.8,45,3.7,173.2,367.8
3,2.5,21.3,2.5,39.3,88.6,2.1,16.3,29.9,45.2,6.3,181.5,372.3
4,2.5,23.6,8.3,41.3,89.4,2.8,16.4,29.9,45.3,9.4,192.4,375.9
5,2.6,24.3,9.3,43.2,90.9,3.2,16.6,30.4,45.9,10,201.9,378
6,3.1,25.1,10.3,45.4,92.8,3.8,17.4,30.8,46.1,11.5,211,381.3
7,4.5,25.4,11,47.9,98.5,5.2,18.5,31.8,46.8,15.9,222.1,384.5
8,7.1,25.8,11.5,50.9,100.3,6.2,20,33.1,47.7,16.8,234.2,388.6
9,8.6,27.5,12.3,52.7,102.9,6.9,20.4,34.6,47.9,20,241.4,392.7
10,9.3,27.7,12.9,54.9,103.3,7.3,20.7,34.9,49.5,22.8,246.6,395
11,9.4,28,12.9,57,103.9,7.6,20.9,35.5,50.1,24.2,252.5,400.7
12,10.6,28.9,13.7,58.5,104.3,8,21.1,35.6,50.6,27.4,257.6,409.6
13,10.9,31.3,14.3,59.4,106.2,8.7,21.4,35.9,51.5,30,264.8,412.9
14,11.1,32.5,17.5,60.2,106.6,8.7,21.9,36,51.7,34.9,273.8,415
15,12,33.3,19,61.8,108.2,8.9,22,36.3,53.2,39.4,278,417.7
16,12.6,33.3,20.2,64,109.9,9.1,22.4,36.9,54.8,43.9,284.2,418.7
17,14.4,33.5,22.5,64.8,110.9,9.2,22.6,37.1,56.9,48.1,289.1,422.2
18,15.6,34.9,24,65,111.6,9.8,23.4,37.3,57.9,53.4,293,429.9
19,15.6,35.1,24.7,65.9,113.7,10.6,25.1,38.2,58.8,59.9,297.5,433.1
20,15.7,36.2,25.5,66.8,114.5,10.9,25.4,38.6,60.2,67.4,301.5,436.6
21,15.8,36.4,28.4,70.9,114.5,11.2,25.4,38.9,61.9,74.4,310.2,437.6
22,16.2,36.8,29.7,71.9,114.7,11.8,25.7,38.9,63,85.1,314.4,439.7
23,16.4,39,30.5,72.1,115.1,12.9,25.8,39.7,63.6,91,319.1,443.5
24,16.4,39.2,31.1,74.5,115.2,13.9,26.6,40,64.2,95.7,327.1,444.8
25,16.5,42.6,31.2,75.6,116.1,14.2,26.9,40.7,64.7,107.8,330.9,447.7
26,16.6,43.8,31.4,77.5,116.5,14.4,26.9,41.2,66.8,113.9,336.6,448.4
27,16.6,43.8,31.8,78.8,116.6,14.8,26.9,42,69.9,122.6,343.8,448.7
28,16.8,44.5,33.2,81.2,116.7,15.2,28.5,42,71,127.3,348.4,451.6
29,17.1,,34.1,82.9,116.9,15.3,28.8,42.1,73.7,138.4,351.7,454.3
30,17.5,,35.7,85.4,117.4,15.9,28.9,42.2,79.1,146.9,358.1,458.2
31,18.1,,36.6,,117.9,,29.1,42.6,,157,,459.5
