DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.8,16.3,0.2,32.2,74.4,0,31.7,53.6,71.1,0.9,140.5,324.7
2,2.3,16.8,0.2,33.2,74.6,1.8,32.7,54.4,71.6,4.3,148.7,328.2
3,2.5,17.5,1,34,76.3,2.3,33.8,54.7,72.6,7,157.4,333.2
4,3.1,17.8,2.9,35.6,77.1,3.7,33.9,55,72.6,8.8,166,336
5,3.5,17.8,3.9,37.6,78,4.4,34.2,55.1,72.9,12,174.3,338.5
6,3.8,18,5.2,39.3,78.6,5.7,34.2,55.8,73.6,12.8,180.8,341.6
7,4,18,5.4,41.4,82.2,8,36,56.4,74,14.1,188.2,344.6
8,5.7,18.5,5.9,45.9,84.3,10.1,38.1,58.2,74,15.4,195.6,350.2
9,8.1,18.5,5.9,50.4,86.5,12,38.5,59.6,75.3,19,203,353.8
10,8.7,18.8,7.4,51.8,86.8,13.4,39.3,60.2,76.8,20.9,206.9,355.2
11,9.9,19.6,7.4,54.1,87.4,15.9,39.7,60.7,77.1,21.9,215.6,358.7
12,10.7,20.4,7.5,56.9,88,17.5,39.9,60.8,77.3,24.6,222.4,365.2
13,11,22.4,8.8,58.7,89,17.6,41.2,60.9,77.6,27.3,227.3,367.9
14,11,24.4,9.6,60.2,91.9,18,42.2,61.3,77.9,33.5,235.7,369.5
15,11.4,24.8,10.5,60.6,92.8,18.4,43.1,62.8,78.1,39.5,239.3,370.9
16,12.2,24.8,13,60.9,93.7,19.1,43.3,63.4,79.6,43.5,243.7,371.6
17,13.2,24.8,13.8,60.9,94.2,20,44,63.4,81.1,48.6,249.2,373.7
18,14.9,25.2,15.9,61.2,95.2,20.9,45.3,63.9,81.2,55.3,254.7,378.6
19,14.9,26.5,16.5,61.9,97.1,22.1,46.6,64,81.5,62.8,261.9,381.2
20,14.9,26.8,18.6,62.4,98.1,22.7,47.3,64,82.4,70.8,265.5,382
21,14.9,28.1,22.7,63.1,98.2,23.4,47.6,64,82.8,74.7,274.1,383.6
22,14.9,28.5,23.8,63.5,98.2,24.6,47.7,64.1,83.5,82.4,279.6,385.8
23,14.9,28.8,25.5,65.3,98.2,25.8,48.5,65.5,84.7,84.9,284.8,387.7
24,14.9,29,26.8,65.9,98.2,26.1,49.1,66.1,85.7,89.2,287.8,388
25,14.9,29.4,27.6,66.7,98.8,27.1,49.5,66.5,88.4,95.6,291.8,390
26,15.1,30.8,27.8,67.3,99.2,27.3,50.5,66.9,90.2,101.6,296.7,390.7
27,15.2,30.8,28,67.8,99.6,28.3,50.7,68.3,91,108.1,302.9,391.6
28,15.3,33.2,28.4,69.4,99.9,29.3,51.2,68.7,91.6,112.3,308.5,394.3
29,15.8,,28.4,71.4,100.2,30.4,51.6,69.3,94.7,119.8,310,394.6
30,16.3,,30.3,73.5,100.6,31.1,51.7,69.7,95.8,125.8,319.7,396.2
31,16.3,,31.8,,100.9,,52.7,70.6,,131.9,,397.8
