DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.9,18.6,1.7,30.3,68.6,1.6,9.6,17.4,32.3,0.9,125.9,294.3
2,3,19.1,2,31.8,69.8,2.8,9.6,17.8,32.9,2.9,130.6,296.4
3,4,19.9,3.3,33.5,70.4,3,9.6,17.8,33.1,6.9,140.6,303
4,5.1,20.3,6.5,35.8,71.1,3.5,9.6,17.8,34.1,8.4,150,306.9
5,5.4,21.6,7.5,36.4,72.2,3.7,9.7,18.3,34.3,9.5,158.7,308.9
6,6.5,22.2,7.8,37.4,74,4.9,11.3,18.5,34.8,11,167.9,310.5
7,7.1,22.5,7.9,39,76.4,5.2,12,21,35.2,12.5,174.4,313.2
8,8.8,22.8,10.2,41.4,77.1,5.6,12.2,21.2,36.6,12.8,182.9,315.7
9,9.4,23.4,12.2,43,80,5.6,12.4,21.4,38,14.6,194.7,317.3
10,9.8,24,12.7,45.3,81,5.6,12.4,21.5,38.6,16.1,199.4,320.3
11,9.9,24.4,12.8,47.8,82.6,6,12.4,22,39.3,20.2,205.3,323.8
12,10.5,25.5,13.6,50.1,82.8,6.1,12.4,22,39.4,23.3,210.6,328.1
13,10.6,26.1,14.6,52.2,85.3,6.2,12.5,22.3,40.2,26.3,213.6,331.3
14,10.9,27.1,14.9,54.3,86.5,6.4,12.5,22.6,40.8,32.2,219.7,332.6
15,11.2,27.3,15,55,88.3,6.4,12.6,22.8,42.6,34.8,227.2,334.3
16,12.5,27.4,16.1,55.7,89.6,6.4,12.6,23.1,43.6,37.9,234.1,336.7
17,13.6,27.5,17.1,56.3,90.3,6.6,13,23.5,46.4,42.4,238.3,339.2
18,14.9,28.4,17.7,57,90.5,6.8,13.2,24,47,48.5,241,343.9
19,15.8,29,17.8,57.6,92.2,7.1,13.8,24.8,48.3,54.6,247.1,346.3
20,16.2,29.6,18.5,58.4,93.8,7.1,14.1,25.6,48.3,59.6,250.2,348.1
21,16.2,29.7,20.5,59.1,94.3,8.5,14.8,26.9,48.5,66.4,254.5,349.4
22,16.2,30,20.8,59.4,94.6,8.8,15.1,27.5,48.9,72.6,257.5,352.8
23,16.3,30.5,21.1,60.4,95,9.1,15.1,27.7,53,77.4,263.4,355.7
24,16.3,31,21.6,60.9,95.9,9.1,15.6,28,56.6,81.1,269.1,357.3
25,17.1,31.2,21.7,61.4,96.2,9.3,16.4,28.6,58.3,85.9,273.8,358.4
26,17.1,32,22.2,62.1,96.9,9.4,16.4,29.4,61.5,91.6,277,359.4
27,17.2,32.1,23.3,63.7,97.9,9.4,16.4,31.1,63.2,98.5,281.2,360.3
28,17.7,35.9,23.6,64.6,99.1,9.5,16.8,31.4,63.8,103.9,283.1,361.6
29,18.2,,25.3,65.7,99.8,9.6,17,31.8,65.9,107.5,286.7,362.9
30,18.3,,28.1,67.3,100.6,9.6,17.2,31.8,69.2,114.5,290.2,364.9
31,18.5,,28.9,,100.9,,17.4,32.3,,119.2,,365.6
