DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.7,12.7,0,8.6,37,1.7,75.6,193.4,335,9.8,209.1,457.2
2,1.3,12.7,0.2,8.8,38.2,3.6,78.9,195.9,338.7,11.2,216.8,469.6
3,1.5,12.7,0.2,8.8,39.3,5.5,83.2,199.4,344.4,17.8,226.9,478.3
4,1.9,12.7,0.9,8.9,42,7.7,84.5,203.1,350,24.2,236.7,487.7
5,3.1,12.7,1.2,9.2,42.9,13,88.3,205.1,354.6,30.9,247.7,497
6,3.5,12.7,1.3,10.8,45.5,14,93.3,212.7,358.8,33.7,261.2,501.5
7,3.7,13.3,1.6,11.3,51.1,14.4,95.1,215.6,362.7,38.4,276.3,508.9
8,5.6,13.3,1.6,13.2,53.3,17.2,96.5,219.1,367,42.6,284.8,512.7
9,5.8,13.3,1.6,13.2,54.9,21.2,98.9,222.1,368.5,46.2,291.5,514.2
10,6.1,13.4,1.8,14.1,56.2,23.8,103.8,224.3,374.3,50.2,298.7,516.9
11,6.3,13.4,1.9,14.5,60.1,25.3,107.8,229,383.9,57.3,304,521.8
12,6.3,13.4,2.8,15.1,60.8,26.8,115.4,235.5,390.1,61.2,314.6,525.4
13,7,13.7,3,16.4,61.7,27.5,120.9,239.6,394,64.5,331.1,532.9
14,8.5,14.2,3.7,18.7,62.2,35.2,124.2,247.6,404,68.2,338.5,537.4
15,8.6,14.4,3.7,26.2,62.4,39,129.6,260,407.6,71.9,347.6,539.9
16,9.9,14.7,3.7,27.4,62.9,40.8,133.9,264.4,416.5,79.7,360,545
17,10.1,16.9,4.6,28.2,64.4,42,137,269.4,422.1,84.4,366.4,547.5
18,10.4,17.1,5,28.4,67.5,43.7,139.5,275.4,426.3,91,369.2,548.3
19,10.6,17.3,5,28.8,69.1,44.1,143.8,278.9,437.9,99.3,376.2,550.8
20,10.7,17.4,5,29.3,72.4,47.2,147.6,285.6,444.9,107.2,381.2,554.5
21,10.9,17.4,6.7,29.3,73.6,50.8,151.7,289.2,448.6,112.1,385,555.7
22,10.9,18.1,7.3,29.7,76.5,54.5,154,294,452.9,115.7,390.8,557.4
23,10.9,18.5,7.4,31.2,76.9,59.7,156.5,299.3,457.8,124,399.2,559.1
24,11.2,19,7.4,31.4,77.5,62,161.6,300.8,461.4,136.3,408.1,562.6
25,11.2,19.5,7.4,32.4,78.2,63.3,163.9,307.5,466.6,143.6,420.2,563.8
26,11.2,19.5,8.6,33.7,82.6,65.8,169,310.4,470.5,153.7,430.7,565.2
27,11.9,21.4,8.6,35.3,83.1,69.3,172.3,316.7,475,163.4,441.7,565.6
28,12.6,22.4,8.6,35.9,83.4,71.4,177,321,484.2,170.8,446.6,567.1
29,12.6,,8.6,36,84.5,73.2,179.3,323.2,488.6,179.2,450.1,568
30,12.6,,8.6,36.3,85.1,74.3,184.6,327.5,497.6,190.3,452.1,570.6
31,12.7,,8.6,,85.9,,189,331.2,,201.7,,572.3
