DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.8,17.9,0,8.2,18.5,0.9,75.1,169.6,307.9,8,289,653
2,2.7,17.9,0,8.4,18.7,1.9,77.6,171.5,312.7,10.8,305,670.1
3,3.1,17.9,0.2,8.5,19.3,3.5,81,175.5,317.1,16.1,316.6,680.1
4,4.1,17.9,0.7,8.5,21.3,6.1,82.7,179.7,320.9,20.2,330.8,693.8
5,4.8,17.9,0.9,8.5,22.3,9.7,85.8,183.6,326.3,25.8,348.6,707.9
6,5.3,17.9,0.9,10.1,23.7,10.1,88.9,188.2,329.1,29.9,366.8,716.2
7,6,18.7,1.3,10.1,28.7,13.1,91,193,333.2,35.5,385.4,724.7
8,6.4,18.9,1.3,10.1,31.3,15.1,92.4,195.8,336.4,38,397.3,727.6
9,7.1,19,1.3,10.1,31.4,18.2,93.8,200.8,338.9,43.5,408.1,730.4
10,7.3,19,2,10.2,33.2,19.7,96.8,204.5,341.5,47.3,414.1,735.2
11,7.5,19.1,2.2,10.3,33.3,21.4,99.4,209.8,348.1,54.2,425.3,740
12,7.6,19.1,3.1,11,35.6,22.9,104.8,214,352.5,59.1,445.6,745.3
13,10.8,19.6,3.1,11.2,36.1,26.5,108.3,215.4,357.3,65.3,472.7,753.8
14,12.6,20.5,4.6,11.7,36.4,34.7,110.4,220.9,362.3,71.2,488.6,757.1
15,13.8,20.9,5.6,12.7,36.8,40.1,113.3,230.3,364.6,73.9,501.6,759.6
16,14.7,21.6,5.6,12.8,38,41.1,119.2,233.4,370,81.5,519.5,765
17,15.1,27.4,5.8,13.2,40,42.1,122,237,376.1,90.5,527.1,767.6
18,15.8,28.5,5.9,14.5,43.3,42.7,124.4,242.5,378.8,100.9,537.1,769.7
19,16.3,29.4,5.9,14.5,44.8,44,128.4,250,386.5,111.6,546.2,775.3
20,16.4,29.6,5.9,14.5,48.3,45.2,131,256,394.3,125,549.2,781
21,16.4,29.8,6,14.5,48.6,46.8,133.1,261.2,396.9,132.8,555.2,783.7
22,16.4,30.1,7.2,15.2,49.1,50.9,136.8,266.3,399.6,138.4,564.5,786
23,16.4,31.4,7.2,15.9,49.3,55.5,140.1,270.8,402,147.2,573.3,788.8
24,16.5,34.1,7.2,16,49.6,59.2,144.3,276.3,406.7,163.2,584.5,795.3
25,16.7,35.1,7.2,16.5,51.3,61.5,146.4,280.8,414.5,171.9,602.9,797.3
26,17,35.2,7.2,17.8,53.4,62,149.4,282.6,421,184.2,615.1,799.8
27,17.1,36.1,7.4,17.8,54.1,64.6,151.3,288.2,423.9,201.6,629.7,800.3
28,17.5,36.9,7.4,18.1,54.3,68.1,155,291.6,430.8,217.5,638.2,804.6
29,17.5,,7.4,18.1,54.3,71.2,158.5,294.2,434.6,240.2,642,806.4
30,17.8,,7.4,18.3,55,72.2,163.3,299,443.7,258.6,646.4,812.7
31,17.9,,7.4,,55.1,,164.6,302.7,,276.9,,815.3
