DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.3,13.2,0,7.1,19.7,1.7,64.6,170.8,299.3,5.6,226,507.5
2,2.7,13.2,0,7.1,20.3,6.1,67,172.5,301.6,7.2,235.4,515.6
3,3.3,13.2,0.2,7.1,20.3,11.4,69.8,176.3,306.3,12.1,248.1,527.1
4,4.5,13.2,0.3,7.5,22.9,14.1,72.2,177.7,311.8,17.3,257.9,539.1
5,6.6,13.2,0.4,7.9,23,19.4,75.4,180.7,315.8,23.6,272,550
6,6.7,13.2,0.4,8.9,24.2,19.8,77.6,185.9,319.6,30.9,287.8,556.1
7,7.5,14.2,1.1,9,29.6,20.6,79.9,190.2,322.6,35.5,301.8,561.7
8,7.6,14.5,1.1,9.4,31.3,21.2,81.4,192.1,326.7,37,309.1,565.2
9,7.6,14.5,1.1,9.4,31.4,22.8,82.9,195,328.3,39.4,314.3,569
10,7.6,14.8,1.5,11.1,34.7,24.3,86.9,197.5,336.3,44.9,321,576.5
11,7.7,14.8,1.6,11.1,34.9,25.6,90.1,205.2,345.1,48.6,329.3,577.7
12,7.7,14.8,2.3,11.7,36.8,26.8,94,208.9,350.6,53.8,347.4,582.2
13,8.6,16,2.6,11.8,38.6,28.2,100.1,211.7,357.7,57,369,589.4
14,10.2,16.7,3.2,13.1,38.6,30.9,103.5,215.2,365.3,60.5,381.5,593.3
15,11.1,16.9,3.3,15,38.6,32.2,107.2,225.7,368,62.5,392.8,596.5
16,12,17.1,3.3,15,38.9,34,115.7,229.5,372.2,68.4,402.6,599.6
17,12.3,21.6,3.3,15.2,39.3,35.2,119.2,235.9,376.4,76.9,410.7,602.2
18,12.5,23.1,3.6,15.9,39.9,35.6,121.8,240.9,378,80.8,417.1,605.9
19,12.7,23.8,3.6,16,41.4,35.8,126.9,245.6,388.9,87.2,423.6,610.2
20,12.9,23.8,3.7,16.1,44.1,37,129.2,253.3,394.3,97,427.5,612.2
21,12.9,24.2,4.5,16.1,47.2,39.5,132.1,260,395.7,104.6,432.2,612.8
22,12.9,24.4,5.4,16.4,48.2,43.4,133.4,263.4,398.1,113,437.2,615.1
23,13,25.9,5.5,17.3,48.7,46.2,135.3,268.6,404.9,123.1,445,617.5
24,13,27.3,5.5,17.3,49.5,48.2,140,272.8,410.8,134.8,452.9,621.7
25,13,28.3,5.5,17.3,50.1,50.2,140.9,274.6,416.1,142.2,462.4,624.2
26,13,28.3,5.9,19.1,53.2,50.7,145.2,277.2,420.9,151.6,475.3,626
27,13,30,6.6,19.3,54.1,53.5,147.6,281.3,422.9,167.2,488.6,626.6
28,13,31.7,6.6,19.3,54.3,57.7,151.7,283.4,426.3,184,498.7,628.9
29,13,,6.9,19.4,55.3,59.5,156.6,285.7,428.6,200.1,502.1,630.4
30,13.2,,6.9,19.7,55.8,61.1,160.6,290.2,435.3,209.9,504.4,633.3
31,13.2,,6.9,,55.9,,165,294.4,,219.6,,635.3
