DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.8,14.9,0,8.4,30.3,1.1,83.9,208.7,355.9,9.6,222.5,508.1
2,1.5,14.9,0,8.4,31.6,4.8,87.7,210.8,358.8,11.5,234.1,521.8
3,1.8,14.9,0.6,8.4,32.9,6.2,92.6,213.7,365.9,17,246.9,533.1
4,2.2,14.9,1.1,8.9,33.4,8.6,94.9,216.4,371.9,24,260.2,542.6
5,3.7,14.9,1.4,9.2,33.6,14,97.5,218.8,376.9,35,271.9,554.6
6,3.7,14.9,1.7,10.3,35,14.9,101.9,222.7,380.9,39.7,287.2,561.1
7,5.5,15.6,2.2,10.3,36.1,18,105.2,227.2,388.7,45.6,300.6,570.7
8,7.3,15.6,2.2,10.3,38.7,21,106.5,229.9,392.2,50,307.8,573.8
9,8.1,15.6,2.2,10.3,40.3,24.5,107.4,232.6,394.9,52.3,315.2,576.5
10,8.2,15.8,2.4,10.8,40.5,27.3,112.4,236.3,400.4,54,322.3,579.5
11,8.3,15.8,2.4,10.8,43.1,29.3,118.4,243,409.5,58.7,329.3,586.2
12,8.4,15.8,3.3,11.7,44.1,30.7,126.4,247.9,415,62.7,340.7,591.3
13,10.3,16.3,3.6,13.4,46.2,32.6,129.3,250.9,419.2,68.5,360.6,601.5
14,12,17.3,4.1,15.2,46.5,39,132.8,257.8,430.9,74.8,368.8,605.8
15,12.4,17.6,4.1,18.8,46.8,43.1,136.9,267.3,435.2,77.6,378.5,608.6
16,13.5,18.5,4.1,19.1,46.8,44.9,142.3,272.7,441.8,82.2,391.5,614.8
17,13.7,21.4,5.2,19.5,47.4,46.1,144.8,278,449.3,91.2,400.4,617.2
18,14.4,21.6,5.7,19.8,50.1,47.2,147.1,284.7,452.9,97.8,405.2,618.7
19,14.7,22.1,5.7,19.8,51.6,47.6,151.3,287.5,463.8,103.6,413,621.7
20,14.7,22.1,5.7,20.6,54.8,50,155.7,293.9,469.5,112.1,416.1,626.1
21,14.8,22.1,7,20.6,56.2,53.8,160.4,301.1,474.2,116.5,421.8,628.4
22,14.8,22.3,7.6,21.4,58,59.3,162.8,309,476.9,121,428.8,630.2
23,14.8,22.6,7.7,23.5,58.1,65.6,166.2,314,482.2,130.3,437.6,632.7
24,14.8,24.7,8.1,23.6,58.7,69.6,172.4,318.7,487.8,139.8,448.6,635
25,14.8,25.4,8.1,24.2,59.2,71.6,174.8,323.6,495.2,147,460.6,635.5
26,14.8,25.6,8.1,26.2,62.7,73.8,178.3,326.7,500.6,156.6,474.3,637.6
27,14.8,27.6,8.4,27.6,63.4,77.5,185.5,331.8,504.6,168,487.2,638.4
28,14.9,28.5,8.4,28,63.9,80.3,190.5,336.1,511.6,180.8,493.9,640.3
29,14.9,,8.4,29.2,65,81.5,195,341.5,515.3,192.2,498.3,641.3
30,14.9,,8.4,29.8,65.5,82.5,200.3,346.8,523.8,202,501.3,645.1
31,14.9,,8.4,,65.6,,202.7,352.4,,215,,649.2
