DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.1,11.9,0,10.9,35.3,2.5,83,208.4,341.5,5.1,174.6,371.8
2,2.4,11.9,0,11.9,36,5.7,87.2,211.9,347.4,8.9,181,381.9
3,2.9,11.9,0,12.2,37.9,9,90.5,216.5,355,16.1,192,390.2
4,3,11.9,0,12.3,40.7,10.7,91.6,220.2,363.8,18.7,198.5,397.7
5,3.5,11.9,0.5,12.7,42.8,14.7,94.7,222.7,367.9,25.4,202.8,402.9
6,3.7,12.1,0.6,13.4,45.7,16.2,98.5,225.9,375.8,29.5,211.4,405.7
7,3.8,12.8,1.5,13.5,51.3,18.7,101.8,230,382,35.9,219.4,411
8,5,13.2,1.5,15.4,52.1,22.1,102.7,232.5,388,41.7,225.9,413.7
9,5,13.2,1.5,15.4,52.6,24.4,104.8,235.5,390.4,47,232.6,415.5
10,5,13.2,1.5,15.4,53.3,27.9,111.2,237.9,396.7,52,240,418.1
11,5.1,13.2,1.6,15.4,54.4,30.3,120.9,241.6,404.5,54.7,245.5,424.9
12,5.3,13.2,2,15.5,55.3,33.2,127.5,251.3,409.6,61.8,252.3,428.7
13,6.1,14.3,2.2,16.6,57.5,36.3,134.5,253.3,415.3,66.1,264.9,434.9
14,8.4,14.8,2.8,17.2,58.1,40.7,142.9,258.2,425.9,69.3,268.5,437.5
15,8.7,15,2.9,19.3,59.9,44.2,148.1,268.1,430.6,71.1,276.7,438.7
16,10.8,15.2,3.3,20.8,61.3,45.1,151.3,271.3,436.4,75.2,287.2,441.9
17,10.9,16.2,5.3,21.2,62.5,46.8,155.8,277.9,443.1,80.1,295.7,442.9
18,10.9,17,7.6,21.7,64.6,47.8,157.1,285,449,83.7,303.3,443.5
19,10.9,17.4,7.6,22.4,66.4,48.5,159.5,287.9,459.9,87.8,306.2,445.6
20,10.9,17.4,7.7,22.6,72.5,51.2,165.6,293.9,465,92.7,311,449.8
21,11,18,8.3,22.6,74.7,52.6,169.8,298.1,471.7,97,313.2,450.3
22,11,18.4,9,23.9,76.5,57.4,173.3,301.7,473.9,102.8,317.2,452
23,11,21.1,9.3,25.5,77.1,62.4,175.5,304.9,478.8,109.2,323.2,454
24,11.1,21.2,10.3,25.6,77.9,65.8,183.2,308.6,481.3,116.7,329.6,457.5
25,11.1,21.4,10.4,26,78.3,68.7,185.9,313.5,487,122.4,335.7,458.2
26,11.1,21.4,10.7,27,79.4,70.5,188.8,316.3,491,128.8,346.2,458.3
27,11.1,23.2,10.9,28.8,81.1,73,193.2,322.2,494.8,137.2,354.2,458.5
28,11.8,24.2,10.9,29.2,81.3,74.6,197.2,324.4,500.9,142.7,358.7,458.5
29,11.8,,10.9,31.3,82.6,79,200.6,328.2,506.8,150.6,363.1,458.9
30,11.8,,10.9,32.9,84.2,81.6,203.7,331.5,515.7,163,365.2,460.4
31,11.9,,10.9,,85,,204.7,338.1,,170.2,,462.9
