District,Station,DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Chennai,Nungambakkam,1,1.4,19.6,0,6.9,16.4,1,77.2,183.4,320.5,7.5,304.8,680.4
Chennai,Nungambakkam,2,2.8,19.6,0,7.5,17.1,1.8,79.4,185.9,323.7,10.7,320.3,697.2
Chennai,Nungambakkam,3,3.6,19.7,0,7.5,17.4,2.1,83.4,189.9,326.8,17.5,334.6,710.8
Chennai,Nungambakkam,4,4.5,19.8,0.2,7.6,19.5,3.2,84.6,194.6,333,22.7,349.6,722.5
Chennai,Nungambakkam,5,5.5,19.8,0.3,8,20.3,9,86.5,198,336.5,28.5,371.8,733.8
Chennai,Nungambakkam,6,5.9,19.9,0.6,9.6,21.7,9.5,91.6,201.6,338.9,34.2,389.8,741.2
Chennai,Nungambakkam,7,6.8,20.4,0.8,9.7,25.6,13.1,93.3,207.8,340.9,39.3,408.1,748.3
Chennai,Nungambakkam,8,7.3,20.6,0.8,9.7,30.9,15,95.3,209.8,344.5,42.5,420.9,753.9
Chennai,Nungambakkam,9,7.8,20.6,0.8,9.7,32.6,18.6,98.1,212.9,347.1,46.9,433.2,759.9
Chennai,Nungambakkam,10,8.1,20.7,1.6,9.8,32.7,19.5,101.8,216.9,353,51.7,443.4,764.9
Chennai,Nungambakkam,11,8.5,20.7,1.6,9.9,34.4,23,104.7,222.9,360.1,55.1,450.2,770.9
Chennai,Nungambakkam,12,9.2,20.8,2.2,11.1,37.3,24.6,110.7,227.1,365.8,59.1,470.1,776
Chennai,Nungambakkam,13,11.4,21.2,2.2,11.7,38.1,27.6,113.9,229.1,368.8,68.2,504.2,784.1
Chennai,Nungambakkam,14,13,22,2.6,12.2,38.5,36.2,115.7,233.1,373.1,71.8,517.4,787.9
Chennai,Nungambakkam,15,14.1,22.5,3.3,12.5,38.8,41.9,121,240.2,378.8,75.4,525.7,792.3
Chennai,Nungambakkam,16,16,22.9,3.3,12.6,40.2,42.9,125.4,245.9,382,82.7,541.7,798.3
Chennai,Nungambakkam,17,16.3,29.3,3.3,12.6,42.9,43.2,128.4,253,390.9,91.8,552.6,801.5
Chennai,Nungambakkam,18,17,29.5,3.5,12.8,44.9,45.5,130.4,259.5,394.7,110,561.5,804.4
Chennai,Nungambakkam,19,17.2,29.6,3.5,12.8,47.5,48,132.1,263.4,402.1,119.4,569.8,808
Chennai,Nungambakkam,20,17.2,29.7,3.5,12.8,50.3,50,134.8,268.7,407.4,130,573.5,812.6
Chennai,Nungambakkam,21,17.2,29.7,3.7,12.8,50.9,52.2,138.9,272.7,411,138.4,579.6,817.6
Chennai,Nungambakkam,22,17.3,29.8,5.1,13.2,51.7,55.1,141,276.6,413.9,146.5,590,822.5
Chennai,Nungambakkam,23,17.4,31.5,5.2,13.8,51.8,58.6,143.1,281.1,416.6,155.8,596.4,827.3
Chennai,Nungambakkam,24,17.4,34.2,5.3,13.8,52.7,60.9,148.6,283.8,421.5,169.7,610.5,832.5
Chennai,Nungambakkam,25,17.5,34.9,5.4,14.1,53.2,62.1,152.6,293.5,429.2,184.3,631.3,834.4
Chennai,Nungambakkam,26,17.7,34.9,5.4,15.6,56,63.8,158.4,295.2,434,196.8,641.5,838.8
