DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.5,25.5,0.1,8.4,25.6,1.2,85.3,213.5,356.7,6.8,308.5,669.9
2,3.8,25.6,0.1,8.7,26.4,2.3,88.2,217.1,358.7,10,322.4,689.2
3,5.6,25.7,0.5,8.8,27.7,6,92.3,222.3,363.9,17.8,336.3,705.5
4,6.7,25.7,0.9,8.9,29.9,8.6,94,227.3,372.2,22.7,349.2,717.3
5,8.1,25.7,1,9.6,31.4,12.6,97.5,230.1,377.4,30.2,366.8,724.5
6,8.5,25.9,1,12.2,33.9,13.2,102.1,233.8,381.8,36.9,386.8,732.5
7,10.4,26.5,1.7,12.4,37.9,18.4,105.1,237.7,385.5,43.6,407.9,741
8,12,26.9,1.7,12.4,41.9,19.9,106.9,241.4,389.5,46,425.3,746
9,12.6,26.9,1.7,12.4,43.7,23.7,109.7,246.8,393.4,51.9,436.7,751.4
10,13.4,26.9,2.1,12.9,43.8,25,116.4,252.2,398,56.8,448.5,754.8
11,14,26.9,2.2,13.1,46.4,26.3,119.9,255.4,408.3,59.8,457.5,759.8
12,14.9,27.3,3,14,48.6,29,126,260.4,411.9,64.7,479.3,765.3
13,17.3,27.8,3.1,14.6,50.2,31.7,131.7,263.4,414.5,70.4,503.7,774.5
14,18.5,28.3,3.5,15.5,51,40,135,269,418.6,75.8,508.8,780.6
15,19.2,28.5,3.5,16.1,51.5,44.2,141.6,274.4,423.8,80,514.7,786.2
16,21.2,30,3.5,18.4,53.9,45.3,147.1,279.2,428.5,85.5,525.9,791.6
17,22.8,33.1,3.6,18.8,57,45.9,149.2,287.1,435,93.1,535.6,793.9
18,23.2,33.9,4,19.9,59.6,48.4,152.1,292.8,439.6,106.9,542.7,797
19,23.4,34.7,4,20.2,62.8,49.4,155.9,297.3,446.1,116.5,549.2,800.5
20,23.5,34.8,4,20.2,64.9,51.8,160.7,303.4,451.9,127.9,553,802.3
21,23.5,34.8,4.1,20.2,66.4,54.3,166.1,308.4,456.8,140.8,561.5,805.8
22,23.6,35.3,5.9,21.4,66.6,57.3,168.4,313.9,459.6,150.6,575,808.3
23,23.6,35.6,5.9,22.8,66.6,63.6,170.8,316.8,465.1,160.2,582.2,813
24,23.6,38.5,5.9,22.8,67.2,66.2,173.7,320.3,469.2,177.5,597.1,817.3
25,24,39.2,7.2,23.2,67.5,67.5,178.7,325.8,476.5,194.4,615.7,819.7
26,24.1,39.2,7.2,24.2,69,68.7,184.2,328.6,480.8,209.1,628.9,822.8
27,24.7,39.8,7.5,24.3,69.1,72.6,188.3,333.8,485.7,232.3,643.2,823.8
28,24.9,40.2,7.5,24.8,69.6,74.6,193.3,336.3,493.7,251.5,653.8,828
29,25.1,,7.6,24.9,69.8,81.2,199.5,341,499.9,266.8,657.3,830.3
30,25.1,,7.6,24.9,70.3,83.8,204.1,346.5,511.1,282.1,661.8,836.9
31,25.5,,7.6,,71.5,,207.6,349.9,,295.7,,840.2
