DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.3,23.9,0,4,5.1,0,37.6,134.2,254.5,13.8,244.5,606.3
2,1.5,23.9,0,4,5.1,0.8,38.8,137.8,256,15.6,259.3,616.9
3,2.5,23.9,0,4,6.2,1.9,41.9,143,257.1,23.1,267.5,624.7
4,3.9,23.9,0,4,6.2,1.9,43.4,147.7,259.7,26.6,277.5,633.7
5,4.1,23.9,0.2,4,6.2,2.8,43.9,150.7,261.6,32.6,292.8,642.9
6,4.5,24.2,1.2,4,6.2,3.7,45.9,153.6,265,38.2,312.7,648.9
7,6,25.4,1.2,4,7.7,3.9,46.9,159.8,266.8,46.3,326.9,654.3
8,6,25.4,1.2,4,7.8,6.2,49.4,164.6,271.3,50.8,336.9,655.7
9,7,25.4,1.2,4,7.8,6.8,53.6,167.5,273.4,57.5,345.1,659.5
10,7,25.4,1.2,4,7.8,7.5,57.3,173.3,278,59.4,349.7,660.4
11,7,25.4,1.2,4,8.8,10.1,60.4,176.5,282,64.1,366.8,665.1
12,9.1,25.6,1.7,4,10.1,11,62.7,178.6,285.2,67.4,394.3,668.5
13,13.2,26.7,1.7,4,10.6,11.3,63.7,181.7,285.8,67.9,447.7,671.8
14,17.1,28.2,2.2,4,11.2,12.8,66,184.2,286.7,71,473.8,681.1
15,19.9,29.3,2.2,4,11.2,13,70.6,187.3,289.3,73,480.9,684.5
16,22,30.7,2.2,4,11.2,13.3,77.1,191.1,292.3,80.6,487,689
17,22,41.5,2.2,4.1,11.2,13.5,80.1,201.5,299.2,88,490,690.4
18,22.6,41.7,2.2,4.1,11.5,17.4,81.4,203.6,300.2,94.6,499.8,690.5
19,23.1,41.7,2.2,4.2,11.5,21.4,85.3,208.6,312.3,100.6,513.1,690.6
20,23.1,41.7,2.2,4.2,11.5,21.4,86,213.4,318,109.2,515.3,690.6
21,23.1,41.7,2.2,4.3,11.5,22.3,90.1,216.2,319.4,117.5,519,690.7
22,23.1,41.7,2.2,4.3,11.6,23.9,97.2,219,323.7,125,522,692.7
23,23.1,41.7,2.2,4.4,11.6,27.2,98.6,222.4,326.2,133.4,526.9,700.1
24,23.1,41.7,2.2,4.4,11.6,28,104.4,225.1,330.4,147.9,534.7,709.5
25,23.3,41.7,2.2,4.4,12.5,29.1,108.7,227.1,335.4,164.2,566,712.3
26,23.4,41.7,2.2,5,14.7,31.3,114.2,227.8,340,183.1,576.6,719
27,23.4,41.7,2.2,5,14.9,32.4,117.2,229.8,350.7,203.2,589.8,719.6
28,23.4,41.8,2.2,5.1,15.2,32.9,121.8,231.8,356.1,216.8,591.5,727.2
29,23.9,,2.2,5.1,17.1,34.6,122.4,236.8,360.1,222.4,598.4,730.7
30,23.9,,2.2,5.1,17.1,35.4,125.8,246.9,375.9,227.6,599.9,733
31,23.9,,2.2,,17.4,,129.5,249.7,,235.1,,735.4
