DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,4.1,35.9,4.4,41.5,66.3,0.8,48.8,108.5,225.3,4.2,281.1,718.9
2,6.2,37.3,5,42.2,66.6,2.9,51.8,113.8,228.2,7.1,289.7,725
3,9,37.4,5,42.2,67.8,4,55,116.9,230.8,18.5,297.9,743
4,9.9,37.4,5,43.9,73.2,6.6,56.7,119.6,232,20.9,317.1,763.8
5,14.9,38.3,7.8,46,78.7,8.2,57,122.8,232.2,22.4,340,788.5
6,17.5,38.3,12.3,48.7,81.8,8.9,57.1,128.1,235.4,31.1,367.4,798.6
7,19.9,39.3,12.8,50.6,88.1,10.6,58.4,129,239.2,34.1,383.8,808.5
8,21.7,40.1,13.4,51.2,90.9,13.3,58.6,135.6,244.7,42.4,415.5,814.9
9,22.4,40.1,13.5,51.4,91.1,16.1,59.1,138.7,246.6,47.4,434,826.5
10,23.3,41.7,15.2,51.4,91.2,17.5,60.6,142.2,250.8,50.9,443.4,839.5
11,25,41.8,19.6,52,91.7,20.4,63.9,144.6,255.9,52.9,454,849.2
12,25.1,42.7,25.3,54.2,93.3,22.9,67.9,146.4,259.5,59.8,457.4,856.1
13,25.6,43.3,34,55.8,99.1,27,71.5,149.4,261.3,64.4,474.5,863
14,28.1,44.7,34.6,55.8,100.1,29.3,74.6,151.7,267.6,72.8,492,872.4
15,28.7,46.8,35,56.2,100.7,31.3,75.4,154.5,269.4,82.4,505.6,885.9
16,28.7,46.9,35.1,56.4,101.2,32.3,76.1,160.5,270.8,85.5,519.2,897
17,29.1,47.1,35.2,56.5,101.8,32.6,76.9,169.7,272.7,91.1,526.6,902.8
18,29.7,48.4,35.2,57.5,101.8,32.6,78.8,172.7,276.9,95.1,536.5,914.7
19,30,48.5,35.3,58.4,104.4,34.4,79.5,174.2,277.4,108.2,546.3,919.9
20,30.1,49.8,35.8,58.4,104.6,34.4,79.7,176.1,285.2,126.3,555.7,925.3
21,30.1,49.9,36.7,59.3,106,36.2,80.3,185.6,288.4,135.9,567.1,934.7
22,30.1,49.9,39.1,60.4,106.1,40.8,82,191.5,290.7,141.6,587,945.5
23,30.1,52.1,39.3,61,106.3,42,84.8,192.6,291.4,148.4,600.8,948.3
24,31,53.1,39.3,61.2,106.8,43.7,88.1,199.9,294.5,164.7,623.1,953
25,31.7,53.6,39.3,62.1,107.1,44.3,91.1,205.3,299.3,179.7,643.8,956.4
26,31.9,57.7,39.3,62.3,109.3,44.8,93,210.5,306.1,188.4,668.5,956.9
27,32,58.4,40.8,63.9,110.5,46.3,96.6,213.8,309.1,203.5,681.1,958.6
28,32.5,58.4,40.8,63.9,110.5,46.7,97.6,217.8,314.2,217.6,691,960
29,32.6,,41.1,63.9,113,46.7,100.5,221.3,322.5,238.4,702.1,968.2
30,32.6,,41.1,64.2,113.3,47.9,104.9,223.6,328.7,255.1,708.4,972
31,34.6,,41.4,,114.8,,105.1,224.1,,269.3,,976.3
