DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3.4,28.6,0.9,20.7,39.2,0.4,48.7,116.5,232.7,1.2,205.7,535.7
2,3.9,28.6,1.2,20.9,39.6,1.7,51.2,119.2,238.5,3.7,213.1,544.5
3,5.7,28.6,1.2,20.9,40.6,2.6,52.6,122.6,240.2,6.4,227.6,559.1
4,6.6,28.7,1.7,21.5,41.3,5,54.8,125.9,242.7,11.3,248.2,573.3
5,8.4,28.8,3.8,22.2,43.9,7.4,56.3,128.4,244.5,16.1,259.6,584
6,10.2,30.9,4.6,23.4,47.5,9.6,57.6,131,248.4,20.1,278.3,590.1
7,11.6,31.5,6.8,23.4,53.5,11.8,59.7,134,252.3,24.4,296.5,596.6
8,12.6,31.5,6.8,24.4,56.5,15.3,61.2,135.1,257.8,33.5,315.7,604.7
9,12.9,31.5,7.2,24.4,58.5,16.8,63.1,138.7,262.1,40.8,326.5,611.8
10,13.8,31.5,7.5,24.4,58.6,18.5,65,140.2,264.5,43.6,334.7,622.9
11,15.5,31.5,11,24.7,59.8,21.3,66.9,141.7,266.8,47,342.5,632.1
12,16.3,32.2,16.5,26.4,61,24.9,69.1,144.4,271.4,50.3,352.1,640.5
13,16.7,32.7,18.5,27.6,63.8,29.9,71.6,149.7,273.3,54.5,360.8,648.5
14,18.8,32.7,18.7,27.9,64.2,31.2,73.6,151.1,277.7,60.3,371.4,655.8
15,19.1,33.4,18.7,28.5,65.3,32.1,76.2,156.4,281,65.7,386.1,665
16,21,34.1,18.8,28.5,65.5,32.2,77,160.4,283.4,68.3,393.3,676.4
17,21.2,34.5,18.8,28.9,68.6,33.5,79.6,166.2,291.7,74.8,400.2,686.3
18,21.3,35.3,19,30.5,68.9,33.5,80.8,170.7,297,79,408.2,694.7
19,21.5,36.8,19,30.5,71,34.8,82.6,172.6,299.7,85.8,417.4,699.9
20,21.7,36.9,19.4,31.2,71.8,36,84.4,177.2,301.3,92.5,422,704.9
21,23.3,37.3,19.5,31.6,71.9,38.2,86.1,182.7,307.1,97.8,429.3,709
22,23.7,37.3,19.8,33,72.5,39.7,89.8,189.6,308.9,103.3,437.5,717.7
23,23.7,38,20.2,34.5,73.6,43,91.9,193,310.6,110.4,446.1,726.4
24,24.9,38.1,20.2,34.5,74.3,43.8,96.3,199.7,312.9,124.7,459.1,729.9
25,26,38.2,20.2,36.4,75.8,44.3,99.2,202.9,316.4,136.1,472.3,732.1
26,26,39.1,20.2,36.4,76.5,44.5,99.9,209.7,320,143.9,486.5,735.8
27,26.5,40.5,20.7,36.8,79.3,46.3,102.2,210.8,322.6,155.1,501.5,737.3
28,27.2,40.5,20.7,37.8,81.1,47.1,105.9,213.6,327,163.4,508.8,739.3
29,27.8,,20.7,37.9,83.8,47.1,109,216.8,335.2,173.4,518.8,743.3
30,28.2,,20.7,38,84.8,48.1,111.4,221,339.4,182.1,528.6,745.4
31,28.5,,20.7,,85.2,,111.8,226.1,,196.7,,747.3
