DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,4,17.6,0.4,16.8,27.5,0.5,34.7,97,192.6,6.7,169.1,373.6
2,4.4,18.2,0.4,16.8,28.9,0.9,35,100.6,194,10.8,174.1,377.3
3,7.4,18.2,0.4,16.8,29.4,3.3,37,101.1,197.9,13.9,181.8,384.4
4,7.4,18.2,0.6,17.2,29.6,5.5,38.4,103,201,17.5,194.9,392.6
5,7.7,18.3,1.1,17.4,31.5,5.7,41,107.8,204.1,21.6,203.1,399.2
6,8.1,19.4,2.4,17.9,32.4,8.1,42.8,109.6,206.6,26,212.6,405.2
7,8.6,20,4,18.1,34.4,9.7,43.6,114.9,210.6,33,218.4,410.1
8,9.2,20.9,4.6,18.2,36.5,11,46.4,116.6,215.9,37.5,226.6,415.2
9,9.5,20.9,4.7,18.2,37.2,11.9,46.9,122.2,219.2,42,235.5,418.7
10,9.5,21.3,4.7,18.2,38.5,12.5,49.7,124.9,222.7,46.1,244.8,423.2
11,9.8,21.8,5.4,18.2,38.7,13.3,52,126.5,225.2,49.4,248.6,428.9
12,10.1,21.9,10.6,19.1,40.3,14.6,54.5,129.5,229.1,55.6,254.2,430.5
13,11.2,22.6,11.6,19.8,42.1,17.6,57.2,130.5,232.3,62,260.8,434.4
14,13.4,22.6,11.6,20.2,43,19.5,58.5,131.7,235.6,68.9,265,441.6
15,15.4,22.6,11.9,20.8,46.4,20.6,59.8,132.8,239.1,72.8,277.5,446
16,16.4,23.2,12.1,20.8,47.6,20.9,60.8,134.7,245.6,75,285.4,453.4
17,16.4,24,12.1,21.3,49.9,21.5,61.3,140.3,253.3,77.9,288.7,457.9
18,16.4,24.4,12.1,22.3,51.7,22.1,63.5,143.6,255.5,81.8,293.9,459.4
19,16.6,24.8,12.1,22.3,52.6,22.6,66.1,145.5,258.4,84.5,297.7,462.7
20,16.8,24.8,12.4,22.3,53.2,22.6,69.1,148.5,263.8,90.3,301.7,465.4
21,16.8,25.4,14.7,22.5,54.1,22.7,72.9,155.9,265.1,96.9,305.3,468.4
22,16.8,25.4,15.2,23.2,55.7,24.4,74.4,161.2,267.4,101.4,308.8,470.4
23,16.8,25.5,15.2,23.9,56.1,26,75.7,164.8,269.3,106.8,315.8,475.1
24,16.8,25.6,15.3,24.4,56.8,26.6,77.9,168,272.2,120.2,326,476.2
25,17.3,25.6,15.3,25.9,58.3,27.3,81.2,171.3,276.2,126.5,334.2,477.5
26,17.3,26.2,16.2,26.6,59.4,28.5,83.6,173.7,280.5,130.5,343.7,479.3
27,17.3,26.4,16.7,26.6,61.8,29,86.2,177.1,284,137.2,353.3,479.5
28,17.3,26.8,16.7,26.6,63.8,30.3,89.9,179.9,287.6,143,361.3,480.4
29,17.4,,16.7,26.6,64.9,32.6,93.2,182.2,291.2,151,366.4,483.6
30,17.6,,16.7,27.5,65.6,33.8,94.9,184.7,299.9,156.5,369.4,484.3
31,17.6,,16.7,,66.2,,96.6,189.3,,160.7,,486.2
