DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,7.9,29.8,1.4,29.2,41.6,0.1,32,90.5,184.7,3.3,211.7,546.1
2,9,30.6,1.8,29.8,41.6,1.6,33,93.7,185.9,5.9,218.2,555.5
3,10.8,30.6,5.2,29.8,42.1,2.2,35.3,95.6,186.8,11.9,229.8,569.8
4,13.1,30.6,8.7,30.7,42.8,4.9,36.4,98.2,187.4,14,253.3,587.7
5,14.9,31.2,8.8,31.5,45.1,5.3,39.8,99,189.9,17.1,270.3,604.3
6,17.7,34.3,12,32.3,48,8.9,40.6,102.8,190.9,19.5,286.9,614
7,18.8,36.2,15,32.3,51.5,10.4,40.7,107.1,194.6,25.8,308,622.6
8,19.2,36.7,15,32.5,53,12.2,41.1,108.4,200.2,29.4,327.9,628.6
9,19.5,36.7,15,32.5,53.1,13.2,41.8,112.4,204.9,33.3,340.5,638.3
10,20.2,37.4,15.7,32.5,53.7,16.8,43.3,114.2,207.2,39,348.3,647.6
11,21.7,37.4,20.3,32.7,54.4,18.9,44.7,117.6,209.9,40.4,356.9,653.8
12,21.7,37.4,22.9,33.7,55.3,20.1,47,119.4,211.8,44.8,367.1,656.7
13,21.7,38.2,26.1,33.7,56.7,21.2,49.7,122.2,213.5,49.7,377.9,662.9
14,22.7,38.3,26.4,33.8,56.9,21.9,54.7,124.7,217.5,54.8,387.3,670.6
15,23.3,38.4,26.9,33.9,57.7,22.2,55.2,126.7,221.3,57.6,398,677.4
16,23.3,42.6,26.9,34.3,58.4,22.2,56.4,131.6,224.6,61.9,406.4,687.1
17,24.9,42.6,27,34.3,58.6,22.3,58.1,136.2,232.3,66.2,413.5,694.6
18,25.9,43.5,27,35.6,58.6,22.8,59.4,137.2,236.2,69.5,419.3,698.5
19,26.3,43.7,27,36.2,59.8,22.9,59.9,139.4,240,75.4,426.9,701.9
20,26.4,45.7,27.2,36.2,60.7,23.6,62.8,140,244.8,86.1,433.5,706.6
21,26.4,45.7,27.8,36.5,60.8,24.7,64.8,143.2,251,94.5,440,710.6
22,26.6,45.9,28.6,38.3,61.4,26.6,66.5,147.6,255.9,98.6,448.4,719.4
23,26.6,46.3,28.7,40.1,61.6,27.8,69.6,150.8,258,108.7,456.8,728.5
24,27.1,46.6,28.7,40.1,61.7,28.5,75.4,157.5,260.4,124.5,468.4,730.1
25,28.6,48.1,28.7,40.4,61.7,28.7,77.7,161.3,263,136.4,483.6,735.9
26,28.7,53.8,28.7,40.4,62.7,29.1,78.8,166.1,267.6,146.5,503.2,738.1
27,28.7,54.8,29,40.5,63.9,30.6,80.6,168,269.5,159.8,517.7,739.6
28,28.7,56,29,40.5,64,30.9,83.4,173.2,271.7,169.5,521.9,741.9
29,29.4,,29.1,40.5,64.1,31,84.4,175.7,280.7,180.2,530,746.5
30,29.4,,29.1,40.5,64.2,31.2,87.7,178.4,286.3,189.8,535.7,747.4
31,29.7,,29.1,,64.2,,89.2,180.7,,199.8,,750
