DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,6,20,0,14.8,38.7,1.2,48.1,127.1,251.6,4.6,181.5,442
2,7,20,0,14.8,38.8,1.9,48.6,130.5,255.3,7.4,187.4,449.2
3,8.7,20,0.1,14.8,38.9,2.8,50.3,132.7,260.7,11.5,196.8,456.3
4,9.2,20.2,1.1,15.8,40,5.3,54.6,137,264.2,15.4,211.8,469.5
5,10.9,20.2,1.4,16.2,43.2,7,58.3,141.6,268.4,18.2,224.6,477.5
6,11.2,21.4,2.2,16.9,44.3,8.9,60.5,146.2,271.2,19.5,237.2,483.4
7,12,22,4.5,17.5,51.1,9.9,61.5,149.2,278.3,26,252.3,485.7
8,13.2,23.3,5.1,17.6,57,11,63.5,151.1,284.9,33.1,265.9,489.2
9,13.6,23.3,5.1,17.6,58.1,12.8,63.7,159.5,288.2,37.3,273.7,493.9
10,13.7,24.7,5.4,17.6,58.3,15.2,67.6,161.3,296.6,40.1,280.3,502.3
11,13.9,24.7,7.6,17.8,59,17.8,70.1,163.6,303.7,44.2,286.3,509.7
12,14.7,25.4,10.6,21,59.6,19.6,75.2,170.2,309,49.6,294.4,514.4
13,15.1,26.4,12.5,22.8,60.2,22.7,78.2,171.4,310.2,52.3,302,519.2
14,16.9,26.8,12.8,23.3,60.7,25.5,82.1,174.8,320.3,55.3,310.2,528.8
15,17.9,26.8,13,24.1,62.4,26,85.1,178.7,324.9,61.7,330.8,532.9
16,18.6,27.3,13.3,24.1,63.6,26.3,86.3,181.2,330.6,67.2,339.1,538.8
17,18.6,28.9,13.3,25.1,63.8,27.7,89.7,186.7,336,71.7,348.5,542.1
18,18.9,31.2,13.3,27.9,64.1,28.4,90.6,189.7,341.1,73.5,353.1,543.1
19,19.2,31.6,13.3,28,66.3,28.9,95,192.2,344.6,79.3,357.3,547.6
20,19.2,32.4,13.7,28,67.8,29.9,96.2,193.9,350.4,86.9,362.4,556.3
21,19.2,32.4,14,28,69.2,31.2,98.8,199.7,353.9,95.4,368.3,558.2
22,19.3,32.4,14,29.2,69.5,32.1,100.4,207.6,356.6,99.8,373.4,562.2
23,19.4,33.6,14.6,30.6,70.1,35.1,102.9,209.4,360.3,104.5,380.4,569.4
24,19.4,33.8,14.6,31,70.1,35.6,106.9,214.5,364.8,117.4,394,569.8
25,19.6,34.1,14.6,34.4,70.7,37.1,109.3,220.7,369.5,124.2,403.7,572.1
26,19.6,34.9,14.6,34.7,71.1,38,113.1,227.9,373.7,131.4,416.1,574.2
27,19.6,34.9,14.6,35.3,72.5,38.9,116.6,234.1,378.3,139.7,425,575.2
28,19.6,34.9,14.6,35.3,73.1,40.6,119.4,236.5,385.1,146.7,429,576
29,19.8,,14.6,35.5,74.8,43.4,121.4,242.3,391.1,156.6,431.2,579.5
30,19.9,,14.6,37.1,77.3,44.5,123.9,244.5,399.4,163.1,435.1,580.5
31,20,,14.6,,78.3,,125.2,247.9,,169.7,,586.6
