DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,4.2,38.1,0.8,26.7,40.4,2.7,46.3,112.4,207.3,2.9,285,711.4
2,6.2,39.4,1.1,26.7,41.3,3,47,114.5,211.7,4.5,294.9,722.7
3,6.7,40,1.1,27.7,42.1,7.5,48.8,116.2,212.9,9.3,311.1,735.8
4,7.7,40.6,4.9,28.6,46.7,9.3,49.8,118.3,213.5,12.8,335.4,756.6
5,12,41.4,4.9,29.4,48.9,10.2,51.2,122.7,215.9,17.7,355.2,776.2
6,13,43.4,6.9,30,52.5,11.5,52.2,126.9,218.9,23.1,379.9,797.1
7,13.6,45,10.5,30.1,57,12.8,53.5,129.7,223.5,30.1,399.6,803.7
8,14.6,45.4,10.5,30.1,58.5,13.2,54.3,131.8,228.8,34.7,426.1,811.2
9,15.7,46.4,11.1,30.1,59.1,14.4,55.1,136,232,40.6,442.9,819.1
10,16.8,47.1,15.4,30.6,59.4,15.3,56.6,139.1,233.6,43.6,459.6,827.9
11,17.6,47.3,17.2,30.9,59.8,17,60.2,141.3,237.7,49.5,472.4,834.6
12,20.3,47.6,19.2,33.1,59.8,18.7,62.2,143.5,242,54.7,477,839.6
13,21.9,48.3,22.9,34.5,60.4,21.8,63.9,146.5,243.9,58.8,483.2,849.1
14,22.4,48.3,23,34.5,62.5,23.9,66.1,149,247.9,64.2,491.1,858
15,23.8,49,23.2,34.6,65.6,26.1,67.4,151.9,249.3,70.1,501.8,867
16,25.5,52.2,23.2,34.6,66.9,27.2,69.5,156.9,254.6,78.2,517.2,875.7
17,25.9,53.6,24,36,68.3,28.3,70,161,256.9,81.9,527.1,887.6
18,26.2,54.5,24,36.2,70.9,28.7,70.3,165.3,258.6,91.1,533.4,894.3
19,26.5,54.6,24,36.2,71.8,31.1,72.5,166.7,261,101,541.4,899.2
20,26.7,54.8,24.1,36.2,72.5,31.4,75.2,167.9,268.1,111.5,547.5,902.9
21,28.1,54.8,24.9,36.2,74.5,32.7,77,170.6,272.9,121.3,557.2,906
22,28.3,54.8,26.2,36.9,74.5,35.6,80,174.2,278.6,128.3,573,919.2
23,28.7,55.8,26.4,37.8,74.5,36.7,83.8,175.8,281,136.6,587.1,928.6
24,29.3,56,26.4,37.9,74.7,38.1,88,180.1,283.1,157.4,609,930.4
25,30.6,58,26.4,37.9,75.3,38.4,93.5,183,286.9,170.7,626.6,933.5
26,30.6,58,26.4,38,76.1,39.9,96.3,187.4,293.3,188.6,648.2,939
27,32.7,59.4,26.5,38.1,77.6,41.6,98.2,193,301.7,204.9,661.9,941.4
28,33.4,62.6,26.5,38.1,78.2,43.3,103.8,195.2,305.5,220.5,673.4,944.1
29,34,,26.5,38.3,78.2,43.6,105.5,196.5,311.9,241.1,680.3,947.8
30,34.1,,26.7,39.3,78.4,45.2,108.4,199.8,319.5,255.1,690,950
31,34.1,,26.7,,79.1,,110.1,204.3,,273.3,,951.8
