DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3,24.4,0.5,22.1,42.2,0.5,48.8,126.2,241.5,5.2,201.1,466.1
2,4,25.3,0.5,22.1,43.1,2,51.2,127.8,247.8,8.2,205.8,470.4
3,8.7,25.3,1.5,22.1,43.7,5.4,53.1,130.4,250.1,11,212.8,478.1
4,8.9,25.7,3.7,22.8,44.3,11.3,55.8,133.9,251.7,15.2,225.9,486.5
5,9,25.9,4,22.9,46.5,14.6,58.1,137.1,255,18.8,241,499.3
6,11.4,27.5,4.6,23.1,47.6,16.6,62.4,139.8,259.4,23.2,259.8,507.4
7,13.7,29.7,6.3,23.3,53.1,18.4,64.6,143.9,265.6,28.6,274.3,511.4
8,15.1,30,7.7,23.6,56.7,21.5,67.9,145.7,271.7,37.4,288.3,517.4
9,15.8,30,8.1,23.6,57.1,22.7,70.7,150.8,277.1,46.7,297.4,525
10,16,30.4,8.4,23.6,57.4,25,73.8,151.6,279.3,51.4,306.3,533.1
11,16.4,30.4,10.8,24,58.2,28.7,77.8,152.3,285.2,56.6,310.4,539.5
12,17.2,30.5,16.8,27,60.1,29.9,81.3,157.3,289.7,65.4,318.3,543.1
13,17.5,31.7,17.5,27.9,60.6,32.1,84,161.7,293.4,70.1,327.1,547.5
14,20,32.4,17.9,28,61.6,34.8,86.3,167.3,301.3,79,334.9,554.6
15,21.3,33.1,18.9,28.4,63.4,35.7,90.2,172,304.4,83.5,347.6,559.2
16,22.1,33.2,18.9,28.4,66.3,36.5,92,175.1,308.9,88,357.7,567.1
17,22.7,33.7,18.9,28.6,68.7,36.8,93.3,182.9,315.2,91.9,367.5,572.8
18,22.9,34.2,18.9,31.8,70.4,38.6,95,188.8,319.1,94.1,375.6,576
19,23.2,34.6,19,31.8,74.5,38.7,97.6,192.8,320.5,101.4,380.8,579.9
20,23.2,34.7,19.4,31.8,75.8,39.8,98.6,195.8,327,107.2,383.7,583.1
21,23.2,35.5,20.4,32,77,40.8,100.8,201.1,330.4,113.8,387.1,585.4
22,23.2,35.5,20.7,33.4,77.5,42.1,102.6,206.9,333,120.4,392.2,589.6
23,23.2,36,20.7,37.1,79,43.2,107,209.8,335.5,126.2,401.9,592.7
24,23.7,36.1,21.3,37.4,79.9,43.6,110.7,216.3,339.5,139.5,413.8,593.6
25,24.1,36.6,21.5,39.6,81.8,44.4,114.1,219.4,345.5,149.3,423.3,596.6
26,24.1,37,21.5,40,83.5,44.8,116.4,224.6,350,153.4,435.8,599
27,24.1,37.7,21.5,40.3,85.2,45.2,117.4,227.8,357.3,165.7,444.9,599.5
28,24.1,38.5,21.5,40.5,87.5,45.8,119.4,230.1,362.8,171,451.7,600.9
29,24.1,,21.5,40.5,93.4,47,121.1,233.6,369.5,179.3,459,604.5
30,24.2,,21.5,41.3,95.1,48.1,123,234.4,375.7,184.5,461.3,605.2
31,24.4,,21.5,,95.3,,123.8,237.3,,191.2,,609.1
