DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,8.6,29.3,0,15.7,30,0.5,54.1,130.3,247,2,247,582.7
2,9.4,29.3,0,16.2,30.8,2,55.7,131.1,250.6,6.6,255,589.5
3,11.2,29.3,0,16.2,31.4,2.7,61.2,133.8,254,13,266.2,595.7
4,12.4,29.3,0.2,17.6,37.8,3.9,63.4,139.4,256.2,16.2,282.8,610
5,16,29.3,0.2,18.6,40.1,6.4,64.5,141.2,258.7,22.1,292.9,623.1
6,16,30.7,1.4,19.9,41.4,7.3,64.7,144.8,264.3,28.6,309.9,629.4
7,19,31.2,2.9,20.5,46,8.5,65.5,147.5,270.2,35.7,326.9,640.8
8,20.4,32.4,2.9,21.6,47.7,9.5,67.2,151.8,278.2,40,348.2,647.4
9,20.9,33.2,3.2,21.6,48.4,11.9,68.8,154.9,282.9,47.4,362.2,654.5
10,22,34.6,4.3,21.6,48.8,14.3,70.3,157.2,286.7,53,373.6,664.9
11,22,34.7,9,21.8,49.7,17.5,72.7,161.6,291.8,57.1,381.8,675.5
12,22,35.3,10.9,22.7,50.7,22.9,74.1,164,296.4,60.7,393.9,678.1
13,22,35.6,12,23.6,54.4,25.6,78.7,167.4,298.6,68.8,406.3,690.4
14,23.4,36.4,12,23.7,55.3,28.7,81.1,169.5,300.7,79.7,415,699.1
15,24.3,36.6,12.1,23.7,56.8,29.7,82.3,173.9,302.2,83.9,427.7,705.1
16,24.4,37.4,12.1,23.7,58.9,30.9,85.8,177.5,307.3,90.9,436.6,712.9
17,24.4,38,12.1,23.7,58.9,31.5,87.5,186,310.1,96.7,448,720.3
18,24.6,39.1,12.2,24.1,59.4,32.8,89.5,190.8,313.7,99.3,455.1,724.6
19,25.1,39.2,12.2,24.1,59.7,34.8,93.6,196.6,316.3,104.7,463.6,732
20,25.1,39.3,12.3,24.1,60.1,38.7,99.6,199.1,318.5,112.7,470.6,741.7
21,25.1,39.3,13.3,24.1,61.3,38.7,101.3,205.6,322,118.9,476.5,745.9
22,25.4,39.3,14.5,25.2,61.7,41.1,102.9,215,323.5,126,482.1,752.1
23,25.4,41.5,14.5,26.4,61.9,43.7,106.9,219.8,324.8,137.6,494.8,760.8
24,26.6,42.3,14.6,26.4,62.3,44.9,110.8,225.4,327.8,150.6,508.2,761.5
25,26.7,42.3,14.6,27.2,63.9,46.1,112.1,229.1,332.3,159.2,522.6,763
26,26.8,42.3,14.6,27.2,64.3,46.2,115.9,232.5,340.3,172.6,542.7,765.9
27,26.8,48.1,14.6,27.6,65.1,48,117.6,238.4,344.1,192.7,554,767.9
28,27,48.1,14.6,27.6,65.8,49.4,120.2,239.7,348.8,204.2,562.3,769.6
29,27.7,,14.6,27.6,65.9,51,121.9,240.8,357.7,218.7,567.3,772.9
30,27.7,,14.6,27.6,66.3,51.5,125.7,243.6,361.2,227.8,573.5,773.6
31,29.2,,14.6,,66.6,,127.5,245.8,,236.8,,777.2
