DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,4.9,20.3,0,13,34.2,0.7,48.8,129.3,251.4,3.9,192.7,440.4
2,5.8,21.5,0.1,13.1,34.2,1.6,50,132.3,254.9,7,199.8,449.4
3,8.1,21.5,0.1,13.3,34.7,3.8,54,134.8,260.5,9.9,207.7,458.4
4,8.4,21.7,0.8,13.9,36.6,5.3,57.3,138.7,263.4,15.4,222,467.1
5,9.7,21.9,1,14.2,37.8,7.7,59.8,143.5,267.3,20.3,232.6,476.2
6,10.2,23,1.9,14.7,39.6,10.4,62.5,146.2,272.2,23.3,243.5,486.3
7,11.2,23.3,3.2,15.2,45.2,11.9,63.5,148.9,278.9,30,254.1,489.8
8,11.8,23.9,3.9,15.2,48.6,13.8,64.7,155.8,283.3,34.6,266.4,494.4
9,12.1,23.9,3.9,15.2,49.8,14.6,65.6,160.4,288.1,40,273,500.7
10,12.3,25.6,4.4,15.2,50.4,17.8,68.6,164.8,292.4,42.9,282.1,506.4
11,12.6,25.6,6.1,15.4,50.9,21.1,70.7,168.3,297.4,47,287.6,512.7
12,13.3,26.1,8.7,16.8,51.4,22.9,75.2,172,301.1,51.7,296.5,516.1
13,13.5,26.9,9.9,17.7,53,25.2,78.1,175.2,306.3,55.8,305,521.1
14,14.8,27.2,10.4,18,53.3,27.7,82.5,178.2,313.8,60.8,313.7,530.4
15,15.6,27.3,10.6,18.5,55.5,28.5,84.1,183.4,317,64.8,325.4,534.4
16,16.3,27.7,10.8,18.7,58.3,28.7,85.1,185.8,321.3,70.6,336.6,540.3
17,16.5,29,10.8,19.8,60.1,31.1,87.8,191.6,325.5,75.2,344.3,543.8
18,16.6,31,10.8,23.9,61.2,31.6,88.2,194.6,329.3,78,348,545.1
19,16.8,31.3,10.8,24.2,63.7,32.4,91.6,198.7,332.9,83.8,352.5,549
20,16.8,31.4,11,24.2,65.5,33.3,93.7,200.2,337.9,91.4,356.2,555
21,16.9,31.5,11.2,24.2,66.8,35.6,96.4,205.2,341.6,99,360.3,556.3
22,16.9,31.5,11.2,24.4,67.5,36.7,99.2,212.5,345.5,104.9,365.1,559.9
23,16.9,32,11.3,25.2,68,38.7,102.6,215.8,348.3,110.4,374.6,566.1
24,17,32.1,11.6,25.6,69,40,104.2,221.6,351.9,119.8,386.6,566.8
25,17.3,32.5,11.6,29.2,69.5,41.1,106.8,225.7,357.8,129.5,395.3,568.7
26,17.3,33.3,11.6,29.5,70.4,41.7,110.7,229,364,136.7,406,570.2
27,18.6,33.3,11.7,29.8,71.4,43.1,113.5,233.5,368.3,145.5,414.5,570.8
28,20.1,33.3,11.8,29.9,73.9,44.4,118.1,237.4,373.5,152.6,419.9,571.5
29,20.2,,11.9,30.2,75.9,46.2,122.4,240.6,379.5,163,427.4,574.6
30,20.2,,11.9,32.1,78.5,47.9,124.5,244.9,390,170.3,432.2,575.8
31,20.3,,12.4,,78.9,,126.1,246.6,,180.9,,579.8
