DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.2,3.9,0.1,21.6,71.9,5.4,67.4,141.5,245.3,8.4,178.7,281.6
2,0.5,4,0.1,22.5,74.5,11.4,68.3,145.8,249.5,14.4,185.3,283.9
3,0.5,4,0.4,23.8,77.4,16.9,70.9,147.1,257.1,20.3,189.1,285.5
4,1.4,4,0.4,24.9,82.3,20.4,71.2,148.8,262.4,24.8,193.6,287
5,1.4,4,1.5,26.5,83.9,24.5,71.5,149.1,265.6,31.7,199.4,291.2
6,1.4,4.1,2.4,28.2,86.5,28.6,72,151.1,270.2,37.2,205.6,291.7
7,1.6,4.2,2.5,29.9,91.1,32.3,73.9,152.8,277.4,44.6,209.7,293.8
8,1.9,5.1,2.5,31.4,97.1,35.8,75.4,154.5,281.4,54.1,215.5,294.7
9,1.9,5.1,2.5,31.7,99,36.1,78.7,156.3,286.1,65.3,218.2,296
10,1.9,5.4,2.5,32.1,102,37.2,81.9,158,288.6,68.1,221.5,297.8
11,2,5.4,6.1,33.1,103.9,37.5,85.5,158.8,295.4,73.4,224.5,299.2
12,2,5.4,6.3,33.4,107.6,39.8,88.7,162.1,302,79,228.4,299.9
13,2,5.4,6.7,34.7,112.9,40.6,89.8,165.9,306.9,81,230.9,302.8
14,2.6,5.6,9.2,35.9,116.9,43.6,92.7,168.6,311.4,84.1,232.2,304.1
15,2.7,5.9,9.4,37.5,120.9,46.4,96.7,172.2,315.9,89.2,234.5,304.8
16,3.4,6,9.5,38.4,123.9,46.8,99.3,175.3,320.6,92.3,239.2,305.5
17,3.5,6.1,10.2,41.9,124.9,48.2,102,180.9,325.9,101.7,246.4,305.9
18,3.5,6.1,12.1,44.1,129.1,48.5,103.1,187.7,331.1,107,248.8,306
19,3.6,6.7,12.5,44.2,133.7,50.5,108.8,191.7,336.8,116.6,250.7,307.2
20,3.6,7.7,13,46.7,138.2,52.2,111.7,194.8,338.7,119.9,252.5,309.4
21,3.6,7.7,13.6,49.1,141.3,52.4,114.3,199.3,341.8,123.9,254.9,310.4
22,3.6,8.3,13.9,53.3,144.9,53,116.1,205,345.1,128.9,257.9,310.9
23,3.6,8.4,16.5,55.9,149.2,53.9,118.2,209.9,350.5,133.9,261.3,312.8
24,3.6,8.6,16.6,58.6,152.5,57.4,119.9,216.4,356.3,139.1,264.6,314.4
25,3.6,8.7,18.8,62,156,59.9,121.8,219.7,361.6,142.8,266.9,314.7
26,3.6,9.6,19.1,64.1,160,60.7,125.6,222.8,370.1,148,270.4,315.4
27,3.9,9.6,19.5,64.8,165.3,61.2,128.7,227,375.8,152.1,273.8,315.6
28,3.9,9.6,19.5,66.8,170.1,62.2,131,232.4,383.3,156.2,276.3,315.9
29,3.9,,20.3,67.5,173.7,65.5,134,233.8,390.4,163.5,278.2,316
30,3.9,,20.7,68.3,176.2,67,136.9,237.1,397.8,168.5,280.2,316.2
31,3.9,,21,,181.1,,139.6,241,,171.7,,316.6
