DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.4,1.9,0,16.6,66.3,4.1,59.4,130.8,238.5,8.1,171.1,271.9
2,0.5,1.9,0,18,68.4,11.3,60.6,135.1,242.7,11.9,179.6,273.7
3,0.6,1.9,0,18.8,69.5,16.4,62.9,136.4,250.8,17.2,183.8,275
4,1.3,1.9,0.2,20.9,74.7,18.5,64.3,138.1,255.3,20.3,188.7,276.1
5,1.3,1.9,0.6,21.8,75.6,20.8,64.8,138.8,258.1,23.8,193.7,280
6,1.3,1.9,1.1,22.2,78.2,25,65.5,140.5,263.7,28.7,198.8,280.8
7,1.3,1.9,1.7,24.2,83.1,27.7,68.7,142.5,270.1,35.9,200.5,283.4
8,1.4,2,1.7,25.2,87.1,31.3,68.9,144.9,274.1,43.2,204.3,284.8
9,1.4,2,1.9,27.3,89.3,32.9,73.2,146.9,280.3,55.2,206.8,286.3
10,1.5,2.2,2,28.1,93,33.6,76,149.9,284.8,61.2,213.8,287.9
11,1.5,2.3,3.7,29.2,95.6,33.8,78.6,150.6,295.5,65.7,216.4,288.8
12,1.6,2.3,3.7,29.4,98.6,35.2,82.4,153.4,302.6,72,220.8,289.4
13,1.6,2.3,3.7,30.7,103.6,35.6,83.1,156.8,305.5,77,225.1,291.6
14,1.6,2.4,6,33.2,111.6,36.1,84.4,160.3,311.4,80.9,227.1,292.4
15,1.6,2.8,6.6,34.5,115.5,37.8,88.2,164.6,317.6,84.8,229.5,293.2
16,1.6,2.8,6.6,35.9,119.5,38,89.5,168.9,322.5,88.3,233.1,296
17,1.7,3,7.7,38.6,121.8,39.4,92.4,179.8,327.4,94.1,237.9,296.8
18,1.7,3,9.6,43.8,128.2,41,94.4,183.1,334.5,96.9,240.4,297
19,1.7,3.3,9.6,44.6,133.3,42.6,98.8,186.2,344.1,103.5,243.2,297.8
20,1.7,4.5,10,46.4,137.6,43.7,100.9,189.3,347,107.6,244.7,298.8
21,1.7,4.5,12,48.1,141.3,43.7,102.8,193.4,352.5,113.3,246.9,299.1
22,1.7,5.2,12.1,50.9,143.9,44.6,104.9,200.3,356.3,118.6,249.5,299.5
23,1.7,5.2,13.6,53.3,148,45.9,106.7,206.4,364.1,123.9,252.9,301.2
24,1.7,5.4,13.6,54.9,152,49.6,108.4,212,372.4,129.1,256.3,302.5
25,1.7,5.5,15.1,58.7,157.3,51.1,110.2,215,378.8,136,258.7,302.8
26,1.7,8,15.1,60.9,160.5,51.9,114.4,217.7,390.5,142.3,261.8,303.2
27,1.7,8,15.3,62.5,166.4,52.3,117.9,221.4,394.4,145.8,265,303.4
28,1.7,8,15.3,62.7,172.2,52.5,119.2,226.3,402.7,148.1,266.5,303.8
29,1.8,,16.1,63.5,175.9,57.1,122.5,228.9,414.2,156.1,268.7,304.2
30,1.8,,16.1,63.7,177.6,59.4,124.7,231.7,419.9,161.8,270.9,304.5
31,1.9,,16.2,,184.3,,127.7,234,,163.6,,304.7
