DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0,6.4,0.2,9.7,47.1,1.4,56.6,140.8,247,6.2,151.3,303.9
2,0.2,6.4,0.2,10,49.1,4.5,59.5,142.6,250.5,8.9,157.6,309.6
3,0.2,6.6,0.2,10.2,50.7,10.1,60.5,145.4,254.7,15.2,164.2,311.1
4,0.3,6.6,0.2,10.2,54.1,13.1,62,146.6,260.8,20.5,171.7,313
5,0.4,6.6,0.3,11.8,55,16,64.9,147.9,264.8,25.7,178.9,316.2
6,0.4,6.6,0.9,12,56.4,18.8,68,149.7,267.8,29.8,186.2,318.1
7,0.6,6.6,1.1,12.6,60.8,21.3,73,152,273.9,34.8,189.8,323.5
8,1.2,6.6,1.1,14.3,62.7,24.2,73.5,153.5,279.4,40.4,198.1,326.5
9,1.5,6.9,1.9,14.3,65.8,26.3,76.5,154.7,284.4,50.7,203.5,330.8
10,1.6,7.5,2.2,14.5,68.4,27.1,79.7,156.4,289.9,53,209.6,333.2
11,1.8,7.9,2.2,16.4,71.3,29.5,81.9,157.9,295.7,56.1,212.4,336.5
12,1.8,7.9,2.6,17.7,74,32.7,84.4,161.1,301.7,60.6,218.1,337.8
13,2.1,7.9,2.6,18.5,77.5,34,86.2,165.2,306.1,64.2,224,343.3
14,3.3,8.4,3.7,19.5,80.3,37.9,86.9,168.9,314.8,67,228.7,345.6
15,4.7,9.6,4.1,21.3,83.3,39.5,91,176.1,321.4,68.7,237.8,348
16,4.9,9.6,4.1,21.8,85.8,39.8,93.7,180.7,325.6,71.3,244.2,351.5
17,4.9,9.7,4.2,23.4,89.9,40.6,98.7,190.5,333.3,75.2,252.7,352.7
18,4.9,10,4.2,24.7,93.8,42.7,100.4,196.6,339.2,78,256,353
19,4.9,10.3,4.3,25.4,95.6,44.1,103.6,200.8,342.5,81,262.6,355.6
20,5,10.8,4.3,26.7,99,44.9,106.9,204.8,345.2,85.6,265.3,357.5
21,5,10.8,5.9,28.7,101.5,45.6,110.2,209,351.4,93,268.4,358.1
22,5,10.8,5.9,32.5,103.2,46.4,110.9,214.4,354,98.5,271.6,358.9
23,5,10.8,6.3,33.5,106.7,47.9,111.9,220.2,357.9,103.6,277.7,361.7
24,5.7,10.9,6.8,34.6,114.1,49.2,114.7,224.6,364,109.2,282.8,363.5
25,5.7,11.4,6.8,35.5,115.7,49.3,118.5,227.1,368.2,114.7,286.2,364.6
26,5.7,11.4,7,41.1,119.9,49.8,123.3,231.2,372.6,118.3,288.2,365.9
27,5.7,11.4,8.1,41.6,121.4,51.2,125.7,235.3,376.7,124.8,293.5,366.5
28,5.8,11.6,8.3,42.7,127.8,52.5,128,238.7,380.7,128.1,295.9,367.2
29,6.4,,9.7,45,129.4,55,130.9,239.4,383.9,136.1,298,368.1
30,6.4,,9.7,45.1,134.1,55.9,132.2,241,390,141.9,300.4,369.9
31,6.4,,9.7,,138.9,,135.9,243.6,,144.6,,370.1
