DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.3,5.2,0.8,12.2,58.5,5.5,44.4,89.2,174.8,8.4,180.6,294.8
2,0.3,5.2,0.8,12.9,68.6,7.6,45.3,90.8,181.8,15.8,194.8,299.1
3,0.5,5.2,0.8,14.4,71.8,10.6,45.8,94.3,186.3,22.7,201.1,301.2
4,0.5,5.2,0.9,14.6,77.5,15,46,96.8,192.3,26.4,206.7,304.8
5,0.5,5.2,1.2,15.8,78.5,18.4,46.1,97.2,197.3,32.2,213.2,309.4
6,1.5,5.2,2.3,17.6,79.4,21.5,46.1,97.8,202.8,36.7,217.1,310.4
7,1.9,5.5,2.5,19.3,84.8,22.2,47.5,99.9,207.1,43.9,221.1,313.1
8,1.9,5.8,2.6,20.4,89.4,24.3,48,100.9,207.5,56.1,228.1,313.4
9,2,6.1,2.6,20.6,92.9,26.1,50.1,101.3,212.4,63.7,231.7,314.8
10,2,6.1,3.4,20.8,97.3,26.2,52.4,103,215.6,68,234.7,316.7
11,2,6.1,4.3,21.1,100.2,26.2,57.3,104,221.4,71.5,236,318
12,2,6.1,4.4,21.1,102.7,29.5,58.2,105,228.8,75.6,243.8,318.7
13,2.1,6.1,5.3,22.5,103.1,30.4,59,108.3,231.1,83.1,244.2,320
14,2.6,6.7,5.6,22.6,106.2,33.1,60,110.4,237.1,87.3,245.6,321.6
15,2.6,7.4,6,25.7,106.7,36.1,60.9,111.4,241.5,92.7,246.6,321.7
16,4.2,7.9,6.3,26.2,112.2,36.2,63.8,118.9,245.9,96.3,252,322.4
17,4.3,7.9,6.3,27.1,114.6,37.1,65.7,124.9,251.8,98.4,258.6,322.6
18,4.3,11.1,6.3,28.4,119.7,37.3,68.3,131,257.2,101.2,260.4,322.8
19,4.3,11.1,6.3,30.5,120.6,37.3,69.7,133.7,263.6,104.7,265.3,323
20,4.3,11.1,6.6,32.4,122.8,38,71.6,135,267.4,106.5,268.4,324.3
21,4.3,11.2,7.9,35.3,124.4,38,73.8,140.9,269.5,109.3,273.7,326.1
22,4.3,13.2,8.3,38.6,127.3,38.3,74.2,144.9,271.3,114.3,275.4,326.3
23,4.3,13.2,8.5,41.1,129,38.3,75,146.5,280.6,124.1,277.6,328.2
24,4.3,13.4,8.5,45,134,39.7,75.5,154.6,289.4,131.6,280.5,330.4
25,4.3,13.6,9,47.4,138.6,40.3,78.2,156.4,291.6,137.8,282.6,330.6
26,4.3,13.6,9.3,49.5,140.1,40.9,78.4,161,296,142.5,283.4,331.3
27,4.3,14.2,10.7,51.8,144.8,42.4,80,164.3,302.6,147.1,286.3,331.3
28,4.3,14.2,10.9,54.7,149.2,42.5,81.7,166.2,310,151.3,287.9,331.3
29,5.2,,11.1,55.5,151.5,43.2,84.5,167.1,318.4,158.9,289.2,331.3
30,5.2,,11.2,56.2,154.7,43.6,86.3,167.7,326,169.5,290.4,331.5
31,5.2,,11.5,,160.8,,88.3,171.6,,172.1,,332.4
