DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.4,2.8,0.3,30.9,84,1.8,34.8,81.9,162.4,4.9,165.6,289.1
2,0.6,3.3,0.4,33,85.3,3.9,35.2,82.7,164.3,10.9,169.9,293.5
3,1.1,3.3,0.5,33.8,86.5,5.4,37.1,84,168.2,12.9,177.9,294.9
4,1.1,3.3,0.7,34.9,90.8,7.6,39,85.2,170.4,16.9,182.4,297.9
5,1.2,3.3,2.5,35.4,91.6,10.7,39.7,86.5,174.1,21.6,190.3,298.7
6,1.2,3.4,2.9,41.5,95.1,14.4,43.8,89.1,177.4,26.7,195.3,299.8
7,1.3,3.5,3.6,45.1,97.5,17.7,44.9,91.8,180.3,29.8,204.5,301.7
8,1.6,3.9,3.8,45.4,99,18.5,46.1,92.9,183.6,33.2,210.9,303
9,1.6,3.9,3.8,46,99.8,19.1,47.3,94.2,187.8,40.2,216.6,304.3
10,1.6,4.2,6.6,46.3,101.1,20.9,47.9,95.4,192.9,49.5,223.2,305.6
11,1.7,4.2,10,46.7,110.4,21.8,50.6,97.7,195.5,53.3,224.9,306.7
12,1.9,4.2,11.8,46.9,113.2,22.1,52.2,99.3,199.5,56.1,229.1,307.5
13,1.9,4.2,14.8,50,116.6,23.1,53.5,100.6,203.9,62.7,232,309.1
14,2.1,4.6,16.5,50.2,120.1,24.1,56,103.7,213.2,68.7,234.5,310.1
15,2.1,6.3,18,51.1,124.8,24.9,57.3,106,215.4,71.1,235.8,312.1
16,2.4,6.3,18,53.7,127,25.3,58.3,110.1,218.9,76.2,239,313.7
17,2.4,6.4,18,57.1,129,26.8,59.4,115.6,226.9,81,244.5,314.1
18,2.4,7.6,18,60.2,133.2,28.1,60.2,119.3,230.5,87.7,247.5,314.7
19,2.4,7.8,18.2,61.4,135.4,28.2,62.5,119.8,233.3,91.5,251.4,317.7
20,2.4,8.2,18.2,63,138.7,28.4,63.9,121.5,236.3,97.9,254.7,319.3
21,2.4,8.2,21.3,63.3,142.8,29.7,64.7,125.1,239.9,106.5,258.7,320.5
22,2.6,8.2,22.2,64.5,146.6,29.9,67.3,131.4,243.1,111.3,261.3,321
23,2.6,8.2,22.2,67,149.6,30.1,68.9,136.5,250.3,117.2,267.2,323
24,2.6,8.3,22.8,68.2,152.9,30.9,71.7,141.1,255.3,122.5,270,324.3
25,2.6,8.3,22.9,70.5,158.8,31,73.8,145.9,260.4,128.3,271.3,324.5
26,2.6,8.5,23.2,72.5,163.1,32.4,75,148.2,265,132.3,273,325.2
27,2.6,10.6,26.1,74.4,164.9,33.1,75.7,149.9,266.7,140.1,275.2,325.6
28,2.6,10.6,26.3,76,169.2,33.3,77.5,153,272.3,146,277.1,326.3
29,2.6,,26.6,76.7,172.2,33.7,77.8,156.3,276.8,152,283.7,326.4
30,2.6,,26.6,78.3,172.5,33.9,79.5,156.8,282,155.5,287.5,326.4
31,2.6,,28.3,,174.6,,81.1,159.8,,157.8,,327.4
