DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.6,3.9,1.2,35.7,106.7,1.9,45.2,105,196.1,4.3,187.5,292.8
2,0.7,4,1.3,35.8,107.9,4.6,46.4,106.9,196.8,9,197.1,295.3
3,1.4,4.2,1.6,38.4,109.7,6.2,47,109.2,200,14,203.1,296.1
4,1.4,4.4,2.2,38.6,111.7,7.5,49.2,112.5,202.9,22.8,206.7,298.2
5,1.4,4.4,4.3,38.9,113.3,12.9,50.9,113.8,208.5,29.3,212.5,299.6
6,1.4,4.5,9.1,41.6,114.8,17.1,51.5,114.8,214.3,32.3,216.5,299.9
7,1.4,4.9,9.8,44.7,119.9,17.9,52.7,116.4,216.7,38.2,220.6,300.2
8,1.7,6.2,9.9,45.3,123,18.9,53.6,117.6,220.3,45.5,225.8,300.5
9,1.8,6.2,10.9,45.3,125.3,21.6,58,120.3,223.7,51.3,231.6,301.1
10,1.8,6.4,12.8,46,127.1,22.4,59.5,123.3,228.3,55.6,234.9,303.5
11,1.9,8,13.5,49.2,128.3,23.9,62.6,128.6,234.3,61.1,238.3,304.8
12,1.9,8.6,16.3,51.9,129.2,24.3,62.9,131.1,238.1,66.2,241.2,305.1
13,1.9,8.7,17.7,55.3,133.1,25,63.3,132.7,240.2,77.1,241.8,305.9
14,1.9,9.8,20,56.1,136.3,26.4,65.4,133.6,242.7,83.9,243,306.4
15,1.9,11,20,60.7,140.3,28.7,66,137.3,244.7,87.1,244.3,306.5
16,2.4,11.3,21.3,63.9,143.9,29.9,67.4,139.6,246.2,90,246.5,307.8
17,2.4,11.7,21.5,67,146.8,31.1,69.3,143.7,251.4,96.1,250.5,307.9
18,2.4,11.7,22.3,69.4,149.7,31.7,71.5,148.6,255.2,101.4,251.9,308.4
19,2.5,11.7,22.3,71,155.2,32,74.6,150.8,259.8,108.6,260.2,310.1
20,2.5,12.9,27.9,72.5,157.2,32.4,75.6,151.3,265.6,114.7,263.2,311.9
21,2.5,12.9,29.2,75.4,158.3,32.8,78.9,157.5,267.8,122,266.1,313.8
22,2.6,12.9,29.7,77.2,159.9,34.7,79.3,162.4,268.9,129.4,267.1,314
23,2.6,13.7,29.7,81.2,162.6,37.3,82.7,164.8,275.7,137.1,269.6,316.3
24,2.6,15.7,29.7,87.7,166.8,38,84.5,168.2,284.8,146.6,274.5,317.8
25,2.6,16.6,30.3,91.8,169.9,39.7,87.1,173.2,292.3,151.4,275.9,318.4
26,2.6,16.7,30.9,93.7,174.2,40,91.6,178.1,295.6,158.4,278.6,318.8
27,2.6,17.3,31.1,96.5,181.7,41.9,92.8,181.9,301.2,162.7,284.9,318.9
28,2.6,17.4,33.4,99.6,184.6,43.3,94.6,184.1,307.1,166.9,286,318.9
29,2.9,,33.8,100.8,186.4,44.8,96.4,189,312.1,171.2,288.8,319.3
30,2.9,,33.8,102.2,189.5,44.9,97.2,190.3,317.7,178.2,291.5,319.3
31,2.9,,33.9,,191.6,,99.6,194.1,,183,,320.5
