DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.4,5.1,0.6,21.5,72.5,0.5,35.5,84.9,159.6,4.7,163.1,273.7
2,0.7,5.1,1.4,24.2,74,3.1,36.2,87.2,160.8,9.9,169.6,276.9
3,1.3,5.1,1.5,24.9,75,6.6,37.1,88.8,168,13.4,180.2,277.8
4,1.3,5.1,1.8,25.4,78.1,7.6,37.9,89.3,172,19.9,183.2,280
5,1.3,5.1,2.9,25.8,81.4,9.5,39.4,89.7,174.7,27.1,191.1,282.4
6,1.3,5.1,4,27.1,82.9,12.5,42.1,91.6,176.6,30.3,196.1,282.9
7,1.4,5.1,4.5,29.1,86,15.3,45.1,93.2,180.7,33,205.8,285.2
8,1.5,5.2,4.6,29.1,88.5,16.5,46.9,94.1,182.7,39.5,211.6,286.7
9,1.5,5.2,4.6,29.2,90.3,17.1,48.4,95,185.1,45.1,216.1,288.6
10,1.6,5.4,4.9,29.7,92.1,17.9,49.6,97.6,189,49,220.7,290.6
11,1.7,6,6.9,30.4,94.1,19.1,52.1,99.6,192.7,53.5,222.9,292.2
12,1.7,6,7.9,30.5,96.7,19.8,52.9,101.7,196,57.1,225.8,292.6
13,1.7,6,10.4,32.4,98.5,20.5,54.3,102.9,198.1,64,228.1,293
14,1.8,6.4,13.3,33.3,102.2,21.3,56,103.7,201.5,72.8,229.9,293.2
15,1.8,7.5,14.2,34.5,109.2,22.4,58.6,107,207.1,78.8,232.6,293.5
16,1.8,7.5,15.3,37.7,115.9,23.5,59.5,107.9,209.8,80.3,233.5,295.3
17,1.8,7.7,15.3,39.3,117.8,24.5,60.9,112.7,217,84.1,237,295.9
18,1.8,9.4,15.3,41,119.9,25,63,115.5,219.7,89.7,240.6,296.1
19,1.8,9.6,16.7,41.4,123.3,25.3,65.7,117.5,222.3,94.3,244.4,297.9
20,1.8,10.2,16.8,41.9,125.4,25.3,66.8,119.8,225.4,100.7,246.8,298.8
21,1.8,10.2,18.5,46,127.4,25.6,69.3,123.7,229.4,105.6,250,298.9
22,2.1,10.2,18.8,47.4,129.9,26.2,70.2,126.4,233.9,111.8,251.5,299
23,2.1,10.4,18.8,50.9,131.1,26.5,72.2,129.3,237.9,116.3,253.9,301.6
24,2.1,10.4,19.8,55.2,133.2,27.9,74.2,132.9,242.8,121.5,258,303.5
25,2.1,10.4,19.8,59.1,136.8,28.5,75.6,135.9,246.2,127.1,259.8,303.8
26,2.1,10.4,20.2,60,139,29.2,77.8,138.7,249.6,131.4,261.1,304.3
27,2.1,10.7,20.7,62.9,143,30.3,80.1,140.6,253.6,136.8,263.4,304.5
28,2.2,10.7,20.7,64.9,146.6,30.8,81.3,146.8,261.2,146.5,264.8,306.5
29,2.3,,20.7,66.3,150.1,31.8,82.2,148.6,267.5,152.1,267,307.2
30,2.4,,20.9,68.5,151.5,34.4,83,150,273.5,156.5,271.9,307.2
31,5,,20.9,,153.6,,83.6,153.2,,158.2,,308.2
