DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.1,10.4,0.1,24.6,92.1,3.7,275.3,494.6,695.1,6.4,176.5,307.4
2,2.8,10.4,0.1,25.2,93.4,7.4,283,499.2,700.8,14.5,181.9,311.5
3,2.9,10.4,0.4,26.5,95.7,16.9,286.2,506.7,703.7,23.8,188.7,314.4
4,3.6,10.4,0.5,28.1,98.9,21.4,289.1,511.8,707.1,27.6,198.8,316.5
5,3.9,10.6,0.5,28.5,102.8,27.5,296.2,521.7,709.8,34.5,207.6,318.1
6,4.3,10.6,1.4,31.7,105.1,40.5,303.3,529.3,715.2,37.1,218.5,321.8
7,5.7,10.6,1.4,33.8,111.8,46.4,309.7,538.7,719.5,39.4,226.5,322.9
8,6.1,10.6,2.5,34.5,113.5,57.7,317.6,552.2,720.5,46.4,232.4,323.9
9,6.9,11.5,2.7,36.8,115.2,63.8,323.2,562.3,723.2,48.5,239.6,326.5
10,7.1,11.6,2.8,39.7,115.3,68.5,326.8,569.3,726.2,51.5,245.6,328.4
11,8.1,12,7.7,39.9,119.1,74,332.8,577.2,732.6,54.1,248.9,332.1
12,8.1,12.4,8.6,42.3,123.3,83.2,336.4,584.9,739.3,60.8,256,333.8
13,8.1,12.7,10.2,43.8,124.9,89.5,344.4,592.6,741.8,63.3,260.3,335.6
14,8.8,15.3,10.2,45.3,127.8,96,350.4,595.8,744.6,70.3,263.2,337.6
15,9.7,16,12,50.1,130.5,105.5,360.1,602.5,746.9,72.5,264.8,338.4
16,9.8,16.1,12.1,52.9,135,118.2,368.6,609.6,751.4,79.6,265.8,339.1
17,9.8,16.6,12.4,55,136.2,127.4,385.9,617.9,757,85.8,268,339.7
18,9.8,16.8,12.5,57.4,136.7,139.8,399.5,628.2,763.7,89.7,268.8,339.8
19,9.8,17.1,13.7,60,138.6,145.5,409.5,638.1,768.4,93.9,270.8,343.3
20,9.8,17.2,14.3,61.3,139.3,151.6,418.1,643.8,772.4,99.6,272.8,345.8
21,9.8,17.2,15.1,65.3,141.9,159.5,425.5,648.1,778.7,104,275.9,346.8
22,9.8,17.2,15.2,69.7,142.1,168.9,433.5,651.3,783.7,107.3,280.7,348
23,9.8,17.2,16.9,71.8,143.9,177.5,446.6,655.4,790.1,112.4,286,348.9
24,9.8,18.1,18.4,74.3,145.5,189.1,456.8,662.3,804.4,114.6,292.8,350.5
25,9.8,18.1,18.8,79.1,147.7,206.5,465.1,666.9,810.6,119.7,295.5,350.6
26,9.8,18.1,19.6,80.9,150.1,225.7,470.8,673,815.8,129,297.3,352.5
27,9.8,18.8,21,82.4,153.2,242.5,475.8,676.1,822.3,137,298.5,352.5
28,9.9,18.8,21.2,84.8,155.1,253.3,480.9,679,827.9,145.6,300.6,353.4
29,9.9,,21.4,85.6,156.4,260.7,482.6,682.9,835.9,150.9,304.4,354.4
30,10,,21.9,89.9,157.3,267.8,484.9,685.3,842.2,154.7,306.2,354.6
31,10,,24.5,,158.5,,490.2,688.5,,163.8,,354.9
